id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2509068993,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-02-18T14:00:10.500Z,2023-02-18T15:02:01Z,4039335501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039335495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039335489,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039335491,59,"12, 24, 32, 6, 4, 38, 8, 23, 20, 10, 28, 5, 7, 13, 15, 16, 25, 31, 34, 39",4039335493,130,9,4039335487,30,"9sme7jykdv8msgfu0nxx6h39x, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, b7eoho4q34nfispye73m8b00l, 1tuivl8zdnsaz8vbed2z582qx, f30avgacyfz88ppw9mh8v57md, 25kl6261u9xft9cfvot8aezf9, 19nlw3sa0khwz0el4wqc7zrp, 1l228p52d8wdf8qhfxqu8rca, 55yy0p6johtu9nxk90zsfctt5, dsvi49wsvjqdbiddyme3xow7o, 95uxoznu15m2xywirv43rcmol, 3mgjcyaseuexxlssgatjgsand, 8bhdwi4p824s82bbzkh2vy6t, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 3ztcz2dgfniqv141w7xsky7zd, 6jbeiiziegtchyv2zjt87kslx, a4qjllaut1bo0ng3x4xu5lq6t, cjdycctu96jilvbvnl7ndh9sl",4039335497,194,1tuivl8zdnsaz8vbed2z582qx,4039335499,197,4782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509069035,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-02-18T14:00:18.426Z,2023-02-18T14:00:18Z,4039335739,130,24,4039335737,59,"31, 16, 20, 14, 3, 2, 17, 8, 9, 47, 10, 4, 6, 18, 19, 21, 25, 26, 80, 82",4039335733,30,"23637o19ff0sw18pqv8g96ndh, dqfk7czrayirrvonirtk2mk15, b3974hgsmyff5xtq7qf1onhlh, 7fmpgkx58o9pivo2bbnxxkt05, 2t5s4f41jefzuzth0bhcixtcl, e9wu8dcamrtj3ftbx3nmhusid, c2jqa9vozhqu7x79h5rr2n1ed, 9wbf00lybk9fqablaqwg5cn2t, atzboo800gv7gic2rgvgo0kq1, 693z0rzfh3m0h0wsma9v8c9ux, 72nph557ee2a9tdky8rvk12vp, 99d29g8af71vt1hrur06qvy7d, 7jn9kl5wq29d41ekc2fz2rs2d, 5d6d4oc2rpau0mbbbt2dmtzv9, 9ikkuxd19avliz1khcrm82gyy, d4tdx2ctadv6kc3tbq4as8bmx, almf0gtdjmsdm5zhyot1hvydx, exiribcpg9vnuq9ekhlk74dlh, dl10343h8yopcgerzur5samwa, d0azo0spzov2hg6ul40l58e3u",4039335755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039335747,194,9wbf00lybk9fqablaqwg5cn2t,4039335735,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039335751,197,16396,4039335743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121587,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-02-18T15:00:41.959Z,2023-02-18T22:41:44Z,4039613857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121579,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-02-18T15:00:41.959Z,2023-02-18T15:00:42Z,4039613813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121677,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,50.1,50.3,2023-02-18T15:00:41.999Z,2023-02-18T22:22:46Z,4039614223,279,S,4039614215,140,39.1,4039614213,56,Back,4039614221,213,3.6,4039614217,141,40.9,4042020549,178,,4039614219,212,13.2,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121727,4,1,1,0,2,a3nyxabgsqlnqfkeg41m6tnpp,1,39.3,38.3,2023-02-18T15:00:43.991Z,2023-02-18T22:22:52Z,4039614425,56,Right,4039614431,212,28.4,4039614433,213,5.3,4042020803,178,,4039614429,141,3.4,4039614427,140,54.2,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121781,5,1,1,0,6,a3nyxabgsqlnqfkeg41m6tnpp,1,58.8,2.5,2023-02-18T15:00:48.907Z,2023-02-18T22:23:07Z,4039614717,140,53.7,4039614719,141,5.3,4039614723,212,5.7,4042021425,178,,4039614725,213,2.8,4039614715,56,Right,,,,,,,693z0rzfh3m0h0wsma9v8c9ux,P. Foden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121893,6,1,1,0,8,a3nyxabgsqlnqfkeg41m6tnpp,1,53.7,6.8,2023-02-18T15:00:50.821Z,2023-02-18T22:23:14Z,4039615177,140,44.3,4039615179,141,35.2,4039615183,213,2.0,4042021669,178,,4039615173,56,Back,4039615181,212,21.7,,,,,,,e9wu8dcamrtj3ftbx3nmhusid,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121979,7,1,1,0,13,a3nyxabgsqlnqfkeg41m6tnpp,1,47.8,52.7,2023-02-18T15:00:55.164Z,2023-02-18T22:23:22Z,4039615575,141,92.6,4039615587,213,1.2,4042022103,178,,4039615573,140,57.9,4039615581,212,29.1,4039615571,56,Left,,,,,,,2t5s4f41jefzuzth0bhcixtcl,Rúben Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122039,8,1,1,0,16,a3nyxabgsqlnqfkeg41m6tnpp,1,64.3,92,2023-02-18T15:00:58.283Z,2023-02-18T22:23:28Z,4039615867,140,73.2,4039615869,141,91.8,4039615873,213,6.3,4039615871,212,9.3,4042022427,178,,4039615865,56,Left,,,,,,,7fmpgkx58o9pivo2bbnxxkt05,Aymeric Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
