id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,keyPass,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value
2497673341,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-01-15T13:00:08.135Z,2023-01-15T14:04:00Z,3979498397,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979498409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979498405,194,9ipux4xiejibplsbbhqz8d5gp,3979498403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979498395,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 6dqnwhx0eglxhelidxg0dphm2, 6ebb2xcovp1tx5nv5yyncb7x1, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, 9c927a1i8iqblent14xat7aad, 19m0uqmf1otcekssb7tbrl1m2, 9ikkppq7uewf36gahgz0kzaol, m2c4lckkcr7yilnqxrrsgh2i, 4wic6z72nwmhkheme209fcmp5, 1rz6bw398na1i3t29rop7ikt1, 3xthf6r5hvlx8oje4rqcs3it, z0btpgav68n4lqoht3ax3845, djgqihf08sxqh0zt2xe2xzv1l, dbebh5mvzowjrp7h4qvzxvaol, 5frs9u0spep2j3gszu06awo9h, c9pmcoyzgtgcnlc63cl4283bp, 5nsag404623qznyyizl8yuwkq, 710poxssyhhnb3q3vr3hsvdhw",3979498407,197,15924,3979498399,59,"13, 17, 3, 15, 16, 6, 9, 28, 11, 7, 10, 2, 4, 5, 14, 19, 21, 22, 26, 77",3979498401,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497673379,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-15T13:00:15.305Z,2023-01-15T14:09:17Z,3979498653,59,"1, 14, 67, 5, 6, 4, 22, 23, 29, 30, 19, 8, 9, 12, 13, 26, 27, 28, 32, 42",3979498663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979498649,30,"6j3wbk9xlq4om4m8ih6b3tyvp, 5e2zgfe3ltc6qbnoqdfshqsph, 8i46yzejeiwdmz0tywmy42o2y, 9id859f7xnqwj0jazjzkbjzdh, c6pqhaqusk8s1c2m21i5wtrkl, 5g5wwp5luxo1rz1kp6chvz0x6, 8r547g1qv706wo9iqr5unfnpx, c83h08n0vnjvfgglyefy03h0p, ed20ebhqi5c32vbbsze8r6yuh, 5ql70wwevaoqpxabylew5f696, 8nh6qf9i1d0qw7nx4wk25qzth, ehopba709zukxj4vgcync942d, actvnm36s31zf8wh8hjikzlqt, e6jaaazxqeczj6ziaj0qnqpxx, 9l3cvbbgw484v7la0bjv43mj9, b1srdmp4cmwl9k768h8a2ixn9, 6ita8t40qk3b85mrqpq71gjys, bvw1jgmhfyc896gfi6uj0skwl, 7c2wnewpcf1idj6ghj6gu0wyd, 7rs22vzcyiy7txf7tlcbwd7ca",3979498657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979498661,197,11560,3979498655,130,8,3979498651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979498659,194,9id859f7xnqwj0jazjzkbjzdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702671,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-15T14:01:05.917Z,2023-01-15T21:48:33Z,3979651969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702673,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-01-15T14:01:05.917Z,2023-01-15T14:01:08Z,3979651973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702679,3,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50,50,2023-01-15T14:01:05.992Z,2023-01-15T22:19:10Z,3979651989,213,2.5,3979651985,141,69.3,3980809533,178,,3979651987,212,23.1,3979651981,56,Back,3979651983,140,31.9,3979651991,279,S,,,,m2c4lckkcr7yilnqxrrsgh2i,M. Olise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702711,4,1,1,0,2,1c8m2ko0wxq1asfkuykurdr0y,1,32,68.8,2023-01-15T14:01:08.541Z,2023-01-15T22:19:13Z,3979652183,213,5.6,3979652179,141,20.6,3979652175,56,Right,3979652181,212,54.6,3980809567,178,,3979652177,140,73.6,3979652185,1,,3979652173,155,,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702721,5,44,1,0,4,1c8m2ko0wxq1asfkuykurdr0y,1,72.6,19.6,2023-01-15T14:01:10.831Z,2023-01-16T02:03:23Z,3979652237,286,,3979652243,233,3,3979652235,56,Right,,,,,,,,,,,,,,,,9c927a1i8iqblent14xat7aad,J. Ayew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702709,3,44,1,0,4,9q0arba2kbnywth8bkxlhgmdr,0,27.4,80.4,2023-01-15T14:01:10.832Z,2023-01-15T22:19:16Z,3979652263,233,5,3979652169,56,Back,3979652171,285,,,,,,,,,,,,,,,,,8i46yzejeiwdmz0tywmy42o2y,L. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702729,6,1,1,0,4,1c8m2ko0wxq1asfkuykurdr0y,0,73.6,20.6,2023-01-15T14:01:10.900Z,2023-01-16T02:03:24Z,3979652295,140,88.8,3979652299,212,18.3,3979652301,213,0.5,3979652293,56,Center,3980809629,388,,3979652297,141,33.9,3979652291,3,,,,,9c927a1i8iqblent14xat7aad,J. Ayew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702733,4,52,1,0,7,9q0arba2kbnywth8bkxlhgmdr,1,14.1,68.2,2023-01-15T14:01:13.443Z,2023-01-15T22:19:21Z,3980809679,178,,3980352129,377,,,,,,,,,,,,,,,,,,,,6j3wbk9xlq4om4m8ih6b3tyvp,Kepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702781,5,1,1,0,9,9q0arba2kbnywth8bkxlhgmdr,1,13.3,57.2,2023-01-15T14:01:15.624Z,2023-01-15T22:19:25Z,3980809749,178,,3979652577,56,Back,3979652585,213,5.1,3979652583,212,16.3,3979652579,140,19.8,3979652575,123,,3979652581,141,35.5,,,,6j3wbk9xlq4om4m8ih6b3tyvp,Kepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
