id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2530197379,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-04-08T13:00:01.938Z,2023-04-08T14:03:46Z,4172038711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172038707,194,6jgocc12bori2wygyu07c082x,4172038697,30,"eagrmpe9ft8daly57l1ja8lhx, 4ryipy52oscxkv71ws0os5w5, 9w5o8b18ffu4qr4bdnfrk4ogl, 6wwagkprtmcadu8p6klcu2uhh, 9qdm0nxg1g046olii48z3crf9, bmk0efhzrno1sgr3g8yijoa8l, d542ijpf3j9hdrtt1mfe6vwlx, 6jgocc12bori2wygyu07c082x, 3c7vnmec038bhz5rq36ywi2fp, ashza2qkgnak7wb3vuz5bnzyt, 6aix9yu384pv1caanqiol231l, 6gq38x5xbyz0moa1sk0aw082x, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, 9eaevg9okpy4gcm6yofg7vbv9, f2pknjv2uohldehbp39j0so2d, exviw7gzg5p3vaiwaq4ujw9ud, cm0gwoyh5rdb216fx685a7l5h, 3o0zpl9cnmna2hyk595ja0xrd, 8qezzr83ofw7htqufohg2fwlx",4172038703,130,2,4172038705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172038699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172038709,197,4983,4172038701,59,"1, 5, 3, 28, 4, 21, 20, 41, 9, 18, 8, 2, 10, 12, 13, 14, 22, 24, 27, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197387,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-04-08T13:00:03.634Z,2023-04-08T13:00:25Z,4172038769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172038761,59,"17, 12, 33, 26, 4, 13, 14, 6, 30, 18, 20, 1, 2, 5, 8, 10, 11, 21, 28, 31",4172038765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172038763,130,8,4172038767,194,b1el7j39v2pgvl9zodd9usded,4172039521,197,4967,4172038757,30,"2f79rc4i712sxstahjkq6pxp1, zo32khapaj950oma9gipptxx, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 2qy2d8xkwkbeyw5v8ljlzb845, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, f0drogjsrwqv3hyjxuqcnk8vd, dkwkmrmpb7rq4e660efcu5hat, cdrzpuj49ploquvdolgh5c3bp, chn2v9j6dqmuz2haoiuulbd91",4172038759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239673,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-04-08T14:00:15.554Z,2023-04-08T14:00:19Z,4172252909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239657,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-04-08T14:00:15.554Z,2023-04-08T19:34:53Z,4172252841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239697,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,50.3,49.5,2023-04-08T14:00:15.601Z,2023-04-08T20:05:52Z,4173984321,178,,4172253041,141,57.5,4172253039,140,40.5,4172253045,213,2.7,4172253037,56,Back,4172253043,212,11.6,4172253047,279,S,,,,ashza2qkgnak7wb3vuz5bnzyt,D. Ings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239735,4,1,1,0,1,4txjdaqveermfryvbfrr4taf7,1,39.4,56.7,2023-04-08T14:00:17.299Z,2023-04-08T20:06:00Z,4173984659,178,,4172253179,212,14.1,4172253175,140,39.5,4172253173,56,Back,4172253177,141,77.5,4172253181,213,1.6,,,,,,,6jgocc12bori2wygyu07c082x,D. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239823,5,1,1,0,4,4txjdaqveermfryvbfrr4taf7,1,41,80.3,2023-04-08T14:00:20.163Z,2023-04-08T20:06:06Z,4172253523,212,44.5,4172253527,1,,4172253515,155,,4172253519,140,82.9,4172253517,56,Left,4172253521,141,90.2,4172253525,213,0.2,4173985031,178,,9w5o8b18ffu4qr4bdnfrk4ogl,A. Cresswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239831,6,3,1,0,9,4txjdaqveermfryvbfrr4taf7,0,80.5,93.3,2023-04-08T14:00:24.983Z,2023-04-08T20:06:17Z,4172253567,56,Left,4172253637,233,3,4173985695,178,,4173365155,465,,4172253569,286,,,,,,,,,,,3c7vnmec038bhz5rq36ywi2fp,M. Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239837,3,7,1,0,9,hzqh7z0mdl3v7gwete66syxp,1,19.5,6.7,2023-04-08T14:00:25.312Z,2023-04-08T20:06:21Z,4172253611,233,6,4172253575,167,,4172253579,285,,4173364789,385,,4172253577,56,Back,4173985843,178,,,,,,,,zo32khapaj950oma9gipptxx,Cédric Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239861,4,5,1,0,10,hzqh7z0mdl3v7gwete66syxp,0,22.6,-1.2,2023-04-08T14:00:26.206Z,2023-04-08T20:06:25Z,4172253875,233,7,4172253675,347,,4172253673,56,Back,,,,,,,,,,,,,,,,zo32khapaj950oma9gipptxx,Cédric Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
