id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value
2527863055,1141,67,1,0,9,d5ydtvt96bv7fq04yqm2w2632,1,65.4,83.8,2023-04-02T13:01:10.314Z,2023-04-02T20:51:00Z,4159611575,233,923,,,,,,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527863047,923,67,1,0,9,4txjdaqveermfryvbfrr4taf7,0,34.6,16.2,2023-04-02T13:01:10.315Z,2023-04-02T20:44:51Z,4159611605,233,1141,,,,,,,,,,,,,,,,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476137,7,1,1,0,9,d5ydtvt96bv7fq04yqm2w2632,0,61.9,91.7,2023-04-02T13:01:10.320Z,2023-04-02T20:51:00Z,4157559303,56,Left,4157559311,213,6.0,4157559305,140,75.7,4159483601,178,,4157559309,212,15.1,4157559307,141,85.3,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476179,5,1,1,0,10,4txjdaqveermfryvbfrr4taf7,0,25,18.5,2023-04-02T13:01:11.177Z,2023-04-02T20:12:51Z,4157559547,140,47.5,4157559551,212,24.0,4157559549,141,12.4,4159483945,178,,4157559545,56,Back,4157559555,1,,4157559543,157,,4157559553,213,6.1,9qdm0nxg1g046olii48z3crf9,K. Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476257,8,1,1,0,14,d5ydtvt96bv7fq04yqm2w2632,1,45.9,87.4,2023-04-02T13:01:14.622Z,2023-04-02T20:12:55Z,4157559941,140,27.9,4157559947,213,3.8,4157559945,212,23.3,4157559943,141,67.3,4159484145,178,,4157559939,56,Back,,,,,,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476299,9,1,1,0,16,d5ydtvt96bv7fq04yqm2w2632,1,28.3,69.6,2023-04-02T13:01:17.233Z,2023-04-02T20:12:58Z,4159484357,178,,4157560153,212,8.8,4157560143,56,Back,4157560155,213,6.2,4157560151,141,68.1,4157560147,140,36.6,,,,,,,1tbc8iokapjgu8zjrc1knq28l,J. Bednarek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476359,10,1,1,0,18,d5ydtvt96bv7fq04yqm2w2632,1,34.4,69.3,2023-04-02T13:01:18.948Z,2023-04-02T20:13:03Z,4157560465,56,Back,4157560473,213,1.8,4157560471,212,16.9,4159484801,178,,4157560467,140,31.5,4157560469,141,93.8,,,,,,,dgjl6ks0r7lbh09fe8cuwj7ro,R. Lavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476417,11,1,1,0,21,d5ydtvt96bv7fq04yqm2w2632,1,32.4,94.4,2023-04-02T13:01:22.001Z,2023-04-02T20:13:06Z,4157560767,213,4.3,4157560761,140,29.8,4157560765,212,6.8,4157560763,141,85.3,4159485037,178,,4157560759,56,Back,,,,,,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476499,12,1,1,0,23,d5ydtvt96bv7fq04yqm2w2632,1,25.9,76.7,2023-04-02T13:01:24.335Z,2023-04-02T20:13:09Z,4157561181,212,22.0,4157561175,56,Back,4157561183,213,3.5,4157561177,140,6.4,4159485289,178,,4157561179,141,64.8,,,,,,,dgjl6ks0r7lbh09fe8cuwj7ro,R. Lavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476535,13,1,1,0,27,d5ydtvt96bv7fq04yqm2w2632,1,6.9,66.4,2023-04-02T13:01:27.480Z,2023-04-02T20:13:12Z,4159485457,178,,4157561331,141,96.6,4157561325,155,,4157561335,213,0.8,4157561333,212,28.9,4157561329,140,26.3,4157561327,56,Back,,,,8jw1c54yfsk2m13uyl5yi5hm2,G. Bazunu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
