id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value,assist,qualifier/20/value
2537006831,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-04-22T13:00:14.801Z,2023-04-22T14:04:03Z,4208197631,130,17,4208197627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208197637,197,16649,4208197633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208197639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208197635,194,19nlw3sa0khwz0el4wqc7zrp,4208197625,30,"9sme7jykdv8msgfu0nxx6h39x, 3mgjcyaseuexxlssgatjgsand, 59wmst2hxu6y4zut9a48jxiw9, 12cgiy0t282ywdbr5j78hrxsl, 9rf5uk6c2wce30b9wkmu3iuad, f30avgacyfz88ppw9mh8v57md, 19nlw3sa0khwz0el4wqc7zrp, 95uxoznu15m2xywirv43rcmol, 55eiicx10oqok1601fqyovt1x, 55yy0p6johtu9nxk90zsfctt5, dsvi49wsvjqdbiddyme3xow7o, 1tuivl8zdnsaz8vbed2z582qx, 5f72vvw62zdlyrj3mwux2udat, 8bhdwi4p824s82bbzkh2vy6t, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 1l228p52d8wdf8qhfxqu8rca, 3ztcz2dgfniqv141w7xsky7zd, a4qjllaut1bo0ng3x4xu5lq6t, c88j7c4v5raimwoeh7dc7xlka",4208197629,59,"12, 7, 32, 26, 19, 38, 23, 5, 9, 10, 28, 4, 11, 13, 15, 16, 20, 25, 34, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006857,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-04-22T13:00:18.458Z,2023-04-22T13:00:18Z,4208197807,194,25yu90pekqr1lhs098f3uxy39,4208197803,130,4,4208197799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208197801,59,"1, 66, 26, 3, 5, 4, 14, 17, 18, 11, 20, 2, 6, 7, 19, 21, 23, 27, 32, 62",4208197797,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, eziqega9e25bg939pfh4vjp3p, 7mms3tmwizhtvzakotl4hv0et, 2zfjgh5747ge9r9q0thbk123t, dxze3b3fsfl814bjcs7q6wcet, 25yu90pekqr1lhs098f3uxy39, 3kdl679ra6mlobdg09xqf7fft, 9psfk94nduz6icnuwty5v9all, 5ilkkfbsss0bxd6ttdlqg0uz9, bz2p1aiij462e1emd7sh5psd1, 29dp5gmu5xbd04mozwxq5tjh1, dbvpo938uwe0s420lospkethx, 3xqbru6q5dvtrhv6coe7retp1, dz2rfsmhib89jwilpuub10qcq, 3kwkd3b95n8qzqtq4idxav45x, 5ch0r2awkzjfd4hv6kbw6c9gp, 5e300bc3sbmy6iqpvmic34qju, kvchpptoxgvcyiv358w9gtzp, dpw4s6nbkfcrjlqxxgf9j5yhh",4208197809,197,4975,4208197811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208197805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055503,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-04-22T14:00:16.595Z,2023-04-22T14:00:16Z,4208447747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055511,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-04-22T14:00:16.595Z,2023-04-23T01:14:24Z,4208447761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055541,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,50.1,49.6,2023-04-22T14:00:16.646Z,2023-04-22T21:22:30Z,4210973165,178,,4208447911,212,22.7,4208447905,56,Back,4208447909,141,48.1,4208447913,213,3.2,4208447915,279,S,4208447907,140,28.5,,,,dsvi49wsvjqdbiddyme3xow7o,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055567,4,1,1,0,2,1qtaiy11gswx327s0vkibf70n,1,29.3,55.1,2023-04-22T14:00:19.506Z,2023-04-22T21:22:34Z,4208448051,213,0.3,4208448039,140,63.2,4208448035,155,,4208448037,56,Center,4210973245,178,,4208448047,212,37.7,4208448043,141,73.2,4208448055,1,,f30avgacyfz88ppw9mh8v57md,Felipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055619,5,1,1,0,4,1qtaiy11gswx327s0vkibf70n,1,63.4,73.5,2023-04-22T14:00:21.368Z,2023-04-22T21:22:42Z,4208448285,168,,4208448289,140,71.9,4208448291,141,76.2,4208448293,212,9.1,4210973435,388,,4208448295,213,0.2,4208448287,56,Center,4208448283,3,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055625,6,4,1,0,6,1qtaiy11gswx327s0vkibf70n,1,67.9,77.7,2023-04-22T14:00:22.837Z,2023-04-22T21:22:45Z,4208448413,233,3,4208448313,286,,4208448311,265,,4208448305,13,,4208448309,152,,4208448307,56,Center,,,,,,,55eiicx10oqok1601fqyovt1x,T. Awoniyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055637,3,4,1,0,6,c8h9bw1l82s06h77xxrelzhur,0,32.1,22.3,2023-04-22T14:00:22.838Z,2023-04-22T21:22:45Z,4210973517,178,,4208448433,233,6,4208448353,13,,4208448357,152,,4208448355,56,Back,4208448361,285,,4208448359,265,,,,,2zfjgh5747ge9r9q0thbk123t,I. Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056209,7,1,1,0,42,1qtaiy11gswx327s0vkibf70n,1,70,84.6,2023-04-22T14:00:59.046Z,2023-04-22T21:22:52Z,4208450807,141,25.1,4208450801,152,,4208450813,1,,4208450797,155,,4208450791,2,,4210973745,178,,4209753159,20,,4209753157,223,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,4208450803,56,Center,4208450793,5,4208450805,140,92.6,4208450809,212,46.9,4208450811,213,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
