id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2481701625,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-11-05T14:00:13.696Z,2022-11-05T15:00:31Z,3895340663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895340673,197,4986,3895340671,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3895340665,59,"1, 22, 64, 8, 4, 23, 6, 28, 11, 17, 10, 3, 13, 14, 19, 25, 37, 59, 63, 66",3895340667,130,4,3895340675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340661,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, f1lellpt59ka10kyngi7vsqy2, 8kw1y8mzxtwl4fv8qkc8hoc7p, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, 5v5jv44a8y2n7p1tb8jsxt2ei, 9l7ph5603tbb7xwyxpvjg22fp, dl8x6fzdexn8r0sj65vgcgq8l, 7pmigpf4yfi6dfih8e1ogdwb9, 50y6nq2eok9lnmldevkamkkwl, 9jxhgh1vhc531ho0ez5alfazu, ee0c6prj79s48erjp7bgbr3dh, 8i3y6fo1y3gizq05j2im17c6i, 7wzwqegxhekjwq361dd2nidp1, ehv4rise2fx4u1wepwtwllb6x, e83zd56y74k8uecxqyo5xw7v9, 5he3j18ix8tre84r8uls8ytm2, 5qbf4c16hhwfpfboo4o3lfro, 3e0lnlazud52b7gan1sedvi3u",3895340669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481701689,1,34,16,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-11-05T14:00:20.346Z,2022-11-05T15:01:45Z,3895340987,130,8,3895340985,59,"1, 13, 30, 25, 4, 5, 7, 10, 11, 14, 22, 2, 6, 18, 19, 20, 21, 23, 27, 34",3895340993,197,4955,3895340989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340981,30,"d9yxninyn4bac8f0ufxsnlqll, 3k6znit6fd9mbfcnphlwyvj6d, 87g6qlasqe627i5g7ir30j2sp, 3uc9z96xvain84leorf4ls962, 6o9mxqdmxip6ik6w6zgd7k8ut, jagvvzc7329tf2c64mnc251, 2wwo7wcxz4gfy0ubkzynvrsnp, am6ppbdrbz4ml3xsbty53o73d, 8qwpdf5jof7o6yy47v6iv11hx, f34582vxl4yv5qqudl09a7umt, aititrd343hal6ount0dp5zze, 83jpq8fuprm9h1e2thoxv1tyh, 573hlc6devy50gjotyav9ql4a, c0yxqwkxqx1sty7abj1qwh9zp, 8ok0giwhuu7ax85ngr8tunpey, 1mf7tr17fqnddm23nx1z1tsh6, 6rutvrgco8li4nyz7tfayxb6x, 31xsuz1icsj7zt1462swjpk2d, 5okl8s3e8ad2add75m46ojo4p, bh20puvz2w21mnag7ul1g3c9h",3895340983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895340995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340991,194,jagvvzc7329tf2c64mnc251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758053,2,32,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-11-05T15:00:12.417Z,2022-11-05T15:00:12Z,3895632725,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758059,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-11-05T15:00:12.417Z,2022-11-05T22:53:16Z,3895632763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758083,3,1,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,49.8,49.7,2022-11-05T15:00:12.495Z,2022-11-06T00:48:10Z,3897834277,178,,3895632911,279,S,3895632903,140,40.2,3895632909,213,3.4,3895632901,56,Back,3895632907,212,10.4,3895632905,141,46.0,,,,f34582vxl4yv5qqudl09a7umt,A. Lallana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758117,4,1,1,0,1,e5p0ehyguld7egzhiedpdnc3w,1,43.3,45.6,2022-11-05T15:00:13.882Z,2022-11-06T00:48:16Z,3895633067,140,39.0,3895633071,212,11.0,3895633065,56,Back,3895633069,141,60.4,3897834331,178,,3895633073,213,2.0,,,,,,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758149,5,1,1,0,2,e5p0ehyguld7egzhiedpdnc3w,1,37.2,61.8,2022-11-05T15:00:14.690Z,2022-11-06T02:42:49Z,3895633225,213,5.0,3895633221,141,48.0,3895633217,56,Back,3897835011,178,,3895633223,212,9.7,3895633219,140,39.6,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482190289,2004,1,1,0,2,e5p0ehyguld7egzhiedpdnc3w,1,38.2,48.4,2022-11-05T15:00:15.268Z,2022-11-06T02:42:47Z,3897962921,212,12.9,3897962927,178,,3897962919,141,49.6,3897962915,56,Back,3897962923,213,3.1,3897962917,140,25.9,,,,,,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758165,6,1,1,0,5,e5p0ehyguld7egzhiedpdnc3w,1,25.4,60.2,2022-11-05T15:00:17.605Z,2022-11-06T00:49:50Z,3895633271,140,27.0,3895633269,56,Back,3895633277,213,4.9,3897835665,178,,3895633275,212,11.7,3895633273,141,43.1,,,,,,,jagvvzc7329tf2c64mnc251,L. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758217,7,1,1,0,7,e5p0ehyguld7egzhiedpdnc3w,1,26.9,43.1,2022-11-05T15:00:19.522Z,2022-11-06T00:49:54Z,3895633457,56,Back,3895633463,212,13.8,3895633459,140,26.4,3895633461,141,63.4,3895633465,213,1.6,3897835703,178,,,,,,,,6o9mxqdmxip6ik6w6zgd7k8ut,A. Webster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
