id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value
2530648459,1786,83,1,0,11,9q0arba2kbnywth8bkxlhgmdr,1,48.7,14.7,2023-04-08T14:00:21.036Z,2023-04-08T23:48:11Z,4174400489,399,510362,,,,,,,,,,,,,,,,,,,,,,c83h08n0vnjvfgglyefy03h0p,C. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239807,9,1,1,0,11,b9si1jn1lfxfund69e9ogcu2n,0,54.4,92.1,2023-04-08T14:00:21.046Z,2023-04-08T21:47:33Z,4172343371,236,,4172343373,233,151,4172253449,140,59.0,4172253447,56,Left,4172253455,213,6.2,4172253453,212,4.8,4172343377,286,,4172253451,141,91.7,29f3jvukalzylzr19t9phgxgq,Toti,4174204433,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530257947,151,74,1,0,11,9q0arba2kbnywth8bkxlhgmdr,1,41.6,6.2,2023-04-08T14:00:21.072Z,2023-04-08T21:47:37Z,4172342831,56,Back,4172342833,285,,4174204587,178,,4172343391,233,9,,,,,,,,,,,,,c83h08n0vnjvfgglyefy03h0p,C. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239809,10,3,1,0,14,b9si1jn1lfxfund69e9ogcu2n,0,68.8,89.8,2023-04-08T14:00:23.949Z,2023-04-08T21:47:58Z,4172253459,56,Left,4172349153,286,,4172578601,233,159,4173755715,464,,4174205495,178,,,,,,,,,,,8rfgwq7hbi4a3imda845vdyvp,M. Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530258987,159,7,1,0,15,9q0arba2kbnywth8bkxlhgmdr,1,31.2,10.2,2023-04-08T14:00:25.425Z,2023-04-08T21:48:02Z,4172348019,285,,4173755861,384,,4172349189,233,10,4174205649,178,,4172348017,56,Back,,,,,,,,,,dczrgxyolp7lcz413wkz7ap61,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239869,3,49,1,0,16,9q0arba2kbnywth8bkxlhgmdr,1,30.5,16.6,2023-04-08T14:00:26.435Z,2023-04-08T21:48:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7yirx71oya71zjsgldj5ucqcq,W. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530619405,1179,43,1,0,16,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-04-08T14:00:26.517Z,2023-04-08T22:48:09Z,4174284037,144,67,4174248331,233,921,,,,,,,,,,,,,,,,,,,7yirx71oya71zjsgldj5ucqcq,W. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530619401,921,43,1,0,16,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-04-08T14:00:26.518Z,2023-04-08T22:48:09Z,4174284031,144,67,4174248347,233,1179,,,,,,,,,,,,,,,,,,,8rfgwq7hbi4a3imda845vdyvp,M. Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530527073,764,45,1,0,17,b9si1jn1lfxfund69e9ogcu2n,0,69.3,79.8,2023-04-08T14:00:27.073Z,2023-04-08T21:48:16Z,4174147795,233,963,4173757539,286,,4173757537,56,Left,,,,,,,,,,,,,,,,8rfgwq7hbi4a3imda845vdyvp,M. Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530527067,963,3,1,0,17,9q0arba2kbnywth8bkxlhgmdr,1,30.7,20.2,2023-04-08T14:00:27.073Z,2023-04-08T21:48:15Z,4174206079,178,,4173758047,465,,4174147781,233,764,4173757531,56,Back,4173757533,285,,,,,,,,,,,7yirx71oya71zjsgldj5ucqcq,W. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239911,4,4,1,0,17,9q0arba2kbnywth8bkxlhgmdr,1,37.8,15.2,2023-04-08T14:00:27.160Z,2023-04-08T21:48:18Z,4172253879,13,,4172253887,152,,4172253885,56,Back,4172253883,294,,4172253889,286,,4172253907,233,11,,,,,,,7yirx71oya71zjsgldj5ucqcq,W. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530239867,11,4,1,0,17,b9si1jn1lfxfund69e9ogcu2n,0,62.2,84.8,2023-04-08T14:00:27.161Z,2023-04-08T21:48:17Z,4172253685,56,Left,4172253683,13,,4172363659,294,,4172253691,285,,4172253687,152,,4172253981,233,4,4174206115,178,,,,,8rfgwq7hbi4a3imda845vdyvp,M. Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240065,5,1,1,0,28,9q0arba2kbnywth8bkxlhgmdr,1,33.7,27.8,2023-04-08T14:00:37.995Z,2023-04-08T21:48:25Z,4174206335,178,,4172254525,5,,4172254531,140,26.3,4172254533,141,53.7,4172254535,212,19.2,4172254529,56,Back,4172254527,152,,4172254537,213,2.0,1zxwich342p8fholev7ddkwh6,E. Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240083,6,1,1,0,30,9q0arba2kbnywth8bkxlhgmdr,1,26.3,53.7,2023-04-08T14:00:40.602Z,2023-04-08T21:48:30Z,4172254619,56,Back,4172254625,212,14.6,4172254623,141,68.7,4172254621,140,36.2,4174206493,178,,4172254627,213,0.8,,,,,,,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240109,7,1,1,0,33,9q0arba2kbnywth8bkxlhgmdr,1,37.2,70.6,2023-04-08T14:00:43.755Z,2023-04-08T21:48:32Z,4172254745,213,1.4,4172254743,212,16.9,4172254741,141,95.0,4172254739,140,40.2,4174206521,178,,4172254737,56,Back,,,,,,,ehopba709zukxj4vgcync942d,M. Kovačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240163,8,1,1,0,36,9q0arba2kbnywth8bkxlhgmdr,1,37.6,92.6,2023-04-08T14:00:46.289Z,2023-04-08T21:48:38Z,4172254971,141,76.1,4172254975,213,3.9,4172254973,212,15.9,4172254967,56,Back,4172254969,140,26.9,4174206575,178,,,,,,,,7c2wnewpcf1idj6ghj6gu0wyd,Marc Cucurella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240191,9,1,1,0,39,9q0arba2kbnywth8bkxlhgmdr,1,23.7,62.4,2023-04-08T14:00:49.345Z,2023-04-08T21:48:41Z,4172255099,213,4.6,4172255093,140,22.1,4172255095,141,33.0,4172255091,56,Back,4172255097,212,20.1,4174206661,178,,,,,,,,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240223,10,1,1,0,41,9q0arba2kbnywth8bkxlhgmdr,1,21.1,32.1,2023-04-08T14:00:51.042Z,2023-04-08T21:48:44Z,4172255209,212,14.7,4172255211,213,2.3,4174206725,178,,4172255205,140,11.3,4172255203,56,Back,4172255207,141,47.5,,,,,,,7yirx71oya71zjsgldj5ucqcq,W. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240271,11,1,1,0,43,9q0arba2kbnywth8bkxlhgmdr,1,11.3,47.5,2023-04-08T14:00:53.483Z,2023-04-08T21:48:47Z,4172255439,213,1.4,4172255435,141,74.0,4172255433,140,14.0,4172255431,56,Back,4174206791,178,,4172255437,212,18.2,,,,,,,6j3wbk9xlq4om4m8ih6b3tyvp,Kepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240303,12,1,1,0,46,9q0arba2kbnywth8bkxlhgmdr,0,15.6,87.1,2023-04-08T14:00:56.787Z,2023-04-08T21:48:51Z,4172255557,213,0.0,4172255549,140,32.5,4172255551,141,87.7,4172255547,56,Back,4172255553,212,17.7,4174206879,178,,,,,,,,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241717,18,8,1,0,48,b9si1jn1lfxfund69e9ogcu2n,1,61,27.3,2023-04-08T14:00:57.851Z,2023-04-08T21:48:55Z,4174206991,178,,4172262097,56,Center,4173761265,383,,,,,,,,,,,,,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
