id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2469578257,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-10-09T12:00:14.303Z,2022-10-09T13:01:29Z,3831237029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831237025,194,b1el7j39v2pgvl9zodd9usded,3831237017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831237021,130,8,3831237019,59,"17, 14, 33, 26, 4, 13, 21, 6, 30, 18, 7, 1, 5, 8, 10, 25, 27, 31, 38, 47",3831237015,30,"2f79rc4i712sxstahjkq6pxp1, ch8dgambei1xbzmikkglg3c9h, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, dkwkmrmpb7rq4e660efcu5hat, a9k2946gt4hcqw8jpi6ow3jdh, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, 1ehvdoglquy9ldibpvajw34d1, 46jsa691lantlbcfqm1rtnlcl, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, 5q5q7pp5zwdy0x1vnutgeomad, fwu0bja02waqct7l682s5mfp, chn2v9j6dqmuz2haoiuulbd91, afef63w1s01vagw51lo85qcd0, 1ky09avsu2ndb4onl10pyo1zo",3831237027,197,4967,3831237023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578335,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-09T12:00:19.250Z,2022-10-09T12:00:19Z,3831237415,194,6jgocc12bori2wygyu07c082x,3831237409,59,"1, 24, 3, 41, 15, 4, 20, 28, 7, 11, 8, 2, 5, 9, 10, 12, 13, 21, 22, 33",3831237419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831237405,30,"eagrmpe9ft8daly57l1ja8lhx, cm0gwoyh5rdb216fx685a7l5h, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 2unorlgh6lxy19g0pgydg65ed, 9qdm0nxg1g046olii48z3crf9, d542ijpf3j9hdrtt1mfe6vwlx, 6wwagkprtmcadu8p6klcu2uhh, 4ml8pyt3rxwxakjxslg0c8kb9, at7mm2zrj2hjhu4bnq1f9noix, 6aix9yu384pv1caanqiol231l, 6gq38x5xbyz0moa1sk0aw082x, 4ryipy52oscxkv71ws0os5w5, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, 9eaevg9okpy4gcm6yofg7vbv9, bmk0efhzrno1sgr3g8yijoa8l, exviw7gzg5p3vaiwaq4ujw9ud, 8qezzr83ofw7htqufohg2fwlx",3831237411,130,8,3831237407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831237417,197,4983,3831237413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635793,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-09T13:00:22.368Z,2022-10-09T21:51:39Z,3831504103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635781,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-10-09T13:00:22.368Z,2022-10-09T13:00:22Z,3831504077,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635855,3,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,50,50,2022-10-09T13:00:22.432Z,2022-10-09T22:30:11Z,3831504455,140,41.2,3831504459,141,49.9,3831504471,279,S,3831504467,213,3.1,3831504463,212,9.2,3834007343,178,,3831504453,56,Back,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635867,4,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,1,43.6,50,2022-10-09T13:00:24.482Z,2022-10-09T22:30:17Z,3831504557,213,0.5,3831504553,141,59.6,3831504549,56,Center,3831504555,212,14.8,3831504551,140,56.2,3834007635,178,,,,,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635881,5,1,1,0,4,hzqh7z0mdl3v7gwete66syxp,0,55.7,56.9,2022-10-09T13:00:26.700Z,2022-10-09T22:30:22Z,3831504627,56,Right,3831504637,1,,3831504633,212,32.7,3831504635,213,5.4,3834008021,178,,3831504629,140,75.2,3831504631,141,19.4,3831504625,155,,ah7iqgru0htz9lh1bff94cjbp,Andreas Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635917,3,1,1,0,6,4txjdaqveermfryvbfrr4taf7,1,27.6,83.4,2022-10-09T13:00:28.540Z,2022-10-09T22:30:27Z,3831504813,140,36.7,3831504817,212,11.7,3834008243,178,,3831504811,56,Back,3831504809,3,,3831504815,141,73.5,3831504819,213,5.7,,,,9w5o8b18ffu4qr4bdnfrk4ogl,A. Cresswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635921,4,49,1,0,7,4txjdaqveermfryvbfrr4taf7,1,36.7,73.5,2022-10-09T13:00:29.838Z,2022-10-09T22:30:32Z,,,,,,,,,,,,,,,,,,,,,,,,,6aix9yu384pv1caanqiol231l,Pablo Fornals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635949,5,1,1,0,7,4txjdaqveermfryvbfrr4taf7,1,36.7,73.5,2022-10-09T13:00:29.866Z,2022-10-09T22:30:38Z,3831504951,140,21.2,3831504955,212,17.3,3831504949,56,Back,3834008793,178,,3831504953,141,65.0,3831504957,213,3.5,,,,,,,6aix9yu384pv1caanqiol231l,Pablo Fornals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
