id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/value,qualifier/16/value,qualifier/14/value,qualifier/18/value
2471991243,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-10-15T13:00:06.946Z,2022-10-15T13:00:07Z,3844054095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844054101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844054093,30,"2f79rc4i712sxstahjkq6pxp1, ch8dgambei1xbzmikkglg3c9h, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, dkwkmrmpb7rq4e660efcu5hat, a9k2946gt4hcqw8jpi6ow3jdh, b27pmpcvny40pkcx87tdddsyd, ah7iqgru0htz9lh1bff94cjbp, 1ehvdoglquy9ldibpvajw34d1, 46jsa691lantlbcfqm1rtnlcl, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, afcwu800ox2u5zx6xaiygg1qt, fwu0bja02waqct7l682s5mfp, 94zmvxw7yw020w43dn0qiclbd, afef63w1s01vagw51lo85qcd0",3844054107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844054097,59,"17, 14, 33, 26, 31, 13, 21, 6, 9, 18, 7, 1, 4, 5, 8, 10, 20, 27, 30, 38",3844054103,194,b1el7j39v2pgvl9zodd9usded,3844054105,197,4967,3844054099,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471991293,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-15T13:00:10.419Z,2022-10-15T16:43:27Z,3844054301,197,2071,3844054293,59,"13, 2, 15, 8, 6, 25, 10, 4, 9, 29, 16, 1, 3, 14, 17, 19, 20, 21, 32, 33",3844054295,130,8,3844054303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844054299,194,80bmtj7l07ohb2h475w955n9,3844054291,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844054289,30,"1um5sa7iogc29aadvkabadyad, y51k2gwbs4xmkao0mnaaa76d, 80bmtj7l07ohb2h475w955n9, 6gxyeuqjnyj9bl4n8kz14sv6d, bvlkh4zxfuo5frhj7ogpnecbt, 95pzsjfh0wf6isp6qpf9lddyh, cr4c6htcw2jewsvboj6s8p045, djelmk2oafas355n2u0d1bumt, dvj6rdi2k0td95oxldbj6e28l, 33cny48k38nlo8pcx3i24ldqt, b3gobhr43y8oxpafvp4f8rgmh, 12l99v9rpet6ug6n121tg6ay1, e6la6wx7o6x7k4srpq8tdsafp, 2u0613a3yx2fk1pefmb722rbp, bzjzvw54k5cmo93wdkjv89knp, 4fsvhj2hcujfwrz0kjo76u1g5, b187awt0wdxh20fx1rn5vgewa, efq6i6kz6ca3u91snwmptef2t, 8cmkqkrjme3wb0gegzn1e6xre, 918sxflcvngsy0xvc9dh3jaei",3844054297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053185,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-15T14:00:36.532Z,2022-10-15T14:00:39Z,3844379983,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053161,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-10-15T14:00:36.532Z,2022-10-15T21:57:49Z,3844379903,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053247,3,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,50,50,2022-10-15T14:00:36.592Z,2022-10-15T22:19:16Z,3844380255,141,57.8,3844380261,279,S,3844380253,140,34.1,3846969501,178,,3844380251,56,Back,3844380259,213,2.8,3844380257,212,17.5,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053301,4,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,0,34.2,57,2022-10-15T14:00:39.024Z,2022-10-15T22:19:22Z,3844380499,140,67.8,3844380509,213,5.6,3844380507,212,45.6,3844380497,56,Right,3846969607,178,,3844380511,1,,3844380503,141,14.4,3844380495,155,,b1el7j39v2pgvl9zodd9usded,T. Ream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053321,3,1,1,0,5,1pse9ta7a45pi2w2grjim70ge,0,32.6,80.7,2022-10-15T14:00:42.127Z,2022-10-15T22:19:27Z,3844380637,212,9.7,3846969725,388,,3844380631,56,Back,3844380639,213,0.8,3844380635,141,90.6,3844380633,140,39.3,3844380629,3,,,,,33cny48k38nlo8pcx3i24ldqt,P. Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053423,5,1,1,0,7,hzqh7z0mdl3v7gwete66syxp,0,62.5,6.2,2022-10-15T14:00:44.261Z,2022-10-15T22:19:36Z,3844381181,212,24.2,3846969829,178,,3844381175,140,85.1,3844381171,56,Right,3844381177,141,0.0,3844381185,213,6.1,3844381169,155,,,,,ch8dgambei1xbzmikkglg3c9h,B. De Cordova-Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053493,4,5,1,0,11,1pse9ta7a45pi2w2grjim70ge,1,14,101.4,2022-10-15T14:00:48.072Z,2022-10-15T22:19:41Z,3844381487,347,,3844381481,56,Back,3844381493,233,6,,,,,,,,,,,,,,,,b3gobhr43y8oxpafvp4f8rgmh,M. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053429,6,5,1,0,11,hzqh7z0mdl3v7gwete66syxp,0,86,-1.4,2022-10-15T14:00:48.072Z,2022-10-15T22:19:41Z,3844381201,347,,3844381199,56,Right,3844381525,233,4,,,,,,,,,,,,,,,,ch8dgambei1xbzmikkglg3c9h,B. De Cordova-Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
