id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,assist,qualifier/21/value
2451351559,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-08-27T10:31:37.447Z,2022-08-27T11:34:31Z,3734184035,59,"31, 2, 19, 45, 37, 22, 9, 8, 10, 7, 24, 1, 4, 6, 15, 17, 18, 27, 35, 43",3734184031,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, e382powtgetwn8npxf9nqeaga, dgjl6ks0r7lbh09fe8cuwj7ro, 7zkku0gboniozaks9yx0ous8a, 2r1u01vlym0nwcwx86bwbuusq, dusjrdiyxfadenwx4pjr7catx, 7r6vds5j65fohi1k28cnqjqvp, 59ujnkvl7rlffomi2bqpsmbpx, 37bmb84zex63yoipqwj01bcgl, 6tckvu2rw7ns18dq7dim0sout, d3p7p18i2ybzlwz5p5gjdd239, 4042kk7ylrs378rh26b7mh42x, cuqawmfekh86mgo758udxw7v9, 67qku7vyvbw76086eu05nowd1, axnmil0bg1giwhoa31tks7ljp, 1qcj2upaz0xa98zkc835djo8a, 6xdgasd4dvfgg4n23jw38473d, 1tbc8iokapjgu8zjrc1knq28l, 9tdb905kq5becch102boicdex",3734184041,194,7r6vds5j65fohi1k28cnqjqvp,3734184043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734184039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734184033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734184037,130,8,3734341937,197,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451351761,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-08-27T10:32:05.677Z,2022-08-27T11:30:13Z,3734185263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734185257,59,"1, 20, 12, 14, 19, 6, 36, 39, 10, 8, 25, 18, 5, 7, 17, 22, 23, 29, 34, 49",3734185713,194,3vtjjrqof5z2tjj84ehadqc45,3734340283,197,16507,3734185261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734185255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734185259,130,8,3734185253,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, bl8667xvrhy0tft8x3lgopomh, awda32rw2clw0sjemf7rkcel1, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, 5wengf05apke7rv3kms186j56, 9fvo9v5e9r0ptibied6ejv3zd, 604osk9a3lxpfpkavuziqmn6x, 3vtjjrqof5z2tjj84ehadqc45, cv8egyrq9dlfgeamk6b7fdgq1, 6nb8hub5usi3iasywa2fjf1lh, 1vz038uyzmq8saskeeo0qhm8l, h17s3qts1dz1zqjw19jazzkl, dubi41xs74u89icfnn80vxx3p, 84hisj17nuwx4scnizuxap239, 7uxt9a7t22ij4reg1uire5uqd, e1t5rgvs2hwnldts6vn8agzc9, 6gruusc463fdln5uz1uzhne8l, e5eiuko5p1yms97xndrvcr0bu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384003,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-08-27T11:30:14.767Z,2022-08-27T11:30:16Z,3734356307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451383985,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-08-27T11:30:14.767Z,2022-08-27T19:46:49Z,3734356219,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384019,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,49.8,49.9,2022-08-27T11:30:14.796Z,2022-08-27T19:54:38Z,3734356401,56,Back,3734356409,213,3.2,3734356403,140,29.8,3734356411,279,S,3734356405,141,48.4,3737155053,178,,3734356407,212,21.0,,,,dusjrdiyxfadenwx4pjr7catx,A. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384037,4,1,1,0,1,d5ydtvt96bv7fq04yqm2w2632,1,30.1,47.9,2022-08-27T11:30:16.038Z,2022-08-27T19:54:45Z,3734356503,213,2.1,3737155721,178,,3734356495,56,Back,3734356501,212,3.4,3734356497,140,28.4,3734356499,141,52.1,,,,,,,7r6vds5j65fohi1k28cnqjqvp,J. Ward-Prowse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384073,5,1,1,0,2,d5ydtvt96bv7fq04yqm2w2632,0,28.4,52.1,2022-08-27T11:30:17.558Z,2022-08-27T19:54:49Z,3734356687,157,,3734356693,140,93.9,3734356699,213,6.0,3734356701,1,,3737155981,178,,3734356697,212,70.8,3734356689,56,Center,3734356695,141,27.6,8jw1c54yfsk2m13uyl5yi5hm2,G. Bazunu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384079,3,49,1,0,7,6eqit8ye8aomdsrrq0hk3v7gh,1,4.5,67.9,2022-08-27T11:30:22.738Z,2022-08-27T19:55:04Z,,,,,,,,,,,,,,,,,,,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384115,4,1,1,0,7,6eqit8ye8aomdsrrq0hk3v7gh,0,4.5,67.9,2022-08-27T11:30:22.747Z,2022-08-27T19:55:02Z,3734356915,141,100.0,3734356921,1,,3734356917,212,35.7,3734356911,56,Back,3737157115,178,,3734356919,213,0.7,3734356913,140,30.3,3734356909,157,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451384119,5,5,1,0,12,6eqit8ye8aomdsrrq0hk3v7gh,0,27.4,101.6,2022-08-27T11:30:27.505Z,2022-08-27T19:55:08Z,3734356929,347,,3734357859,233,6,3734356927,56,Back,,,,,,,,,,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
