id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/10/value,qualifier/12/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2449953747,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-08-22T18:00:32.299Z,2022-08-22T22:17:29Z,3726754365,130,8,3726754371,197,418,3726754373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3726754367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3726754359,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, bl8667xvrhy0tft8x3lgopomh, awda32rw2clw0sjemf7rkcel1, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, cv8egyrq9dlfgeamk6b7fdgq1, 9fvo9v5e9r0ptibied6ejv3zd, 604osk9a3lxpfpkavuziqmn6x, 3vtjjrqof5z2tjj84ehadqc45, 5wengf05apke7rv3kms186j56, 1vz038uyzmq8saskeeo0qhm8l, h17s3qts1dz1zqjw19jazzkl, 3ikhefktnj44ys7rqjzr5q09h, dubi41xs74u89icfnn80vxx3p, 84hisj17nuwx4scnizuxap239, 7uxt9a7t22ij4reg1uire5uqd, e1t5rgvs2hwnldts6vn8agzc9, 6gruusc463fdln5uz1uzhne8l, e5eiuko5p1yms97xndrvcr0bu",3726754363,59,"1, 20, 12, 14, 19, 6, 25, 39, 10, 8, 36, 5, 7, 9, 17, 22, 23, 29, 34, 49",3726754361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3726754369,194,3vtjjrqof5z2tjj84ehadqc45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449953785,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-08-22T18:00:38.861Z,2022-08-22T19:03:49Z,3726754577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3726754563,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, eziqega9e25bg939pfh4vjp3p, 25yu90pekqr1lhs098f3uxy39, 29dp5gmu5xbd04mozwxq5tjh1, dxze3b3fsfl814bjcs7q6wcet, dz2rfsmhib89jwilpuub10qcq, 3xqbru6q5dvtrhv6coe7retp1, 6b9erfx1rf9nff83300tntadx, 5ilkkfbsss0bxd6ttdlqg0uz9, 5ch0r2awkzjfd4hv6kbw6c9gp, 7mms3tmwizhtvzakotl4hv0et, 2r4ox2h5r7doo3ys9ynm2nbo5, 3kwkd3b95n8qzqtq4idxav45x, 6z1du1o69dgamvu2m8yi97dre, 31q177jwvtfisk6irzsu4eiqy, aqjq5mpg6qgnaf1exel9usjys, 8ckml3ywxcyv3w7978rki88vd, 58ixsja4yf7pskmshzo7ohwfe, b9hf18logq24r1nyutfg4ud7u",3726754569,130,4,3726754575,197,4976,3726754571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3726754565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3726754573,194,25yu90pekqr1lhs098f3uxy39,3726754567,59,"1, 66, 26, 14, 2, 4, 19, 7, 9, 11, 23, 3, 13, 21, 28, 42, 43, 47, 72, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978475,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-08-22T19:00:18.148Z,2022-08-22T19:00:18Z,3726896489,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978481,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-08-22T19:00:18.148Z,2022-08-23T03:41:05Z,3726896517,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978491,3,1,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,50.1,50,2022-08-22T19:00:18.181Z,2022-08-23T04:03:14Z,3726896575,212,19.9,3726896569,56,Back,3727397439,178,,3726896577,213,3.2,3726896579,279,S,3726896571,140,31.2,3726896573,141,47.5,,,,dz2rfsmhib89jwilpuub10qcq,H. Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978499,4,1,1,0,2,c8h9bw1l82s06h77xxrelzhur,0,32,47.9,2022-08-22T19:00:20.980Z,2022-08-23T04:03:18Z,3726896613,141,87.8,3726896611,140,75.5,3726896619,1,,3726896607,155,,3726896615,212,53.1,3726896609,56,Left,3727397467,178,,3726896617,213,0.5,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978503,3,44,1,0,5,6eqit8ye8aomdsrrq0hk3v7gh,1,25.1,11.1,2022-08-22T19:00:23.729Z,2022-08-23T07:09:54Z,3726896639,285,,3726896657,233,5,3726896637,56,Back,,,,,,,,,,,,,,,,3f3jcsa7gk6in9fskp9w5a5t5,Diogo Dalot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978507,5,44,1,0,5,c8h9bw1l82s06h77xxrelzhur,0,74.9,88.9,2022-08-22T19:00:23.730Z,2022-08-23T04:03:25Z,3726896655,286,,3726896723,233,3,3726896653,56,Left,,,,,,,,,,,,,,,,5ch0r2awkzjfd4hv6kbw6c9gp,L. Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449978509,4,1,1,0,5,6eqit8ye8aomdsrrq0hk3v7gh,1,27.3,8,2022-08-22T19:00:23.791Z,2022-08-23T07:09:54Z,3726896669,212,13.9,3726896661,3,,3726896663,56,Back,3727397533,388,,3726896667,141,10.4,3726896665,140,40.4,3726896671,213,0.1,,,,3f3jcsa7gk6in9fskp9w5a5t5,Diogo Dalot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450023719,697,1,1,0,7,6eqit8ye8aomdsrrq0hk3v7gh,0,43,13.3,2022-08-22T19:00:25.826Z,2022-08-23T04:03:57Z,3727164397,140,52.6,3727164395,56,Right,3727164391,3,,3727164399,141,20.5,3727164393,168,,3727164401,212,11.2,3727397635,178,,3727164403,213,0.5,604osk9a3lxpfpkavuziqmn6x,M. Rashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
