id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2509008201,9,1,1,0,25,4dsgumo7d4zupm2ugsvm4zm4d,1,41.3,62,2023-02-18T12:31:05.538Z,2023-02-18T17:58:26Z,4041036549,178,,4039025971,141,30.1,4039025975,213,4.5,4039025967,140,36.9,4039025963,56,Back,4039025973,212,22.2,,,,,,,8libvn3hxypz8x7gm4mr7kj55,Gabriel Magalhães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008231,10,1,1,0,28,4dsgumo7d4zupm2ugsvm4zm4d,1,39.6,26.8,2023-02-18T12:31:08.492Z,2023-02-18T17:58:29Z,4039026101,140,64.0,4039026103,141,1.9,4039026107,213,5.7,4041036617,178,,4039026105,212,30.7,4039026099,56,Right,,,,,,,cnmlhoum9aahwqruxgmz2gcfd,B. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008235,11,3,1,0,30,4dsgumo7d4zupm2ugsvm4zm4d,0,64.2,2.8,2023-02-18T12:31:11.129Z,2023-02-18T17:58:38Z,4041037079,178,,4039026125,56,Right,4039026127,286,,4039872611,464,,4039026225,233,3,,,,,,,,,,8tc7dcuwdeqbjgt7vw5p38xgq,B. Saka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008251,3,7,1,0,31,b496gs285it6bheuikox6z9mj,1,35.8,97.2,2023-02-18T12:31:11.494Z,2023-02-18T17:58:42Z,4039026197,233,11,4039026173,167,,4039873361,383,,4039026177,285,,4039026175,56,Back,4041037265,178,,,,,,,,3vxh219sef8mooilemi8xbs9h,Philippe Coutinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008269,4,5,1,0,32,b496gs285it6bheuikox6z9mj,0,35.8,100.8,2023-02-18T12:31:13.060Z,2023-02-18T17:58:44Z,4039026277,347,,4039026995,233,12,4039026273,56,Back,,,,,,,,,,,,,,,,3vxh219sef8mooilemi8xbs9h,Philippe Coutinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008397,12,5,1,0,32,4dsgumo7d4zupm2ugsvm4zm4d,1,64.2,-0.8,2023-02-18T12:31:13.060Z,2023-02-18T17:58:43Z,4039026943,347,,4039026941,56,Right,4039026947,233,4,,,,,,,,,,,,,,,,8tc7dcuwdeqbjgt7vw5p38xgq,B. Saka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008419,13,1,1,0,46,4dsgumo7d4zupm2ugsvm4zm4d,1,63.6,0,2023-02-18T12:31:27.145Z,2023-02-18T17:58:51Z,4039027035,212,8.6,4039027027,107,,4039027037,213,2.7,4039027031,140,56.1,4039027029,56,Right,4039027033,141,3.4,,,,,,,b1lcxeihx8z6pfv1jef4j5jh1,M. Ødegaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008423,14,1,1,0,47,4dsgumo7d4zupm2ugsvm4zm4d,0,56.1,3.4,2023-02-18T12:31:28.142Z,2023-02-18T17:58:57Z,4039027055,213,5.9,4039027049,140,64.1,4039027053,212,8.9,4041037867,178,,4039027047,56,Right,4039027051,141,0.0,,,,,,,3l7amac6wdv9yztupg7ur3kl,O. Zinchenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008497,5,5,1,0,48,b496gs285it6bheuikox6z9mj,1,34.6,101.2,2023-02-18T12:31:29.339Z,2023-02-18T17:59:00Z,4039027375,347,,4039027369,56,Back,4039027403,233,15,,,,,,,,,,,,,,,,3vxh219sef8mooilemi8xbs9h,Philippe Coutinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008427,15,5,1,0,48,4dsgumo7d4zupm2ugsvm4zm4d,0,65.4,-1.2,2023-02-18T12:31:29.339Z,2023-02-18T17:59:00Z,4039027407,233,5,4039027065,347,,4039027063,56,Right,,,,,,,,,,,,,,,,3l7amac6wdv9yztupg7ur3kl,O. Zinchenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
