id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,assist,qualifier/14/value,qualifier/13/value,qualifier/18/value
2478657421,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-10-29T13:00:08.552Z,2022-10-29T14:11:28Z,3879326373,194,c6pqhaqusk8s1c2m21i5wtrkl,3879326377,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326369,130,17,3879326365,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326375,197,14892,3879326367,59,"1, 10, 17, 32, 6, 14, 12, 8, 29, 23, 19, 5, 9, 16, 18, 20, 21, 22, 28, 56",3879326363,30,"6j3wbk9xlq4om4m8ih6b3tyvp, 93soe2rjn0z874cc9ofcesgkp, e9l5r0txzrjbenli05rn3k4wl, 7c2wnewpcf1idj6ghj6gu0wyd, c6pqhaqusk8s1c2m21i5wtrkl, 5e2zgfe3ltc6qbnoqdfshqsph, e6jaaazxqeczj6ziaj0qnqpxx, ehopba709zukxj4vgcync942d, ed20ebhqi5c32vbbsze8r6yuh, c83h08n0vnjvfgglyefy03h0p, 8nh6qf9i1d0qw7nx4wk25qzth, 9id859f7xnqwj0jazjzkbjzdh, actvnm36s31zf8wh8hjikzlqt, 22s7hpp9k5ihtc2pwiaytdp05, 6e6ttu4unqctb2addbnp5cyga, 2jc6sdkse1kxjztsgystidot1, 7usl4495egoptlrd762f0arbp, 8r547g1qv706wo9iqr5unfnpx, bvw1jgmhfyc896gfi6uj0skwl, 71bbzkvxtah61qhi34m9n79ck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478657435,1,34,16,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-10-29T13:00:10.444Z,2022-10-29T14:16:37Z,3879326455,30,"d9yxninyn4bac8f0ufxsnlqll, 3k6znit6fd9mbfcnphlwyvj6d, 87g6qlasqe627i5g7ir30j2sp, am6ppbdrbz4ml3xsbty53o73d, 6o9mxqdmxip6ik6w6zgd7k8ut, jagvvzc7329tf2c64mnc251, 2wwo7wcxz4gfy0ubkzynvrsnp, 3uc9z96xvain84leorf4ls962, 8qwpdf5jof7o6yy47v6iv11hx, f34582vxl4yv5qqudl09a7umt, aititrd343hal6ount0dp5zze, 83jpq8fuprm9h1e2thoxv1tyh, 8ok0giwhuu7ax85ngr8tunpey, 1mf7tr17fqnddm23nx1z1tsh6, 6rutvrgco8li4nyz7tfayxb6x, 31xsuz1icsj7zt1462swjpk2d, 5okl8s3e8ad2add75m46ojo4p, e7dz8u1uz579dl68v1p40fq7e, 4g0nu20yc6mtgtemxj8ccxu22, crkiffz2cvig7rpf1llg3mane",3879326459,59,"1, 13, 30, 10, 4, 5, 7, 25, 11, 14, 22, 2, 19, 20, 21, 23, 27, 47, 43, 49",3879326469,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326465,194,jagvvzc7329tf2c64mnc251,3879326457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326467,197,4955,3879326461,130,8,3879326463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721185,2,32,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-10-29T14:00:52.350Z,2022-10-29T21:50:08Z,3879664335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721171,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-10-29T14:00:52.350Z,2022-10-29T14:00:52Z,3879664275,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721269,3,1,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,49.9,50.3,2022-10-29T14:00:52.384Z,2022-10-30T00:45:55Z,3879664755,140,39.4,3879664759,212,13.2,3879664761,213,2.6,3879664763,279,S,3879664753,56,Back,3882189533,178,,3879664757,141,61.1,,,,ed20ebhqi5c32vbbsze8r6yuh,K. Havertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721291,4,1,1,0,2,9q0arba2kbnywth8bkxlhgmdr,1,38.2,59.9,2022-10-29T14:00:55.251Z,2022-10-30T00:46:04Z,3879664879,140,27.8,3879664887,212,10.9,3879664877,56,Back,3879664883,141,59.9,3882189827,178,,3879664891,213,3.1,,,,,,,ehopba709zukxj4vgcync942d,M. Kovačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721317,5,1,1,0,4,9q0arba2kbnywth8bkxlhgmdr,1,27.8,60,2022-10-29T14:00:56.727Z,2022-10-30T00:46:08Z,3882189985,178,,3879665009,213,1.7,3879665005,141,75.0,3879665007,212,10.3,3879665001,56,Back,3879665003,140,26.6,,,,,,,c6pqhaqusk8s1c2m21i5wtrkl,Thiago Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721413,6,1,1,0,6,9q0arba2kbnywth8bkxlhgmdr,1,25.6,72,2022-10-29T14:00:59.032Z,2022-10-30T00:46:12Z,3879665315,212,13.7,3879665317,213,5.1,3879665311,140,30.5,3879665309,56,Back,3879665313,141,53.3,3882190079,178,,,,,,,,7c2wnewpcf1idj6ghj6gu0wyd,Marc Cucurella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721531,7,1,1,0,10,9q0arba2kbnywth8bkxlhgmdr,1,33.4,72.2,2022-10-29T14:01:02.505Z,2022-10-30T00:46:17Z,3882190219,178,,3879665759,141,82.2,3879665755,140,23.1,3879665769,213,2.6,3879665753,56,Back,3879665763,212,12.8,,,,,,,e6jaaazxqeczj6ziaj0qnqpxx,R. Loftus-Cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721649,8,1,1,0,14,9q0arba2kbnywth8bkxlhgmdr,0,21.2,87.5,2022-10-29T14:01:06.486Z,2022-10-30T00:46:22Z,3882190321,178,,3879666263,141,83.3,3879666267,213,6.2,3879666261,140,54.4,3879666259,56,Left,3879666255,157,,3879666265,212,35.0,3879666269,1,,7c2wnewpcf1idj6ghj6gu0wyd,Marc Cucurella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
