id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/value
2465481215,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-01T13:00:08.569Z,2022-10-01T14:03:46Z,3809295327,130,4,3809295321,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 6dqnwhx0eglxhelidxg0dphm2, 19m0uqmf1otcekssb7tbrl1m2, 1rz6bw398na1i3t29rop7ikt1, 9ipux4xiejibplsbbhqz8d5gp, m2c4lckkcr7yilnqxrrsgh2i, 4wic6z72nwmhkheme209fcmp5, c9pmcoyzgtgcnlc63cl4283bp, 9c927a1i8iqblent14xat7aad, 9ikkppq7uewf36gahgz0kzaol, 3xthf6r5hvlx8oje4rqcs3it, z0btpgav68n4lqoht3ax3845, djgqihf08sxqh0zt2xe2xzv1l, 6ebb2xcovp1tx5nv5yyncb7x1, dbebh5mvzowjrp7h4qvzxvaol, 5frs9u0spep2j3gszu06awo9h, 1j33u4pcdl987f0pm1hpkynai, a7uo47nehqo2irfllck81uqxh, cuyd2ma98m6iq8e8va1bqlxey",3809295323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809295325,59,"13, 17, 3, 28, 2, 6, 7, 10, 22, 9, 11, 4, 5, 14, 15, 19, 21, 23, 44, 45",3809295329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295333,197,406,3809295331,194,1rz6bw398na1i3t29rop7ikt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481217,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-10-01T13:00:08.644Z,2022-10-02T14:00:44Z,3809295345,59,"1, 24, 21, 8, 33, 6, 29, 5, 9, 17, 19, 10, 12, 13, 14, 18, 22, 23, 26, 28",3809295343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809295351,194,9id859f7xnqwj0jazjzkbjzdh,3809295349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295347,130,15,3809295353,197,16374,3809295355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295341,30,"6j3wbk9xlq4om4m8ih6b3tyvp, dczrgxyolp7lcz413wkz7ap61, 7usl4495egoptlrd762f0arbp, ehopba709zukxj4vgcync942d, 7yirx71oya71zjsgldj5ucqcq, c6pqhaqusk8s1c2m21i5wtrkl, ed20ebhqi5c32vbbsze8r6yuh, 9id859f7xnqwj0jazjzkbjzdh, actvnm36s31zf8wh8hjikzlqt, e9l5r0txzrjbenli05rn3k4wl, 8nh6qf9i1d0qw7nx4wk25qzth, 93soe2rjn0z874cc9ofcesgkp, e6jaaazxqeczj6ziaj0qnqpxx, 9l3cvbbgw484v7la0bjv43mj9, 5e2zgfe3ltc6qbnoqdfshqsph, 6e6ttu4unqctb2addbnp5cyga, 8r547g1qv706wo9iqr5unfnpx, c83h08n0vnjvfgglyefy03h0p, b1srdmp4cmwl9k768h8a2ixn9, bvw1jgmhfyc896gfi6uj0skwl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536151,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-01T14:01:11.630Z,2023-02-12T10:12:14Z,3809577117,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536137,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-10-01T14:01:11.630Z,2022-10-01T14:01:11Z,3809577073,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536229,3,1,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,50.2,50.3,2022-10-01T14:01:11.650Z,2022-10-02T00:47:58Z,3812897813,178,,3809577467,140,31.4,3809577475,279,S,3809577473,213,3.1,3809577471,212,19.7,3809577465,56,Back,3809577469,141,50.6,,,,actvnm36s31zf8wh8hjikzlqt,P. Aubameyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536531,4,1,1,0,3,9q0arba2kbnywth8bkxlhgmdr,1,31.9,49.1,2022-10-01T14:01:14.664Z,2022-10-02T00:48:04Z,3809578825,155,,3809578829,140,87.2,3809578827,56,Right,3809578831,141,9.5,3809578837,1,,3809578833,212,64.0,3812898101,178,,3809578835,213,5.8,c6pqhaqusk8s1c2m21i5wtrkl,Thiago Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536543,5,1,1,0,10,9q0arba2kbnywth8bkxlhgmdr,0,86.8,5.2,2022-10-01T14:01:21.857Z,2022-10-02T00:48:11Z,3809579021,286,,3809578925,212,1.4,3809578929,213,0.9,3809579017,233,3,3809578911,56,Right,3809578921,141,6.8,3809578915,140,87.7,3812898557,178,,e9l5r0txzrjbenli05rn3k4wl,R. Sterling,3809579013,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536553,3,74,1,0,10,1c8m2ko0wxq1asfkuykurdr0y,1,8.8,96.3,2022-10-01T14:01:22.013Z,2022-10-02T00:48:16Z,3809578965,56,Back,3809578967,285,,3809579065,233,5,3812898863,178,,,,,,,,,,,,,,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536605,4,5,1,0,11,1c8m2ko0wxq1asfkuykurdr0y,0,11.4,101.5,2022-10-01T14:01:23.164Z,2022-10-02T00:48:19Z,3809579185,56,Back,3809579339,233,6,3809579187,347,,,,,,,,,,,,,,,,,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536595,6,5,1,0,11,9q0arba2kbnywth8bkxlhgmdr,1,88.6,-1.5,2022-10-01T14:01:23.164Z,2022-10-02T00:48:20Z,3809579293,233,4,3809579141,347,,3809579137,56,Right,,,,,,,,,,,,,,,,e9l5r0txzrjbenli05rn3k4wl,R. Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
