id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/19/value
2478657361,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-29T13:00:01.678Z,2022-10-29T14:10:43Z,3879325953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879325955,59,"1, 20, 3, 27, 16, 5, 8, 10, 17, 19, 11, 7, 13, 14, 15, 23, 24, 30, 34, 36",3879325959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879325961,194,b36foqukxn8obd969q6sea7yt,3879325957,130,4,3879325965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879325963,197,2058,3879325951,30,"4iijb6llnz28unsz4rirr3umt, 32bvxwhceid2xdcfx6cd8a8d1, 2nzefp5pwvldt2ttmxfeakamt, 9k8gysrsy1a261nhcszo4aoyx, 66939rcic8zhw13nlcniiq4t1, d9a62lhx21b0ym73rxd6mw8h5, dtol82tjlq48bs0s70sisguz9, bs7iyv9ys61m88qh4rvb0tpzp, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, bxjc2heo4ve54cyvw98qcck45, eg2jk0f0l2l1gurwwn2au6nyt, 45zetxtrvjb3muvcrr9b5it3p, 2xgvd7xovqcd6q30m59dbi11x, 34b0oqo4725okjxxngin9piw9, 7j36oy8n0tu8ps0haqb4es48a, ek0k9s7axizns3vtzyy3z5nu, 68n1ydedtlw2s6toghw9qiprd, 6o4pt3ffe9ogxcbdv694sr5uy, 9mrmzuytv82k3u2nco9tq9y0a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478657375,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-29T13:00:02.945Z,2022-10-29T13:00:02Z,3879326085,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3879326083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326079,59,"1, 22, 64, 8, 4, 23, 37, 6, 29, 27, 10, 3, 11, 13, 14, 17, 19, 28, 59, 77",3879326087,197,4986,3879326075,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326073,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, f1lellpt59ka10kyngi7vsqy2, 8kw1y8mzxtwl4fv8qkc8hoc7p, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, e83zd56y74k8uecxqyo5xw7v9, 5v5jv44a8y2n7p1tb8jsxt2ei, 6s577yqayjceifu1e05f280yd, 3trkre1c81pzretsjsi8jk6sq, 50y6nq2eok9lnmldevkamkkwl, 9jxhgh1vhc531ho0ez5alfazu, dl8x6fzdexn8r0sj65vgcgq8l, ee0c6prj79s48erjp7bgbr3dh, 8i3y6fo1y3gizq05j2im17c6i, 7pmigpf4yfi6dfih8e1ogdwb9, 7wzwqegxhekjwq361dd2nidp1, 9l7ph5603tbb7xwyxpvjg22fp, 5he3j18ix8tre84r8uls8ytm2, dez3rm7q89xk157fwnc3tgqcq",3879326089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326081,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721337,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-29T14:00:58.994Z,2022-10-29T21:33:18Z,3879665081,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721313,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-29T14:00:58.994Z,2022-10-29T14:00:59Z,3879664997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721429,3,1,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,49.8,50,2022-10-29T14:00:59.014Z,2022-10-29T21:35:44Z,3879665391,141,55.3,3881893099,178,,3879665387,56,Back,3879665397,279,S,3879665389,140,28.2,3879665393,212,23.0,3879665395,213,3.0,,,,8kw1y8mzxtwl4fv8qkc8hoc7p,Rúben Neves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721471,4,1,1,0,2,b9si1jn1lfxfund69e9ogcu2n,0,29.5,55.3,2022-10-29T14:01:01.936Z,2022-10-29T21:35:50Z,3881893193,178,,3879665553,213,5.4,3879665555,1,,3879665547,140,59.4,3879665551,212,49.8,3879665549,141,0.0,3879665545,56,Right,3879665543,155,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721725,3,5,1,0,5,7yx5dqhhphyvfisohikodajhv,1,36.7,101.2,2022-10-29T14:01:04.857Z,2022-10-29T21:35:56Z,3879666623,56,Back,3879666679,233,5,3879666627,347,,,,,,,,,,,,,,,,,bxjc2heo4ve54cyvw98qcck45,Y. Wissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721475,5,5,1,0,5,b9si1jn1lfxfund69e9ogcu2n,0,63.3,-1.2,2022-10-29T14:01:04.857Z,2022-10-29T21:35:56Z,3879666711,233,3,3879665557,56,Right,3879665559,347,,,,,,,,,,,,,,,,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721763,4,1,1,0,13,7yx5dqhhphyvfisohikodajhv,1,38.3,100,2022-10-29T14:01:12.893Z,2022-10-29T21:36:03Z,3879666829,212,9.0,3879666831,213,4.9,3879666827,141,87.8,3879666823,140,39.7,3879666821,56,Back,3879666819,107,,,,,,,,2nzefp5pwvldt2ttmxfeakamt,R. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721859,5,1,1,0,15,7yx5dqhhphyvfisohikodajhv,1,28.7,93.9,2022-10-29T14:01:14.857Z,2022-10-29T21:36:09Z,3879667217,213,2.9,3879667215,212,8.0,3879667213,141,96.2,3879667211,140,21.2,3881893609,178,,3879667209,56,Back,,,,,,,bxjc2heo4ve54cyvw98qcck45,Y. Wissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
