id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/10/value,keyPass,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2531126453,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-04-09T14:31:04.658Z,2023-04-09T15:26:39Z,4176896159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176896157,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, eziqega9e25bg939pfh4vjp3p, 7mms3tmwizhtvzakotl4hv0et, 2zfjgh5747ge9r9q0thbk123t, dxze3b3fsfl814bjcs7q6wcet, 25yu90pekqr1lhs098f3uxy39, 3kdl679ra6mlobdg09xqf7fft, 9psfk94nduz6icnuwty5v9all, 5ilkkfbsss0bxd6ttdlqg0uz9, bz2p1aiij462e1emd7sh5psd1, 29dp5gmu5xbd04mozwxq5tjh1, dbvpo938uwe0s420lospkethx, 3xqbru6q5dvtrhv6coe7retp1, 6b9erfx1rf9nff83300tntadx, dz2rfsmhib89jwilpuub10qcq, 3kwkd3b95n8qzqtq4idxav45x, 5e300bc3sbmy6iqpvmic34qju, kvchpptoxgvcyiv358w9gtzp, dpw4s6nbkfcrjlqxxgf9j5yhh",4176896163,130,4,4176896167,194,25yu90pekqr1lhs098f3uxy39,4176896161,59,"1, 66, 26, 3, 5, 4, 14, 17, 18, 11, 20, 2, 6, 7, 9, 19, 21, 27, 32, 62",4177058289,197,4975,4176896173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176896165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531127085,1,34,16,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2023-04-09T14:31:44.861Z,2023-04-09T15:29:33Z,4176898811,194,b1lcxeihx8z6pfv1jef4j5jh1,4176898813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176898809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176898801,30,"6yovfcug6e9hykfauqy0fq67d, cnmlhoum9aahwqruxgmz2gcfd, 3l7amac6wdv9yztupg7ur3kl, dydwiixiims98cx2iihfuf8wl, 57gg79gxvcfqtaoi0ruog7wmh, 8libvn3hxypz8x7gm4mr7kj55, b1lcxeihx8z6pfv1jef4j5jh1, 6264xjr1y00yu7b9j2pknalzp, d66tmyj9pt69gub8pcjgo3bh1, 8tc7dcuwdeqbjgt7vw5p38xgq, 7ocm7nugzwos59il1pm4eub8q, 8i5ee4fmkqhl1rcuo31qomxud, 4ali7e2nk26rfzr0660xdrx0p, 8585juruxxi6z8ih6kfqvrj6x, 8qwpdf5jof7o6yy47v6iv11hx, 9id859f7xnqwj0jazjzkbjzdh, 4qrvwap878sl5dz5n3o8mr71m, bzummkjt2ya27kvolzmqn91wp, hwcrfg4h2ystqbd11qlmj015, loj66945mkjrqk5yf4x4s9as",4176898805,59,"1, 4, 35, 5, 16, 6, 8, 34, 9, 7, 11, 3, 10, 15, 19, 20, 21, 24, 30, 97",4176898803,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176898807,130,4,4177064431,197,15722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159817,2,32,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2023-04-09T15:30:58.320Z,2023-04-09T15:30:58Z,4177067373,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159871,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-04-09T15:30:58.320Z,2023-04-09T21:14:14Z,4177067647,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159855,3,1,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,50,50,2023-04-09T15:30:58.337Z,2023-04-09T21:26:08Z,4177067565,140,37.0,4177067569,212,13.7,4177067573,279,S,4177067567,141,49.4,4177067563,56,Back,4177067571,213,3.2,4178221127,178,,,,,6264xjr1y00yu7b9j2pknalzp,G. Xhaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159883,4,1,1,0,3,4dsgumo7d4zupm2ugsvm4zm4d,1,36.7,51.5,2023-04-09T15:31:01.819Z,2023-04-09T21:26:13Z,4177067687,141,77.9,4177067683,56,Back,4177067685,140,36.0,4177067691,213,1.6,4177067689,212,18.0,4178221233,178,,,,,,,,3l7amac6wdv9yztupg7ur3kl,O. Zinchenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159901,5,1,1,0,5,4dsgumo7d4zupm2ugsvm4zm4d,1,36.5,81,2023-04-09T15:31:04.253Z,2023-04-09T21:26:16Z,4177067803,212,19.7,4177067805,213,0.6,4177067801,141,98.3,4178221337,178,,4177067797,56,Left,4177067799,140,51.6,,,,,,,8libvn3hxypz8x7gm4mr7kj55,Gabriel Magalhães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531381021,964,83,1,0,8,c8h9bw1l82s06h77xxrelzhur,1,51.8,1.9,2023-04-09T15:31:06.433Z,2023-04-09T22:01:55Z,4178280223,399,444145,,,,,,,,,,,,,,,,,,,,,,19z8jmren3eytg7fbuzqv73kl,T. Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159941,6,1,1,0,8,4dsgumo7d4zupm2ugsvm4zm4d,1,45.1,96.3,2023-04-09T15:31:06.449Z,2023-04-09T21:26:31Z,4177067993,141,66.3,4177067997,213,4.0,4178221807,178,,4177067991,140,27.0,4177067989,56,Back,4177067995,212,27.9,,,,,,,7ocm7nugzwos59il1pm4eub8q,Gabriel Martinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159953,7,1,1,0,12,4dsgumo7d4zupm2ugsvm4zm4d,0,24,60.3,2023-04-09T15:31:10.557Z,2023-04-09T21:26:35Z,4177068057,141,4.6,4177068053,56,Right,4177068055,140,69.9,4177068051,155,,4177068059,212,61.3,4178221937,178,,4177068061,213,5.6,4177068063,1,,57gg79gxvcfqtaoi0ruog7wmh,R. Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159955,3,49,1,0,17,c8h9bw1l82s06h77xxrelzhur,1,29.2,91.2,2023-04-09T15:31:15.437Z,2023-04-09T21:26:42Z,,,,,,,,,,,,,,,,,,,,,,,,,eziqega9e25bg939pfh4vjp3p,A. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531159969,4,1,1,0,17,c8h9bw1l82s06h77xxrelzhur,0,29.1,91.2,2023-04-09T15:31:15.652Z,2023-04-09T21:26:46Z,4177068179,213,5.6,4177068171,56,Back,4177068175,141,73.7,4177068173,140,42.1,4177068169,157,,4177068181,1,,4177068177,212,18.1,4178222237,178,,eziqega9e25bg939pfh4vjp3p,A. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
