id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2497169263,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-01-14T14:00:04.930Z,2023-01-14T14:00:05Z,3976802789,194,xm50j2dki5ml1gzx3y0i0zbp,3976802781,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976802785,130,8,3976802791,197,16498,3976802783,59,"1, 27, 33, 24, 18, 3, 11, 25, 9, 8, 7, 4, 14, 20, 23, 26, 31, 34, 44, 47",3976802793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802779,30,"5h2biadv4hd2ntcd7zo2c8639, p87gxg8kc9ta6iipqt5fxmtx, 70jmsf551d1sspqnm8t5lrch5, 7wu5l9m2kt30c4nifxdi3btg5, enyatxtjef9lacem6c8cc1mmt, 72d5uxwcmvhd6mzthxuvev1sl, xm50j2dki5ml1gzx3y0i0zbp, 6tma6gvgf6xphc5gm2el35vbp, 6v1o4s2acog9guff3folo1jh1, eo4uva2gnx08xdazfaqzyz2dx, 18paf5a7rfe4kutxjl4cwd695, ayyswiouwrh2yn1j75owovob9, 51xwrb0qit04oz9x01p2gghjp, otz9c2ifww514ummo10nfoix, 4316y525qbk02gs9l3fm8z8b9, 8prtj2o0lz1zbzpuw4ah4qhud, bm9qgspytvdwy514kk6ytztg5, dhx0lu8rw0jupzzmbvqe8txwp, 9ph8akfukfq27bhidkp8k249g, 4w3hixbz661gepdin7ji0flgq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169291,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-14T14:00:08.865Z,2023-01-14T14:00:08Z,3976802931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802935,197,4782,3976802925,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976802929,130,23,3976802927,59,"1, 24, 32, 23, 4, 26, 22, 31, 20, 10, 5, 3, 7, 8, 13, 14, 15, 16, 25, 17",3976802923,30,"5z8ycnd0smdkumi5fgtzf7c9h, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, 19nlw3sa0khwz0el4wqc7zrp, 1tuivl8zdnsaz8vbed2z582qx, 12cgiy0t282ywdbr5j78hrxsl, ece7xph4emgawvh7mr56319ex, 6jbeiiziegtchyv2zjt87kslx, 1l228p52d8wdf8qhfxqu8rca, 55yy0p6johtu9nxk90zsfctt5, 95uxoznu15m2xywirv43rcmol, av7e2wk5ub7qnh3sqcvssvh79, 3mgjcyaseuexxlssgatjgsand, 25kl6261u9xft9cfvot8aezf9, 8bhdwi4p824s82bbzkh2vy6t, dcq0nu7mmecab5djjwg0n8ktm, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 3ztcz2dgfniqv141w7xsky7zd, mpzi06x1j85ahwkrbsa20kmi",3976802933,194,1tuivl8zdnsaz8vbed2z582qx,3976802937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211697,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-01-14T15:00:13.455Z,2023-01-14T15:00:15Z,3977029953,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211707,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-14T15:00:13.455Z,2023-01-14T22:21:09Z,3977029985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211745,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,50,50,2023-01-14T15:00:13.508Z,2023-01-15T01:23:56Z,3978777255,178,,3977030147,140,28.6,3977030153,213,3.0,3977030155,279,S,3977030145,56,Back,3977030149,141,53.9,3977030151,212,22.6,,,,xm50j2dki5ml1gzx3y0i0zbp,M. Albrighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211791,4,1,1,0,3,avxknfz4f6ob0rv9dbnxdzde0,1,29.3,53.6,2023-01-14T15:00:16.491Z,2023-01-15T01:23:59Z,3977030345,155,,3977030355,213,0.5,3977030349,140,72.5,3977030351,141,93.5,3977030347,56,Left,3977030357,1,,3978777319,178,,3977030353,212,52.9,72d5uxwcmvhd6mzthxuvev1sl,W. Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211799,5,44,1,0,4,avxknfz4f6ob0rv9dbnxdzde0,1,69.7,92.2,2023-01-14T15:00:18.373Z,2023-01-15T03:38:09Z,3977030395,56,Left,3977030397,286,,3977030411,233,3,,,,,,,,,,,,,,,,18paf5a7rfe4kutxjl4cwd695,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211785,3,44,1,0,4,1qtaiy11gswx327s0vkibf70n,0,30.3,7.8,2023-01-14T15:00:18.374Z,2023-01-15T01:24:04Z,3977030419,233,5,3977030325,56,Back,3977030327,285,,,,,,,,,,,,,,,,,8pb6iiphpyxdlpbs4dpunr8wl,S. Aurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211809,6,1,1,0,4,avxknfz4f6ob0rv9dbnxdzde0,0,72.5,93.5,2023-01-14T15:00:18.448Z,2023-01-15T03:38:10Z,3977030451,141,100.0,3977030441,56,Left,3977030439,168,,3977030437,3,,3977030447,140,81.2,3977030461,213,0.5,3978777537,388,,3977030455,212,10.6,18paf5a7rfe4kutxjl4cwd695,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211925,4,5,1,0,6,1qtaiy11gswx327s0vkibf70n,1,20.3,-1.5,2023-01-14T15:00:20.170Z,2023-01-15T01:24:14Z,3977030967,56,Back,3977030981,233,7,3977030969,347,,,,,,,,,,,,,,,,,8pb6iiphpyxdlpbs4dpunr8wl,S. Aurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
