id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2484545175,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-11-12T14:00:02.853Z,2022-11-12T15:01:37Z,3910171983,194,1tuivl8zdnsaz8vbed2z582qx,3910171973,30,"5z8ycnd0smdkumi5fgtzf7c9h, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, 19nlw3sa0khwz0el4wqc7zrp, 1tuivl8zdnsaz8vbed2z582qx, cfpqqzqrpzv6dq89yw7nfd1p1, ece7xph4emgawvh7mr56319ex, a6m9jcx0e4l6krv1u0pbfuoyd, 55yy0p6johtu9nxk90zsfctt5, 1l228p52d8wdf8qhfxqu8rca, 5f72vvw62zdlyrj3mwux2udat, av7e2wk5ub7qnh3sqcvssvh79, 3mgjcyaseuexxlssgatjgsand, 25kl6261u9xft9cfvot8aezf9, 55eiicx10oqok1601fqyovt1x, 8bhdwi4p824s82bbzkh2vy6t, dcq0nu7mmecab5djjwg0n8ktm, 8kfciybd6filv663ebckuerjd, 12cgiy0t282ywdbr5j78hrxsl, 4eg87cdkpgishec2gc9stm8oa",3910171985,197,4782,3910171981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910171975,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910171987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910171979,130,4,3910171977,59,"1, 24, 32, 23, 4, 30, 22, 21, 10, 20, 11, 3, 7, 8, 9, 13, 14, 16, 26, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484545187,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-11-12T14:00:04.426Z,2022-11-12T14:00:04Z,3910172023,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910172033,197,15924,3910172027,130,4,3910172029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172031,194,9ipux4xiejibplsbbhqz8d5gp,3910172025,59,"13, 17, 3, 28, 16, 6, 7, 15, 11, 9, 10, 2, 4, 5, 14, 19, 21, 22, 23, 44",3910172021,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 6dqnwhx0eglxhelidxg0dphm2, 19m0uqmf1otcekssb7tbrl1m2, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, m2c4lckkcr7yilnqxrrsgh2i, 6ebb2xcovp1tx5nv5yyncb7x1, 9ikkppq7uewf36gahgz0kzaol, 9c927a1i8iqblent14xat7aad, 4wic6z72nwmhkheme209fcmp5, 1rz6bw398na1i3t29rop7ikt1, 3xthf6r5hvlx8oje4rqcs3it, z0btpgav68n4lqoht3ax3845, djgqihf08sxqh0zt2xe2xzv1l, dbebh5mvzowjrp7h4qvzxvaol, 5frs9u0spep2j3gszu06awo9h, c9pmcoyzgtgcnlc63cl4283bp, 1j33u4pcdl987f0pm1hpkynai, a7uo47nehqo2irfllck81uqxh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596771,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-11-12T15:00:56.052Z,2022-11-12T15:00:56Z,3910439815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596779,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-11-12T15:00:56.052Z,2022-11-12T21:25:05Z,3910439847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596825,3,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50,50,2022-11-12T15:00:56.077Z,2022-11-12T21:30:04Z,3910440013,140,42.6,3910440021,279,S,3910440017,212,8.4,3910440019,213,3.5,3910440015,141,45.2,3910440011,56,Back,3912646399,178,,,,,9ikkppq7uewf36gahgz0kzaol,W. Zaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596861,4,1,1,0,1,1c8m2ko0wxq1asfkuykurdr0y,1,42.6,45.2,2022-11-12T15:00:57.269Z,2022-11-12T21:30:10Z,3912646537,178,,3910440195,140,32.5,3910440191,56,Back,3910440199,141,52.4,3910440205,213,2.7,3910440203,212,11.7,,,,,,,m2c4lckkcr7yilnqxrrsgh2i,M. Olise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596887,5,1,1,0,5,1c8m2ko0wxq1asfkuykurdr0y,0,34,52.7,2022-11-12T15:01:01.078Z,2022-11-12T21:30:14Z,3912646633,178,,3910440327,141,90.8,3910440329,212,40.5,3910440325,140,63.6,3910440331,213,0.7,3910440321,155,,3910440323,56,Left,3910440333,1,,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596881,3,8,1,0,7,1qtaiy11gswx327s0vkibf70n,1,33,7.6,2022-11-12T15:01:03.454Z,2022-11-12T21:30:26Z,3912105079,385,,3910440295,56,Back,3912646923,388,,3910440353,15,,,,,,,,,,,,,,8pb6iiphpyxdlpbs4dpunr8wl,S. Aurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596919,4,5,1,0,8,1qtaiy11gswx327s0vkibf70n,0,32.7,-1.6,2022-11-12T15:01:04.673Z,2022-11-12T21:30:30Z,3910440433,56,Back,3910440437,347,,3910440607,233,6,,,,,,,,,,,,,,,,8pb6iiphpyxdlpbs4dpunr8wl,S. Aurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596951,6,5,1,0,8,1c8m2ko0wxq1asfkuykurdr0y,1,67.3,101.6,2022-11-12T15:01:04.673Z,2022-11-12T21:30:29Z,3910440551,347,,3910440579,233,4,3910440547,56,Left,,,,,,,,,,,,,,,,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
