id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/15/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2515256907,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-04T16:30:12.342Z,2023-03-04T18:30:49Z,4071989487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071989473,30,"8jw1c54yfsk2m13uyl5yi5hm2, dzsd79k6345s9105mb2r4fqol, 2uiza5b6fbum38chxtvmnkzqh, dgjl6ks0r7lbh09fe8cuwj7ro, 1tbc8iokapjgu8zjrc1knq28l, 7zkku0gboniozaks9yx0ous8a, 2oijcg6e36mwy3ie1num5wclx, 7r6vds5j65fohi1k28cnqjqvp, 59ujnkvl7rlffomi2bqpsmbpx, 18qxb54ol1s4mtgl7n3224ciy, 448wxnlqhqqf2hcecwut90n6y, dusjrdiyxfadenwx4pjr7catx, 7wh91ajt4v3w9kfdpp5hf5mmt, 6bhm9cfkwxv5ojh49rqv11g45, 67qku7vyvbw76086eu05nowd1, axnmil0bg1giwhoa31tks7ljp, 1qcj2upaz0xa98zkc835djo8a, e382powtgetwn8npxf9nqeaga, 2r1u01vlym0nwcwx86bwbuusq, 6tckvu2rw7ns18dq7dim0sout",4071989483,194,7r6vds5j65fohi1k28cnqjqvp,4071989481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071989477,59,"31, 3, 2, 45, 35, 37, 32, 8, 10, 26, 20, 9, 12, 13, 15, 17, 18, 19, 22, 24",4071989475,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4071989479,130,8,4071989485,197,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515257025,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-03-04T16:30:15.886Z,2023-03-04T16:30:16Z,4071990121,197,16498,4071990113,59,"1, 21, 27, 24, 15, 3, 37, 22, 14, 10, 7, 4, 9, 18, 20, 25, 26, 31, 33, 42",4071990111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4071990123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071990117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071990109,30,"5h2biadv4hd2ntcd7zo2c8639, 33p3p5buydosugm9alv57o0r9, p87gxg8kc9ta6iipqt5fxmtx, 7wu5l9m2kt30c4nifxdi3btg5, dfqpevw7bneap02x7mxo74pgp, 72d5uxwcmvhd6mzthxuvev1sl, 79nno03ww57p02dz5o0g60rqi, 2bkp1lcaxmvwoanxwo0775cdl, 51xwrb0qit04oz9x01p2gghjp, a1yoz8f4985o166nzcyigpj2t, 18paf5a7rfe4kutxjl4cwd695, ayyswiouwrh2yn1j75owovob9, 6v1o4s2acog9guff3folo1jh1, enyatxtjef9lacem6c8cc1mmt, otz9c2ifww514ummo10nfoix, 6tma6gvgf6xphc5gm2el35vbp, 8prtj2o0lz1zbzpuw4ah4qhud, bm9qgspytvdwy514kk6ytztg5, 70jmsf551d1sspqnm8t5lrch5, egi71rvlclvis07nzbvjhl9m1",4071990119,194,a1yoz8f4985o166nzcyigpj2t,4071990115,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515333971,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-04T17:30:16.373Z,2023-03-04T23:03:41Z,4072408249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515333953,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-03-04T17:30:16.373Z,2023-03-04T17:30:16Z,4072408217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515334023,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,50,50,2023-03-04T17:30:16.435Z,2023-03-05T01:08:05Z,4072408487,141,49.0,4073869273,178,,4072408483,56,Back,4072408493,279,S,4072408491,213,3.2,4072408489,212,14.6,4072408485,140,36.1,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515334041,4,1,1,0,2,avxknfz4f6ob0rv9dbnxdzde0,0,37.2,49.6,2023-03-04T17:30:18.566Z,2023-03-05T01:08:08Z,4072408595,1,,4072408585,56,Center,4072408589,141,67.5,4073869445,178,,4072408591,212,34.1,4072408593,213,0.4,4072408583,155,,4072408587,140,67.5,2bkp1lcaxmvwoanxwo0775cdl,K. Dewsbury-Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515334053,3,1,1,0,4,d5ydtvt96bv7fq04yqm2w2632,1,33.5,24.6,2023-03-04T17:30:21.177Z,2023-03-05T01:08:12Z,4072408651,141,37.1,4072408653,212,9.3,4072408641,56,Back,4073869563,388,,4072408655,213,1.2,4072408637,3,,4072408643,140,37.1,,,,1tbc8iokapjgu8zjrc1knq28l,J. Bednarek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515334059,4,49,1,0,5,d5ydtvt96bv7fq04yqm2w2632,1,37.1,37.1,2023-03-04T17:30:22.326Z,2023-03-05T01:08:16Z,,,,,,,,,,,,,,,,,,,,,,,,,448wxnlqhqqf2hcecwut90n6y,K. Sulemana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515334097,5,1,1,0,7,d5ydtvt96bv7fq04yqm2w2632,0,37.6,35.5,2023-03-04T17:30:23.450Z,2023-03-05T01:08:19Z,4072408873,213,5.7,4072408871,212,42.4,4072408867,140,70.3,4072408865,56,Right,4072408875,1,,4072408869,141,0.0,4073869871,178,,,,,448wxnlqhqqf2hcecwut90n6y,K. Sulemana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515334269,5,5,1,0,11,avxknfz4f6ob0rv9dbnxdzde0,1,29.6,101.2,2023-03-04T17:30:27.750Z,2023-03-05T01:08:26Z,4072409747,347,,4072409751,233,6,4072409745,56,Back,,,,,,,,,,,,,,,,p87gxg8kc9ta6iipqt5fxmtx,T. Castagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
