id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value
2465722811,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-01T15:30:12.594Z,2022-10-01T16:35:59Z,3810559433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3810559431,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, 9jxhgh1vhc531ho0ez5alfazu, 2nz313c0ot91untg011l3pc6h, 8kw1y8mzxtwl4fv8qkc8hoc7p, 7wzwqegxhekjwq361dd2nidp1, 9l7ph5603tbb7xwyxpvjg22fp, 3trkre1c81pzretsjsi8jk6sq, 7pmigpf4yfi6dfih8e1ogdwb9, 50y6nq2eok9lnmldevkamkkwl, 6psklvi66inwws7buzf16yjft, 5v5jv44a8y2n7p1tb8jsxt2ei, ee0c6prj79s48erjp7bgbr3dh, 8i3y6fo1y3gizq05j2im17c6i, 29f3jvukalzylzr19t9phgxgq, ehv4rise2fx4u1wepwtwllb6x, 6s577yqayjceifu1e05f280yd, e83zd56y74k8uecxqyo5xw7v9, f1lellpt59ka10kyngi7vsqy2, dez3rm7q89xk157fwnc3tgqcq",3810559447,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3810559439,130,17,3810559451,197,4986,3810559443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3810559435,59,"1, 22, 3, 23, 8, 19, 28, 27, 17, 10, 7, 6, 13, 14, 24, 25, 29, 37, 64, 77",3810559453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465722873,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-01T15:30:14.695Z,2022-10-01T16:30:59Z,3810559763,194,6jgocc12bori2wygyu07c082x,3810559757,130,8,3810559751,30,"eagrmpe9ft8daly57l1ja8lhx, cm0gwoyh5rdb216fx685a7l5h, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 2unorlgh6lxy19g0pgydg65ed, 9qdm0nxg1g046olii48z3crf9, d542ijpf3j9hdrtt1mfe6vwlx, 6wwagkprtmcadu8p6klcu2uhh, 4ml8pyt3rxwxakjxslg0c8kb9, at7mm2zrj2hjhu4bnq1f9noix, f2pknjv2uohldehbp39j0so2d, 4ryipy52oscxkv71ws0os5w5, 6aix9yu384pv1caanqiol231l, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, 9eaevg9okpy4gcm6yofg7vbv9, bmk0efhzrno1sgr3g8yijoa8l, exviw7gzg5p3vaiwaq4ujw9ud, 8qezzr83ofw7htqufohg2fwlx",3810559765,197,4983,3810559761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3810559755,59,"1, 24, 3, 41, 15, 4, 20, 28, 7, 11, 14, 5, 8, 9, 10, 12, 13, 21, 22, 33",3810559753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3810559767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805079,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-01T16:30:32.079Z,2022-10-01T22:27:53Z,3811006353,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805085,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-01T16:30:32.079Z,2022-10-01T16:30:35Z,3811006389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805121,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,49.9,50.1,2022-10-01T16:30:32.088Z,2022-10-02T02:20:19Z,3811006597,279,S,3811006579,56,Back,3811006583,140,32.0,3813092833,178,,3811006587,141,28.9,3811006589,212,23.7,3811006593,213,3.8,,,,at7mm2zrj2hjhu4bnq1f9noix,Lucas Paquetá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805149,4,1,1,0,3,4txjdaqveermfryvbfrr4taf7,1,33,27.7,2022-10-01T16:30:35.240Z,2022-10-02T02:20:22Z,3811006759,212,46.4,3811006755,140,76.8,3811006757,141,18.2,3811006753,56,Right,3811006761,213,6.1,3813092883,178,,3811006751,155,,3811006763,1,,2unorlgh6lxy19g0pgydg65ed,C. Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805153,5,44,1,0,6,4txjdaqveermfryvbfrr4taf7,1,75.6,15.8,2022-10-01T16:30:38.240Z,2022-10-02T03:20:46Z,3811006781,286,,3811006779,56,Right,3811006825,233,3,,,,,,,,,,,,,,,,6wwagkprtmcadu8p6klcu2uhh,T. Souček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805151,3,44,1,0,6,b9si1jn1lfxfund69e9ogcu2n,0,24.4,84.2,2022-10-01T16:30:38.241Z,2022-10-02T02:20:30Z,3811006915,233,5,3811006771,56,Back,3811006773,285,,,,,,,,,,,,,,,,,9jxhgh1vhc531ho0ez5alfazu,R. Aït-Nouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805181,6,1,1,0,6,4txjdaqveermfryvbfrr4taf7,1,76.8,18.8,2022-10-01T16:30:38.289Z,2022-10-02T03:20:46Z,3811006939,141,34.1,3811006943,213,2.1,3811006935,56,Center,3811006941,212,11.8,3813093377,388,,3811006937,140,71.5,3811006933,3,,,,,6wwagkprtmcadu8p6klcu2uhh,T. Souček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465805183,7,1,1,0,8,4txjdaqveermfryvbfrr4taf7,1,71.4,33.8,2022-10-01T16:30:40.286Z,2022-10-02T02:20:47Z,3811006955,3,,3811006959,140,78.5,3813093531,388,,3811006957,56,Center,3811006965,213,0.0,3811006961,141,34.1,3811006963,212,7.5,,,,at7mm2zrj2hjhu4bnq1f9noix,Lucas Paquetá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
