id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2454849001,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-09-03T13:00:28.670Z,2022-09-03T14:15:04Z,3752856935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752856931,59,"16, 24, 32, 6, 33, 26, 23, 12, 10, 17, 8, 1, 5, 14, 18, 19, 21, 22, 28, 29",3752856929,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752856933,130,19,3752856927,30,"22s7hpp9k5ihtc2pwiaytdp05, dczrgxyolp7lcz413wkz7ap61, 7c2wnewpcf1idj6ghj6gu0wyd, c6pqhaqusk8s1c2m21i5wtrkl, 7yirx71oya71zjsgldj5ucqcq, b1srdmp4cmwl9k768h8a2ixn9, c83h08n0vnjvfgglyefy03h0p, e6jaaazxqeczj6ziaj0qnqpxx, 93soe2rjn0z874cc9ofcesgkp, e9l5r0txzrjbenli05rn3k4wl, ehopba709zukxj4vgcync942d, 6j3wbk9xlq4om4m8ih6b3tyvp, 9id859f7xnqwj0jazjzkbjzdh, 5e2zgfe3ltc6qbnoqdfshqsph, 6e6ttu4unqctb2addbnp5cyga, 8nh6qf9i1d0qw7nx4wk25qzth, 7usl4495egoptlrd762f0arbp, 8r547g1qv706wo9iqr5unfnpx, bvw1jgmhfyc896gfi6uj0skwl, ed20ebhqi5c32vbbsze8r6yuh",3752856937,194,c6pqhaqusk8s1c2m21i5wtrkl,3752856939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752861811,197,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454849047,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-09-03T13:00:33.362Z,2022-09-03T22:20:05Z,3752857185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3752857181,59,"1, 5, 8, 33, 4, 24, 28, 41, 11, 20, 9, 10, 12, 13, 14, 21, 22, 32, 35",3752862249,197,4983,3752857177,30,"eagrmpe9ft8daly57l1ja8lhx, 4ryipy52oscxkv71ws0os5w5, 6aix9yu384pv1caanqiol231l, 8qezzr83ofw7htqufohg2fwlx, 9qdm0nxg1g046olii48z3crf9, cm0gwoyh5rdb216fx685a7l5h, 6wwagkprtmcadu8p6klcu2uhh, 6jgocc12bori2wygyu07c082x, at7mm2zrj2hjhu4bnq1f9noix, d542ijpf3j9hdrtt1mfe6vwlx, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, 9eaevg9okpy4gcm6yofg7vbv9, f2pknjv2uohldehbp39j0so2d, bmk0efhzrno1sgr3g8yijoa8l, exviw7gzg5p3vaiwaq4ujw9ud, c9fm58xo515iedprum1zmnp49, 28f271b9dr7hknp0s82mlu5lh",3752857179,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3752857183,130,18,3752857189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752857187,194,6jgocc12bori2wygyu07c082x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897405,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-09-03T14:00:09.859Z,2022-09-03T14:00:10Z,3753107747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897431,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-09-03T14:00:09.859Z,2022-09-03T20:40:31Z,3753107833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897471,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,50,50,2022-09-03T14:00:09.879Z,2022-09-03T20:49:43Z,3753107963,141,62.3,3753107967,213,2.8,3755606555,178,,3753107959,56,Back,3753107969,279,S,3753107965,212,22.0,3753107961,140,30.6,,,,at7mm2zrj2hjhu4bnq1f9noix,Lucas Paquetá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897519,4,1,1,0,3,4txjdaqveermfryvbfrr4taf7,0,35.2,58.5,2022-09-03T14:00:13.196Z,2022-09-03T20:49:47Z,3753108135,141,79.6,3753108131,56,Left,3753108141,1,,3755606695,178,,3753108129,155,,3753108133,140,70.6,3753108137,212,39.8,3753108139,213,0.4,9qdm0nxg1g046olii48z3crf9,K. Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897571,3,1,1,0,6,9q0arba2kbnywth8bkxlhgmdr,1,33.5,33.1,2022-09-03T14:00:16.108Z,2022-09-03T20:49:53Z,3753108415,3,,3753108423,212,3.8,3753108421,141,37.7,3753108417,56,Back,3753108425,213,1.0,3755606927,388,,3753108419,140,35.6,,,,7yirx71oya71zjsgldj5ucqcq,W. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897575,4,1,1,0,7,9q0arba2kbnywth8bkxlhgmdr,0,30.3,38.8,2022-09-03T14:00:16.963Z,2022-09-03T20:49:59Z,3753110319,141,16.5,3753110317,140,39.0,3755607313,178,,3753110321,212,17.7,3753110313,155,,3753110323,213,5.3,3753110315,56,Back,,,,ehopba709zukxj4vgcync942d,M. Kovačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897703,5,1,1,0,10,4txjdaqveermfryvbfrr4taf7,1,61.4,89.3,2022-09-03T14:00:19.874Z,2022-09-03T20:50:02Z,3753108971,140,45.0,3753108975,212,20.0,3753108977,213,3.7,3753108969,56,Back,3753108973,141,74.2,3755607465,178,,,,,,,,8qezzr83ofw7htqufohg2fwlx,Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897813,6,1,1,0,14,4txjdaqveermfryvbfrr4taf7,1,44,59.3,2022-09-03T14:00:24.697Z,2022-09-03T20:50:05Z,3753109345,212,15.6,3753109341,140,33.3,3753109343,141,43.3,3755607689,178,,3753109347,213,3.9,3753109339,56,Back,,,,,,,6jgocc12bori2wygyu07c082x,D. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897837,7,1,1,0,17,4txjdaqveermfryvbfrr4taf7,1,33.4,43.3,2022-09-03T14:00:26.956Z,2022-09-03T20:50:09Z,3753109455,141,74.1,3753109451,56,Back,3755607921,178,,3753109453,140,35.3,3753109457,212,21.0,3753109459,213,1.5,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897899,8,1,1,0,18,4txjdaqveermfryvbfrr4taf7,1,35.3,74.1,2022-09-03T14:00:28.704Z,2022-09-03T20:50:13Z,3753109741,141,93.5,3753109745,213,1.2,3753109737,56,Back,3753109739,140,40.2,3753109743,212,14.2,3755608215,178,,,,,,,,9qdm0nxg1g046olii48z3crf9,K. Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897971,9,1,1,0,22,4txjdaqveermfryvbfrr4taf7,1,40.1,93.5,2022-09-03T14:00:31.868Z,2022-09-03T20:50:16Z,3753110013,141,80.9,3753110009,56,Back,3753110019,213,4.0,3753110015,212,11.5,3753110011,140,32.8,3755608373,178,,,,,,,,8qezzr83ofw7htqufohg2fwlx,Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898081,10,1,1,0,24,4txjdaqveermfryvbfrr4taf7,1,30.4,77,2022-09-03T14:00:34.767Z,2022-09-03T20:50:19Z,3753110541,56,Back,3753110545,141,55.4,3755608555,178,,3753110547,212,15.0,3753110549,213,4.5,3753110543,140,27.7,,,,,,,9qdm0nxg1g046olii48z3crf9,K. Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898107,11,1,1,0,28,4txjdaqveermfryvbfrr4taf7,1,28.8,66.3,2022-09-03T14:00:38.542Z,2022-09-03T20:50:21Z,3755608745,178,,3753110705,140,24.6,3753110711,213,2.0,3753110703,56,Back,3753110707,141,82.3,3753110709,212,11.7,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
