id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/8/value,qualifier/10/value,assist,qualifier/18/id,qualifier/18/qualifierId
2482390405,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-11-06T13:10:41.311Z,2022-11-06T14:01:02Z,3898934461,59,"1, 20, 23, 99, 25, 4, 28, 16, 24, 29, 14, 7, 8, 10, 11, 15, 19, 33, 42, 77",3898934469,197,15912,3898934467,194,azuc3tma44xyrbgf5y279o1xx,3898934463,130,2,3898934465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898934459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898934471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898934457,30,"8govqd0xf8ijst50tgypaep5h, 99f4n1ws494k96r9ewdcrecbt, 8f3bhiy6r5eei1n25exhbwr8p, 8rfgwq7hbi4a3imda845vdyvp, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, e7e68wlpiqqohpg71oh4vrbl6, 5o0h8eeydl8t92qp3ywekqh1x, 7fcq014jmdb0uqldcts6tglat, 3n9jnuteyjx6w6dxviuead0b9, 5ak9fwtqlr2pll0nsv5br7p7u, e3kdoxu1kwn2w3wwi1rqhvr9x, vja0xo3xiuax8eh0b6q3y09, ct32113pfx5q9avf2c0x208ru, dxeju5zcb6j8etdgwq0kweor9, 5q0q6f1hk7afy5i4hmkf9xj9x, 6j0ogojh2b7poyceg7i3k09yi, 9yjtdz1toq241g6cgdty94lck, 2e0ipswbkv4vf7lav6ee1j3oq, 9tqbuv5f466mzo4fx4ll0drvu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482397487,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-11-06T13:18:37.582Z,2022-11-06T14:05:07Z,3898970385,194,7xd54eb65lg7zldvnyd58bq39,3898970383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898970375,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, bl4lretp33t0jj3icujkf45p1, dl4e5ojyhccj6w0vgksfzvmxh, 7xd54eb65lg7zldvnyd58bq39, 7mn6lue4zatldcxp0gd7kt8mh, 36yupk7p1vks4dbguw53xhucp, dom1dzrvk7y4sd8puf8iztn11, 3imcuejzt9r6zvvv1xbn5jbl6, 32bc16sg6h58ajxigp7nl1ryt, e0hk5aepnpo7cne006zwahfx1, 1ixibe50te4j2gjhbufm72aui, c4yip4bf8il4gnxnhcb381b3e, 5lfki1zoxd4l96hjbr2rw3d2h, 8b40ap862z6ynvmgah0vjces5, 7z8bpxyfd31hb5ehkaina1ap6, 3zyw4328iilwrttjoww1wctlh, 3ynh418z6f6bfjz674vs40f6x, e6se9kft2lf9hs92rof2pnn6c, 7nlijkywjl13h3ks132026iok",3898970387,197,16252,3898970377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898970389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898970379,59,"40, 99, 2, 20, 5, 3, 45, 7, 22, 10, 9, 1, 4, 8, 14, 18, 23, 29, 11, 97",3898970381,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430193,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-11-06T14:00:34.624Z,2022-11-06T22:07:09Z,3899135495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430171,3,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-11-06T14:00:34.624Z,2022-11-06T14:00:34Z,3899135415,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430237,4,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,50,50,2022-11-06T14:00:34.727Z,2022-11-07T02:53:03Z,3899135745,140,30.2,3899135743,56,Back,3899135747,141,52.1,3901641425,178,,3899135753,279,S,3899135749,212,20.8,3899135751,213,3.1,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430309,5,1,1,0,3,3adj8hkws0z1al232bg2h6tk0,0,32.1,53.3,2022-11-06T14:00:37.825Z,2022-11-07T06:59:35Z,3899136093,56,Left,3899136095,140,60.8,3899136097,141,94.5,3899136101,213,0.7,3901641481,178,,3899136103,1,,3899136099,212,41.1,3899136091,155,,7xd54eb65lg7zldvnyd58bq39,B. Chardonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430321,3,44,1,0,6,bx0cdmzr2gwr70ez72dorx82p,1,33.5,4.4,2022-11-06T14:00:40.892Z,2022-11-07T06:59:34Z,3899136139,56,Back,3899136141,285,,3899136165,233,6,,,,,,,,,,,,,,,,e7e68wlpiqqohpg71oh4vrbl6,H. Boudaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430315,6,44,1,0,6,3adj8hkws0z1al232bg2h6tk0,0,66.5,95.6,2022-11-06T14:00:40.893Z,2022-11-07T06:59:34Z,3899136119,286,,3899136231,233,3,3899136117,56,Left,,,,,,,,,,,,,,,,3imcuejzt9r6zvvv1xbn5jbl6,J. Le Douaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430339,4,1,1,0,6,bx0cdmzr2gwr70ez72dorx82p,1,33.5,7.4,2022-11-06T14:00:40.971Z,2022-11-07T06:59:33Z,3899136213,212,11.9,3899136215,213,1.2,3899136209,140,37.2,3901641531,388,,3899136205,3,,3899136207,56,Back,3899136211,141,23.9,,,,e7e68wlpiqqohpg71oh4vrbl6,H. Boudaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430355,5,1,1,0,7,bx0cdmzr2gwr70ez72dorx82p,0,43.9,15.3,2022-11-06T14:00:42.424Z,2022-11-07T06:59:33Z,3899136269,140,33.2,3901641597,178,,3899136273,212,16.7,3899136275,213,2.3,3899136267,56,Back,3899136265,3,,3899136271,141,33.4,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
