id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,assist
2469518247,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-10-09T10:10:04.103Z,2022-10-09T10:13:47Z,3830921373,130,2,3830921377,194,a2s2c6anax9wnlsw1s6vunl5h,3830921375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3830921371,59,"16, 2, 12, 4, 6, 5, 21, 19, 10, 36, 17, 3, 9, 11, 14, 15, 18, 23, 27, 30",3830921369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3830921381,197,650,3830921367,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, 2rio84cmao72sc7lnsodwzzhm, 3djmsd2atvq16ysmocq7twsfd, 5g5wwp5luxo1rz1kp6chvz0x6, 8vhjmcgjbzpzd4vv3zb945p1w, b0wb7gf04synxlkq7o8gvzkoa, a2s2c6anax9wnlsw1s6vunl5h, dkve6gf309h5tglwawqx8mlzp, 28x7i681wkjueanvkevew3bh1, 270djbc9lxhoupmd1djrii191, f4pqxviuwzd6a803jfx9bh4o9, 21x9ir9n7i6mt2qfuk4e891pl, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 2axi9gr1lhuewlt06emrk44q1, f5j3vhj805xtkos7l538u0d7t, 8xitc97j4scfajm8ucq7e5l91",3830921383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469519179,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-09T10:12:47.202Z,2022-10-09T10:58:40Z,3830926579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3830926571,59,"1, 29, 31, 13, 6, 14, 7, 12, 21, 11, 10, 2, 9, 18, 19, 22, 27, 77, 90, 99",3830926575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3830926577,194,8yirlj1hpoqnuczpywgzlblxx,3830926573,130,8,3830926567,30,"3z6ekzop4y7cjuatzz9ua74k5, 1k6t5y26ufw2e6gh33tni45ey, azcv772qzdbz1exafx3od6lt5, 7za8h1pgec0y2s1ihmkkfvpm2, 2snhhbt5230mm0rxigcqitqdx, 3izhfm7i4afomephw07mp4nsa, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, 16idj1wxzcbvuaov5duvpqhyi, 8yirlj1hpoqnuczpywgzlblxx, 71bl8lyjtmzn8ebwulcjnmu39, 8cawa8470beg2ce0as7hv5psl, 1yj1kt2cx24nn4zt5h1ma1olx, 230qvyk9dg4plwzobjj6thmqy, 8ikvcyvko9qou241buomqqv6y, cr1n1i96xlepbvk90nl87o4yc, 5w9g9gfeucuccwxd09o62f84p, 859tcp8023r5cki7uju30l9t5, a065rtv2lfh0rso33dfuah4ut, d8m8y59eum57eu7kiat38rkk5",3831014259,197,16245,3830926569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538563,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-09T11:00:25.350Z,2022-10-09T18:52:59Z,3831030795,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538577,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-10-09T11:00:25.350Z,2022-10-09T11:00:27Z,3831030849,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538583,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,49.9,49.6,2022-10-09T11:00:25.390Z,2022-10-09T20:21:54Z,3831030881,140,51.4,3831030889,279,S,3831030885,212,2.9,3831030887,213,5.3,3833561051,178,,3831030883,141,46.0,3831030879,56,Center,,,,16idj1wxzcbvuaov5duvpqhyi,E. Wahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538599,4,1,1,0,1,2cjpmotqo8phcqfpgo9xf4gel,1,51.5,47.7,2022-10-09T11:00:26.937Z,2022-10-09T23:06:33Z,3831030969,155,,3831030981,1,,3831030975,141,4.1,3831030971,56,Right,3831030979,213,5.5,3831030973,140,78.1,3831030977,212,40.7,3833561919,178,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538601,5,3,1,0,5,2cjpmotqo8phcqfpgo9xf4gel,0,80.8,3.3,2022-10-09T11:00:30.833Z,2022-10-09T23:06:32Z,3831031131,233,3,3832045961,464,,3831030995,286,,3831030993,56,Right,3833562403,178,,,,,,,,,,,1k6t5y26ufw2e6gh33tni45ey,E. Tchato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538619,3,7,1,0,5,4t4hod56fsj7utpjdor8so5q6,1,19.2,96.7,2022-10-09T11:00:30.947Z,2022-10-09T23:06:31Z,3833562695,178,,3831031093,285,,3831031091,56,Back,3832046247,383,,3831031119,233,5,,,,,,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538633,4,12,1,0,7,4t4hod56fsj7utpjdor8so5q6,1,5.9,96.7,2022-10-09T11:00:33.221Z,2022-10-09T23:06:31Z,3831031159,56,Back,3833563181,178,,3831031161,140,11.4,3831031165,212,6.4,3831031167,213,0.4,3831031163,141,100.0,3831031195,167,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538639,5,5,1,0,8,4t4hod56fsj7utpjdor8so5q6,0,10.1,100.8,2022-10-09T11:00:33.851Z,2022-10-09T20:22:26Z,3831031189,347,,3831031187,56,Back,3831031417,233,6,,,,,,,,,,,,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538681,6,5,1,0,8,2cjpmotqo8phcqfpgo9xf4gel,1,89.9,-0.8,2022-10-09T11:00:33.851Z,2022-10-09T20:22:25Z,3831031389,233,5,3831031377,56,Right,3831031379,347,,,,,,,,,,,,,,,,,1k6t5y26ufw2e6gh33tni45ey,E. Tchato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538695,7,1,1,0,16,2cjpmotqo8phcqfpgo9xf4gel,1,90.8,0,2022-10-09T11:00:41.568Z,2022-10-09T23:06:31Z,3831031475,212,7.9,3831031473,141,8.5,3831031477,213,2.0,3831031463,107,,3831031469,140,87.5,3831031465,56,Right,,,,,,,1k6t5y26ufw2e6gh33tni45ey,E. Tchato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538705,8,1,1,0,16,2cjpmotqo8phcqfpgo9xf4gel,1,87.6,9.1,2022-10-09T11:00:42.309Z,2022-10-09T23:06:30Z,3831031521,212,3.1,3831031523,213,4.6,3833564369,178,,3831031519,141,4.6,3831031515,56,Right,3831031517,140,87.2,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538717,9,1,1,0,17,2cjpmotqo8phcqfpgo9xf4gel,0,88.6,1.9,2022-10-09T11:00:43.119Z,2022-10-09T23:06:30Z,3831031569,212,18.9,3831031565,140,87.4,3831031563,56,Center,3831031567,141,29.7,3833564595,178,,3831031571,213,1.6,,,,,,,1k6t5y26ufw2e6gh33tni45ey,E. Tchato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469538737,6,1,1,0,18,4t4hod56fsj7utpjdor8so5q6,1,15.2,67.7,2022-10-09T11:00:44.233Z,2022-10-09T23:06:30Z,3831031669,212,8.0,3831031665,140,7.6,3831031667,141,69.0,3831031663,56,Back,3833565261,178,,3831031671,213,3.0,,,,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
