id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/10/value,qualifier/16/value,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/20/value
2512742825,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-02-26T13:03:30.285Z,2023-02-26T14:06:47Z,4058747351,59,"1, 15, 3, 8, 25, 21, 14, 6, 17, 7, 10, 2, 4, 5, 16, 27, 28, 34, 77",4058972389,197,624,4058747359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058747347,30,"3xpo0nc3hysdi41gupi7adot1, i0pvdl0hx7idtfi0xymygmp5, 1e77it93nx78uu157mmksd71l, d3d1qks236pztzcqp3wdcc0l, 70ukveu4kwheeizg6x694krmx, 67q7ve9vse4m2nb82j2z1clhx, 9higgl848a37qflh0sts05tjp, bm1utly0qt2kaexijsu2p2tw5, d040o5igq61iizexn1v2a5t5h, 2fa3vmp34mwrthdiehnaxnnqh, dfdq5f5mrzq9zaj1mrfhk5905, 2hujd2bwvb0wtxdna6c0xb2z9, 529k1s89fjg133s8ycjwvgg5x, 1lbgavu1rxlrfg14062suwyj9, 8wz2w0267i1845k87hxsgandh, bi49lcldxz8jubp72kgeke2y2, cxzg0rkbjkyvpw0xiki7noktm, 4ported2opjp4xbp87bpqb6z8, crdmczlhynym2z1adqlbt853p",4058747349,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4058747353,130,2,4058747355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4058747357,194,bm1utly0qt2kaexijsu2p2tw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512745557,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-02-26T13:06:41.018Z,2023-02-26T13:54:41Z,4058760857,59,"30, 19, 12, 17, 23, 2, 8, 24, 7, 11, 29, 1, 4, 6, 9, 20, 22, 25, 31, 39",4058760861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058760855,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058760853,30,"8xdrtww8r5jbxuxtall0wh591, dj2f6zk2cd8u9lt6odoei9cdl, e0tmfkagd1lmf2hw7gctbaqqd, eznhm6o1jymvzaucjlngbaad, 2smai2vq1r9xnemihvcq0doet, 87gvtfqgn555sywr78abximsp, c8mp2wwwyvy930vfjnivg2hre, 9nhlgi0k783bq8a2704bu6n6d, bj37ny1s1gbbe4wrgyz1wag9h, demp53kye0ium76t240vo8cet, 9bkzl4dx3mci3w86rjpfkwowk, 1bs4vwqye00mn2oaxrvfkkt7t, 7etm5qf3sonimtxllrw5xwkid, 3h3g7sne1jjevj0mwyliehm95, 900q6uo21i95co96snohqofyt, a7rdypucykxo0a9xmcuqzabpx, ckcjk3zjpix288d6zihltlst0, e0cuitfnnziyrdtuu9j1u2kgk, 1iawtsm8hqaczx4awpv9byz9w, 577j49ffrxuurraco9chy388a",4058760863,194,2smai2vq1r9xnemihvcq0doet,4058760859,130,17,4058760865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058965101,197,15910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790755,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-02-26T14:00:12.233Z,2023-02-26T14:00:16Z,4058985441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790733,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-02-26T14:00:12.233Z,2023-02-26T23:27:26Z,4058985361,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790811,3,1,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,50,50,2023-02-26T14:00:12.235Z,2023-02-27T01:49:21Z,4058985719,213,4.4,4058985707,56,Back,4058985711,140,48.9,4061132005,178,,4058985723,278,,4058985713,141,45.2,4058985721,279,S,4058985717,212,3.5,d040o5igq61iizexn1v2a5t5h,R. Hamouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790815,4,1,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,50.2,43,2023-02-26T14:00:12.637Z,2023-02-27T06:00:26Z,4058985747,141,48.4,4058985745,140,42.4,4058985751,213,2.7,4058985743,56,Back,4061132083,178,,4058985749,212,9.0,,,,,,,2fa3vmp34mwrthdiehnaxnnqh,M. El Idrissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790913,5,1,1,0,2,6xjy1q2m55iiwe8g1r1yffbc9,0,42,50.1,2023-02-26T14:00:14.863Z,2023-02-27T06:00:25Z,4058986207,141,11.6,4058986211,213,5.7,4058986205,140,84.1,4058986203,56,Right,4061132147,178,,4058986213,1,,4058986209,212,51.4,4058986201,155,,bm1utly0qt2kaexijsu2p2tw5,M. Coutadeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790881,3,49,1,0,7,3unkqo2g6ag99gd5ynz1j7vse,1,9.7,91.3,2023-02-26T14:00:19.810Z,2023-02-27T06:00:25Z,,,,,,,,,,,,,,,,,,,,,,,,,e0tmfkagd1lmf2hw7gctbaqqd,Abdu Conté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790909,4,1,1,0,8,3unkqo2g6ag99gd5ynz1j7vse,0,6.2,98.3,2023-02-26T14:00:20.754Z,2023-02-27T06:00:24Z,4058986189,1,,4058986389,286,,4058986181,140,12.8,4058986187,213,5.8,4061132461,178,,4058986385,233,6,4058986185,212,7.7,4058986177,157,,e0tmfkagd1lmf2hw7gctbaqqd,Abdu Conté,4058986183,141,93.2,4058986179,56,Back,4058986383,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790943,6,74,1,0,8,6xjy1q2m55iiwe8g1r1yffbc9,1,92.6,5.9,2023-02-26T14:00:20.808Z,2023-02-27T06:00:23Z,4061132599,178,,4058986325,285,,4058986435,233,4,4058986323,56,Right,,,,,,,,,,,,,9higgl848a37qflh0sts05tjp,C. Bayala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
