id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/16/value,assist,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2510093989,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-02-19T18:47:34.316Z,2023-02-19T19:46:39Z,4044745461,130,7,4044745463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044745465,194,eswivc2a0iwwdly6ft8eh0ogl,4044745457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044745455,30,"3yk6n0wr6nc0dlm51gwvwi4t1, e9g52c7vl608rt5wuf9o46l79, 8yak0o9o7z5j5ribga3ui2cb9, aa0888u38mjc1euhofseazb2t, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, anr9qh585ctgk2d17zperhgix, eswivc2a0iwwdly6ft8eh0ogl, 1lnktjxx0mux4beo28cl54j1m, 2rsqkarlkh6z8vrb0clfbz6xh, cphxr8p8dhc1qeqfgdt7is4ph, 24n3hqbko2cyoxk4q84rzqvhl, ulqazti394q5bbzc4pblidat, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, b3xdln1shzyzwkhzdmbb2fqax, 98gymyp93rh6s57b50xq6fqax, 187ytd6guq9q9ruo3thez7ey2, 684cguhktvth28ql6qgvvmcyc, 4vprka7bsj2a4v2g7kz0b6k2c",4044745467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044889127,197,15757,4044745459,59,"30, 3, 15, 17, 4, 2, 6, 10, 27, 8, 21, 5, 7, 14, 16, 19, 24, 26, 28, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510101105,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-02-19T19:02:50.333Z,2023-02-19T19:29:50Z,4044782139,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4044782147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044782137,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, 41jb0ts5688xz8ell62rybm22, 9jw0h4escxh3eqz8oh860r3yt, asvqr3i5wcjiajxipt1qvldyh, cnriqwh17pqgz7p2gt74uar6c, 26mggguhavwmnq1oak12ket, 4euxcqawlks4c56pqj8xvwbf9, 2p70qo9oxplufwnhlrl2b8v3e, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m",4044782145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4044871091,194,8s259ktv9j6ei0f8rh2msqfh1,4044782143,130,17,4044782141,59,"16, 7, 30, 23, 5, 99, 21, 27, 70, 17, 8, 3, 6, 9, 10, 18, 29, 36, 47",4044871093,197,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125331,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-02-19T19:45:05.062Z,2023-02-19T23:34:15Z,4044917369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125325,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-02-19T19:45:05.062Z,2023-02-19T19:45:05Z,4044917341,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125377,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50.1,49.7,2023-02-19T19:45:05.130Z,2023-02-19T23:37:53Z,4044917601,141,61.7,4044917597,56,Back,4044917599,140,37.9,4045399047,178,,4044917603,212,15.2,4044917605,213,2.6,4044917607,279,S,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125389,4,1,1,0,1,27xvwccz8kpmqsefjv2b2sc0o,1,40.7,60.9,2023-02-19T19:45:07.057Z,2023-02-20T02:55:12Z,4044917661,56,Back,4045399141,178,,4044917669,213,1.4,4044917663,140,44.2,4044917665,141,91.1,4044917667,212,20.9,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125399,5,1,1,0,4,27xvwccz8kpmqsefjv2b2sc0o,1,47.5,95.1,2023-02-19T19:45:09.374Z,2023-02-20T02:55:11Z,4044917727,141,81.3,4044917723,56,Left,4044917729,212,13.0,4045399209,178,,4044917725,140,56.1,4044917731,213,5.5,,,,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125433,6,1,1,0,5,27xvwccz8kpmqsefjv2b2sc0o,1,54.3,81.6,2023-02-19T19:45:10.349Z,2023-02-20T02:55:11Z,4044917931,141,72.9,4044917947,156,,4044917935,213,3.3,4044917929,140,25.4,4044917933,212,30.9,4045399277,178,,4044917927,56,Back,,,,41jb0ts5688xz8ell62rybm22,A. Ounahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125505,7,1,1,0,7,27xvwccz8kpmqsefjv2b2sc0o,1,27.3,72.6,2023-02-19T19:45:12.850Z,2023-02-20T02:55:10Z,4045399333,178,,4044918281,56,Back,4044918287,212,20.0,4044918285,141,43.4,4044918283,140,24.9,4044918289,213,4.6,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510125539,8,1,1,0,13,27xvwccz8kpmqsefjv2b2sc0o,0,33.3,34.3,2023-02-19T19:45:18.560Z,2023-02-20T02:55:09Z,4044918451,155,,4044918461,213,0.0,4044918453,56,Center,4045399387,178,,4044918459,212,56.9,4044918455,140,87.5,4044918457,141,35.8,4044918463,1,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
