id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2515783331,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-03-05T11:08:20.062Z,2023-03-05T12:07:21Z,4074788119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074788117,197,15910,4074788107,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074788109,59,"30, 19, 12, 17, 23, 4, 6, 24, 20, 11, 29, 1, 2, 9, 14, 18, 22, 25, 31, 39",4074788111,130,17,4074788115,194,2smai2vq1r9xnemihvcq0doet,4074788105,30,"8xdrtww8r5jbxuxtall0wh591, dj2f6zk2cd8u9lt6odoei9cdl, e0tmfkagd1lmf2hw7gctbaqqd, eznhm6o1jymvzaucjlngbaad, 2smai2vq1r9xnemihvcq0doet, 7etm5qf3sonimtxllrw5xwkid, 3h3g7sne1jjevj0mwyliehm95, 9nhlgi0k783bq8a2704bu6n6d, a7rdypucykxo0a9xmcuqzabpx, demp53kye0ium76t240vo8cet, 9bkzl4dx3mci3w86rjpfkwowk, 1bs4vwqye00mn2oaxrvfkkt7t, 87gvtfqgn555sywr78abximsp, 900q6uo21i95co96snohqofyt, 7ef73s1ryz38blmo3n9p9c82x, 4hns4p7a45kno60qqzlniycmi, ckcjk3zjpix288d6zihltlst0, e0cuitfnnziyrdtuu9j1u2kgk, 1iawtsm8hqaczx4awpv9byz9w, 577j49ffrxuurraco9chy388a",4074788113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515786171,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-03-05T11:14:13.520Z,2023-03-05T11:19:34Z,4074804053,194,a2s2c6anax9wnlsw1s6vunl5h,4074804045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074804051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074804055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074820895,197,649,4074804043,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 2axi9gr1lhuewlt06emrk44q1, f5j3vhj805xtkos7l538u0d7t, 28s6z18rcl9v8561yzu7m0voq, 2xmc0gsdslrnsu6ua40kbh32t, a2s2c6anax9wnlsw1s6vunl5h, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, 9bqv99e39z86mn7dq3wnyt90p, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 8xitc97j4scfajm8ucq7e5l91, 3sby91ws28mb3yt82a9al75sk, cyz9jisw86vjjf85xxgbae0yy, dkve6gf309h5tglwawqx8mlzp, d3pb7ybk0yv0hrjbr80vyx1xw",4074804049,130,2,4074804047,59,"16, 26, 12, 19, 6, 23, 27, 15, 31, 10, 17, 9, 14, 18, 21, 30, 33, 34, 36, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811901,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-03-05T12:01:51.208Z,2023-03-05T12:01:52Z,4074939171,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811893,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-03-05T12:01:51.208Z,2023-03-05T17:46:18Z,4074939139,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811945,3,1,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,50.4,51,2023-03-05T12:01:51.375Z,2023-03-05T17:57:22Z,4074939349,141,41.3,4074939347,140,31.2,4076692687,178,,4074939353,213,3.5,4074939345,56,Back,4074939355,279,S,4074939351,212,21.2,,,,demp53kye0ium76t240vo8cet,Rony Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811991,4,1,1,0,3,3unkqo2g6ag99gd5ynz1j7vse,1,33.5,46.4,2023-03-05T12:01:54.819Z,2023-03-05T22:13:54Z,4074939585,141,21.3,4074939581,56,Back,4076692929,178,,4074939583,140,44.5,4074939589,213,5.3,4074939587,212,20.6,,,,,,,2smai2vq1r9xnemihvcq0doet,A. Rami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515812023,5,1,1,0,6,3unkqo2g6ag99gd5ynz1j7vse,1,43.7,14.1,2023-03-05T12:01:57.830Z,2023-03-05T22:13:53Z,4074939733,155,,4074939735,56,Center,4074939743,213,0.4,4074939737,140,61.5,4076693081,178,,4074939739,141,24.4,4074939741,212,20.0,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515812083,6,1,1,0,8,3unkqo2g6ag99gd5ynz1j7vse,1,69.1,21.3,2023-03-05T12:01:59.882Z,2023-03-05T22:13:52Z,4074940025,168,,4074940033,141,2.8,4074940019,3,,4074940031,140,83.3,4074940035,212,19.5,4074940029,56,Right,4076693677,388,,4074940037,213,5.6,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515812091,7,1,1,0,13,3unkqo2g6ag99gd5ynz1j7vse,0,84.2,0.1,2023-03-05T12:02:04.506Z,2023-03-05T22:13:51Z,4074940065,212,3.9,4074940061,141,2.2,4074940341,286,,4074940057,56,Right,4074940059,140,80.7,4074940337,233,3,4074940069,213,2.8,4076694043,178,,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,4074940335,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515812097,3,74,1,0,13,4t4hod56fsj7utpjdor8so5q6,1,18,96.1,2023-03-05T12:02:04.713Z,2023-03-05T22:13:51Z,4074940077,56,Back,4076694379,178,,4074940301,285,,4074940353,233,7,4076694377,21,,,,,,,,,,,28x7i681wkjueanvkevew3bh1,A. Golovin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
