id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/20/value
2493749867,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-12-28T19:32:58.632Z,2022-12-28T19:32:58Z,3958814843,197,4735,3958814839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3958814835,59,"40, 99, 2, 7, 5, 3, 45, 29, 15, 10, 9, 1, 8, 13, 18, 21, 23, 11, 97",3958814841,194,7xd54eb65lg7zldvnyd58bq39,3958814837,130,4,3958814833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3958814845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958814831,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, bl4lretp33t0jj3icujkf45p1, dom1dzrvk7y4sd8puf8iztn11, 7xd54eb65lg7zldvnyd58bq39, 7mn6lue4zatldcxp0gd7kt8mh, 36yupk7p1vks4dbguw53xhucp, 3ynh418z6f6bfjz674vs40f6x, 5yg9ljo5pf1lo2xk74d0k240l, 32bc16sg6h58ajxigp7nl1ryt, e0hk5aepnpo7cne006zwahfx1, 1ixibe50te4j2gjhbufm72aui, 5lfki1zoxd4l96hjbr2rw3d2h, 9jiectkc8rk0ivxn80l87ic45, 7z8bpxyfd31hb5ehkaina1ap6, 6oaqk4pdojnlefa3zubsysmvp, 3zyw4328iilwrttjoww1wctlh, e6se9kft2lf9hs92rof2pnn6c, 7nlijkywjl13h3ks132026iok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493750593,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-12-28T19:37:37.507Z,2022-12-28T20:00:55Z,3958818237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958818233,59,"1, 20, 21, 6, 2, 4, 11, 88, 10, 18, 7, 33, 9, 15, 22, 23, 24, 26, 35, 40",3958818231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958818229,30,"d3mss0i879krqrk1owzmj2c45, al6dgtinz0ki8uj8wrvc7fg2c, 46acb400oivj94jwu3i3lrxsl, 79dz7zni5fcgh5e70spoj2j8p, e9mtpmkb4qj2gqyv966g9ulpm, aaaskdins76bd0368sbpt7wq2, 79nno03ww57p02dz5o0g60rqi, d68byfvk16giaur32gqwpwded, f4cykd65su8xbme6xdc1iw7o5, 1ehcji0j9s8b0qsj8v5zinjvu, 9mory3y7p8aku035r2kxtvz6d, 2bfs1dfmyao4e3gzha29t1lw4, d9zax4y92d85x7j63kg7ckvkl, 7c5uk1ts8jlu88p1x6wubuz8p, 7ef73s1ryz38blmo3n9p9c82x, 3vu0c0j8n99wz6e2f7fmd2pxx, 6ovea0xzg9yflmlbjdf1xcmlm, a71n80h977h7fu99ftnri5zsa, 7to9ns7mkuji0ciwh1ufkq3md, 1rsywvl7266o5ldvfps43l8q2",3958818243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958818239,194,f4cykd65su8xbme6xdc1iw7o5,3958818235,130,8,3958818241,197,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755783,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-12-28T20:00:36.547Z,2022-12-29T01:19:23Z,3958847881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755781,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-12-28T20:00:36.547Z,2022-12-28T20:00:36Z,3958847879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755791,3,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,50,50,2022-12-28T20:00:36.698Z,2022-12-29T01:30:40Z,3958847937,213,5.7,3958847933,141,48.8,3959118639,178,,3958847931,140,51.1,3958847929,56,Center,3958847939,279,S,3958847935,212,1.4,,,,f4cykd65su8xbme6xdc1iw7o5,A. Lacazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755797,4,1,1,0,1,121le8unjfzug3iu9pgkqa1c7,1,50.7,49.2,2022-12-28T20:00:37.612Z,2022-12-29T06:09:59Z,3958847959,213,3.7,3958847955,141,38.8,3959118851,178,,3958847957,212,12.7,3958847953,140,40.7,3958847951,56,Back,,,,,,,1ehcji0j9s8b0qsj8v5zinjvu,R. Cherki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755811,5,1,1,0,2,121le8unjfzug3iu9pgkqa1c7,1,42.1,42.8,2022-12-28T20:00:39.221Z,2022-12-29T06:09:58Z,3958848037,56,Back,3959118907,178,,3958848045,213,3.6,3958848043,212,11.9,3958848039,140,32.0,3958848041,141,34.9,,,,,,,d68byfvk16giaur32gqwpwded,C. Tolisso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755823,6,1,1,0,5,121le8unjfzug3iu9pgkqa1c7,0,28.5,35.5,2022-12-28T20:00:41.957Z,2022-12-29T06:09:57Z,3958848105,140,70.0,3958848109,212,47.1,3958848111,213,5.9,3958848101,155,,3959118935,178,,3958848103,56,Right,3958848113,1,,3958848107,141,9.1,e9mtpmkb4qj2gqyv966g9ulpm,S. Diomandé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755831,3,1,1,0,8,3adj8hkws0z1al232bg2h6tk0,1,29.5,90.3,2022-12-28T20:00:44.579Z,2022-12-29T06:09:56Z,3958848153,212,12.1,3959118973,178,,3958848147,56,Back,3958848151,141,91.5,3958848145,3,,3958848149,140,41.0,3958848155,213,0.1,,,,bl4lretp33t0jj3icujkf45p1,J. Duverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493755835,4,49,1,0,9,3adj8hkws0z1al232bg2h6tk0,1,47,88.5,2022-12-28T20:00:45.852Z,2022-12-29T06:09:56Z,,,,,,,,,,,,,,,,,,,,,,,,,e0hk5aepnpo7cne006zwahfx1,F. Honorat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
