id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2506957627,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-12T13:08:03.817Z,2023-02-12T13:57:08Z,4028177727,130,8,4028177729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028177723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028177733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028177725,59,"1, 97, 14, 12, 4, 95, 7, 80, 19, 29, 9, 6, 10, 13, 16, 17, 21, 22, 24, 32",4028177721,30,"6wplm29z7qxxmujyc2ml19gix, baogzi00mwdclwbvkd618evv9, 512mx8ixg85cbefyan94g82y1, 7jj9gwpuk49bsm2ru06qb44wl, 6ypo3vp0zupq6s1jbk8rbmq51, 5rh9yiue1qnabbwoyweyus5t6, co59rv08x22hk5itwibbwq191, 46vm60m1v8o9t0aesa0bpr42y, 1py4bk2ik16w8lil31bghq99m, doc6xdg2vumiyoamostngr36d, 7pv3n0vj8243p1di16regotsl, 3o7ktan6n28fn5fj7gel6qead, 6gdoxudvl1rgcn7d19e89p9ed, tca8ra7ew1b1uny96ku0ql05, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, dhk8g3ptwjf297ix0rcvgydhx, 9br3ebcuzl5b755kwuxgey3md, dac9zcryfwbq3xdik69gkpadx, 38cux1onwt3bxppreaklir7it",4028177731,194,7jj9gwpuk49bsm2ru06qb44wl,4028364407,197,4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506960295,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-02-12T13:10:37.943Z,2023-02-12T14:07:10Z,4028189825,59,"1, 94, 8, 2, 22, 5, 23, 6, 19, 7, 10, 4, 11, 15, 17, 25, 29, 31, 40, 92",4028189821,30,"cgqunmh8aw465fna15rdve8d1, 9tdb905kq5becch102boicdex, 8j04w1662nucmmi276lrokmvp, boa0e436nc3u53cumlao9ulex, 8927ird9ax5sj69nadeqaktlh, cnei0h8qtnmr9n9ojtm029uj9, bqq4tqw6tp68c1fya04onf6c5, 6ynchgp6o4tajwvnfdnoo11at, 36ylt0kjn7t0vajmelu4mbazu, 8kcm8g1fpcqqslzmut1fdhotl, 310zaj8t3k4c8aj54ml0n0kx5, 4gsebdl04os3v9mjhhkamnn1m, 2bfbi3t4aufb47wwt56ilzoyc, dvtd4xsoihe7srn69irnng5w5, akczqgcekziai0uuirql1enrp, 7rvgrqf0ktsepvwpj0osy5pzp, 99yx7t2j59cyia4bkpi59q1as, cwtefikj4d22g8dr4c200pwtm, 2gkxanzyj7yoadakl2j6tfggk, 9vwdme2e657vrezfixnimrv85",4028189831,194,6ynchgp6o4tajwvnfdnoo11at,4028189829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028189827,130,2,4028189823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028367149,197,15935,4028189833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999375,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-02-12T14:00:06.714Z,2023-02-12T19:25:22Z,4028373305,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999371,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-12T14:00:06.714Z,2023-02-12T14:00:06Z,4028373289,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999419,3,1,1,0,0,9bxav814mkuhueiyivyive82d,1,50.1,50,2023-02-12T14:00:06.817Z,2023-02-12T19:56:51Z,4028373469,56,Back,4028373479,279,S,4029714139,178,,4028373471,140,31.4,4028373473,141,36.4,4028373477,213,3.6,4028373475,212,21.7,,,,doc6xdg2vumiyoamostngr36d,M. Autret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999429,4,1,1,0,3,9bxav814mkuhueiyivyive82d,0,30,40.8,2023-02-12T14:00:10.156Z,2023-02-13T05:46:51Z,4029714241,178,,4028373539,56,Center,4028373549,1,,4028373541,140,61.7,4028373547,213,0.6,4028373537,155,,4028373543,141,76.1,4028373545,212,41.0,6ypo3vp0zupq6s1jbk8rbmq51,Jubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999437,3,8,1,0,5,75qj99fhg5c0ztj2tva5u4uii,1,41.1,24.6,2023-02-12T14:00:11.863Z,2023-02-13T05:46:50Z,4028373589,56,Back,4029156243,384,,4029156115,15,,4029714349,388,,,,,,,,,,,,,,bqq4tqw6tp68c1fya04onf6c5,A. Hunou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999453,4,1,1,0,7,75qj99fhg5c0ztj2tva5u4uii,0,36.7,41.4,2023-02-12T14:00:14.218Z,2023-02-13T05:46:50Z,4028373677,56,Back,4028373681,141,35.2,4029714485,388,,4028373675,3,,4028373679,140,45.3,4028373685,213,5.8,4028373683,212,10.0,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999481,5,1,1,0,8,9bxav814mkuhueiyivyive82d,1,51.3,62.1,2023-02-12T14:00:15.469Z,2023-02-13T05:46:49Z,4028373799,213,6.1,4028373791,56,Center,4028373797,212,11.4,4028373793,140,62.0,4028373795,141,58.9,4029714591,178,,4028373789,3,,,,,7jj9gwpuk49bsm2ru06qb44wl,B. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999485,6,61,1,0,9,9bxav814mkuhueiyivyive82d,0,58.4,62.5,2023-02-12T14:00:16.462Z,2023-02-13T05:46:49Z,4029714763,178,,4028373803,56,Center,4029714761,21,,,,,,,,,,,,,,,,,doc6xdg2vumiyoamostngr36d,M. Autret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
