id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2512102511,9,1,1,0,14,75qj99fhg5c0ztj2tva5u4uii,0,88.6,89.3,2023-02-25T16:00:20.958Z,2023-02-26T00:28:43Z,4055325115,141,51.3,4055325119,213,4.7,4055325113,140,87.6,4055325117,212,25.9,4055325111,56,Center,4055325107,2,,4055325109,155,,4057046467,178,,2bfbi3t4aufb47wwt56ilzoyc,A. Salama,4056423489,224,4056423491,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102529,3,12,1,0,15,121le8unjfzug3iu9pgkqa1c7,1,11,49.4,2023-02-25T16:00:22.504Z,2023-02-26T00:28:42Z,4055325195,213,0.7,4055325187,56,Back,4055325239,15,,4055325189,140,24.3,4055325193,212,18.4,4057046823,388,,4055325191,141,67.1,,,,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102605,10,1,1,0,18,75qj99fhg5c0ztj2tva5u4uii,1,75.7,30.2,2023-02-25T16:00:25.208Z,2023-02-26T00:28:41Z,4055325543,141,40.7,4055325547,213,2.7,4055325541,140,62.7,4055325539,56,Center,4055325545,212,15.4,4057047363,178,,,,,,,,boa0e436nc3u53cumlao9ulex,B. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102633,11,1,1,0,21,75qj99fhg5c0ztj2tva5u4uii,1,66.7,34.3,2023-02-25T16:00:28.319Z,2023-02-26T00:28:40Z,4057047621,178,,4055325723,213,5.3,4055325717,140,79.3,4055325721,212,22.4,4055325719,141,7.7,4055325715,56,Right,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102653,12,1,1,0,24,75qj99fhg5c0ztj2tva5u4uii,0,79.2,9.5,2023-02-25T16:00:31.361Z,2023-02-26T00:28:39Z,4056425131,20,,4055325809,155,,4057047871,178,,4056425129,224,,4055325813,140,90.1,4055325817,212,28.1,4055325815,141,47.3,4055325807,2,,9tdb905kq5becch102boicdex,Y. Valery,4055325819,213,4055325811,56,1.2,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102671,4,12,1,0,25,121le8unjfzug3iu9pgkqa1c7,1,7.7,58.4,2023-02-25T16:00:32.560Z,2023-02-26T00:28:39Z,4057048433,178,,4055325929,56,Back,4055325935,212,16.9,4055325937,213,0.0,4055325933,141,59.1,4055325931,140,23.8,4056425367,15,,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102673,5,49,1,0,27,121le8unjfzug3iu9pgkqa1c7,1,18.7,56.2,2023-02-25T16:00:33.966Z,2023-02-26T00:28:38Z,,,,,,,,,,,,,,,,,,,,,,,,,6ovea0xzg9yflmlbjdf1xcmlm,J. Lepenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102699,6,1,1,0,27,121le8unjfzug3iu9pgkqa1c7,1,18.8,56.5,2023-02-25T16:00:34.023Z,2023-02-26T00:28:38Z,4055326063,213,0.2,4055326055,141,59.7,4057049321,178,,4055326059,212,13.3,4055326053,140,31.3,4055326051,56,Back,,,,,,,6ovea0xzg9yflmlbjdf1xcmlm,J. Lepenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102705,7,50,1,0,28,121le8unjfzug3iu9pgkqa1c7,1,23.9,63.5,2023-02-25T16:00:35.336Z,2023-02-26T01:30:30Z,4055326151,233,13,4055326091,285,,4055326089,56,Back,,,,,,,,,,,,,,,,79dz7zni5fcgh5e70spoj2j8p,M. Caqueret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102683,13,7,1,0,28,75qj99fhg5c0ztj2tva5u4uii,0,76.1,36.5,2023-02-25T16:00:35.560Z,2023-02-26T01:30:30Z,4055325997,286,,4055325995,56,Center,4056429353,385,,4057050841,178,,4055326115,233,7,,,,,,,,,,310zaj8t3k4c8aj54ml0n0kx5,H. Abdelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
