id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/16/value,qualifier/17/value,qualifier/18/value,keyPass
2504322693,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-02-05T11:12:53.508Z,2023-02-05T12:06:27Z,4014475215,197,8270,4014371419,194,5rd9832gct7uy0acodmor8b11,4014371417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4014371409,30,"c6u4h9wy88ymj6whiz93jknv9, bt2pm0it9f1o216uxo3abfpbd, 237j1qagaotsy5j9wo3xqfgtl, 6euu7oztc1jkxcgef0g75cq95, 1u990wv0bo82xqv2s0e8m8ic5, 5rd9832gct7uy0acodmor8b11, aflbpdgjm6huba3f9t848d4o9, 4elohf5kyq6i1jmywfuzhh2ol, 757jd3kvmh2izb7q7k8if209h, 8s5u921me5pvsfyvysjgpu2qy, 7hn66gfq3xw08afo501l9x5as, 1jdd1cmzaqalgkkl9vj4dcy51, 3xbgtth9h7ywlkpdzy8rwkbth, 9bicv1fmrgltfrr726qrgio0k, bxdqxy4grh0ct3d8emys8qxw4, 822pzsxxhxdofvitaabixgzu2, a0rtzwzmnn4wj58rdrj95rvft, akz04kph7qmvbpk3auntlfowl, 16yp4b9n9a7dq2bld6qyt3oyc",4014371413,59,"99, 11, 3, 5, 4, 21, 7, 10, 95, 70, 22, 2, 9, 13, 17, 31, 40, 91, 97",4014371411,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4014371415,130,17,4014371421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324251,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-02-05T11:16:41.509Z,2023-02-05T11:16:41Z,4014379307,197,16430,4014379309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014379295,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 1o7se1aziz6fpes5hey7yijft, 2rio84cmao72sc7lnsodwzzhm, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, b0wb7gf04synxlkq7o8gvzkoa, dkve6gf309h5tglwawqx8mlzp, csvqjyuk06gzvjm408513nydx, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, a2s2c6anax9wnlsw1s6vunl5h, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, 8vhjmcgjbzpzd4vv3zb945p1w, 2xmc0gsdslrnsu6ua40kbh32t, 72m5u1rlgh6e229zpfvp7f5jp, cyz9jisw86vjjf85xxgbae0yy, 8xitc97j4scfajm8ucq7e5l91",4014379301,130,8,4014379299,59,"16, 26, 12, 4, 6, 3, 27, 19, 36, 18, 17, 9, 10, 14, 15, 21, 31, 77, 34, 30",4014379303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014379297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4014379305,194,3djmsd2atvq16ysmocq7twsfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342843,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-02-05T12:00:07.324Z,2023-02-05T18:39:45Z,4014481351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342835,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-02-05T12:00:07.324Z,2023-02-05T12:00:07Z,4014481327,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342859,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,50,49.5,2023-02-05T12:00:07.341Z,2023-02-05T18:50:35Z,4014481421,140,41.2,4014481423,141,48.7,4014481425,212,9.3,4016136355,178,,4014481427,213,3.2,4014481429,279,S,4014481419,56,Back,,,,csvqjyuk06gzvjm408513nydx,T. Minamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342879,4,1,1,0,1,4t4hod56fsj7utpjdor8so5q6,1,41.1,50.5,2023-02-05T12:00:09.219Z,2023-02-05T21:26:41Z,4014481539,213,3.9,4014481537,212,19.5,4014481535,141,30.0,4014481533,140,28.1,4016136715,178,,4014481531,56,Back,,,,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342895,5,1,1,0,4,4t4hod56fsj7utpjdor8so5q6,0,32.3,26.8,2023-02-05T12:00:11.406Z,2023-02-05T21:26:41Z,4014481647,213,6.2,4014481649,1,,4014481637,155,,4014481639,56,Right,4014481641,140,71.9,4014481643,141,20.4,4016136867,178,,4014481645,212,41.8,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342923,3,1,1,0,6,17o35s8assv3kamxowzz77k4r,0,29,78.5,2023-02-05T12:00:13.759Z,2023-02-05T21:26:40Z,4014481805,141,100.0,4014481803,140,39.4,4014481801,56,Back,4014481799,3,,4016137301,388,,4014481809,213,0.9,4014481807,212,18.6,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342925,4,5,1,0,9,17o35s8assv3kamxowzz77k4r,0,35.6,101,2023-02-05T12:00:16.554Z,2023-02-05T18:51:00Z,4014481815,347,,4014481813,56,Back,4014481879,233,6,,,,,,,,,,,,,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504342933,6,5,1,0,9,4t4hod56fsj7utpjdor8so5q6,1,64.4,-1,2023-02-05T12:00:16.554Z,2023-02-05T18:51:00Z,4014481863,233,4,4014481855,347,,4014481853,56,Right,,,,,,,,,,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
