id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/10/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId
2522678797,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-03-19T18:56:37.504Z,2023-03-19T20:00:15Z,4111317637,130,8,4111503395,197,662,4111317635,59,"94, 32, 25, 17, 43, 5, 39, 21, 29, 15, 70, 3, 4, 8, 9, 10, 11, 19, 24, 96",4111317631,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, fvd7y3f6948713acbas7w3u2, 8zo4abj7d3ut3cry9tcsoglw, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8qmm84tue6kuz8e5nhhdhmz8p, ccu7hw3wrcspl1a18g2ldnsh5, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 2lvit204llltk13iglsa2tjah, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, 18b0ti0bsq68842kgbczsbgmh, 7ty1wdxxnusgkl34k5raipbl5, 36h87ecgmpjdltk1epsbvmiju, 4scfsr0qvjnh8jxrdnld9b0lx",4111317633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111317641,194,976riwm0dz0e74d4l28y3ttcl,4111317643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111317639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522682999,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-03-19T19:05:44.391Z,2023-03-19T19:42:28Z,4111340651,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4111340653,59,"16, 7, 30, 21, 4, 99, 27, 6, 70, 17, 18, 3, 8, 9, 10, 29, 33, 36, 47",4111340661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111340655,130,13,4111340649,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 8s259ktv9j6ei0f8rh2msqfh1, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 5fbnkkf1saix4lonwx1i9k7o5, asvqr3i5wcjiajxipt1qvldyh, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, 4euxcqawlks4c56pqj8xvwbf9, 9jw0h4escxh3eqz8oh860r3yt, 41jb0ts5688xz8ell62rybm22, cnriqwh17pqgz7p2gt74uar6c, 26mggguhavwmnq1oak12ket, 2p70qo9oxplufwnhlrl2b8v3e, adkchwdsbosevyzmfoy60t82c, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m",4111340657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4111451997,197,17238,4111340659,194,8s259ktv9j6ei0f8rh2msqfh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522703917,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-03-19T19:45:19.266Z,2023-03-19T19:45:19Z,4111461799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522703931,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-03-19T19:45:19.266Z,2023-03-19T23:34:36Z,4111461881,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522703933,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50,50,2023-03-19T19:45:19.270Z,2023-03-19T23:43:54Z,4111461889,212,16.8,4111461891,213,3.4,4111461893,279,S,4111930619,178,,4111461887,141,43.3,4111461885,140,34.6,4111461883,56,Back,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522703951,4,1,1,0,2,27xvwccz8kpmqsefjv2b2sc0o,1,37.9,37.7,2023-03-19T19:45:21.587Z,2023-03-20T03:03:59Z,4111462003,140,40.5,4111930801,178,,4111462001,56,Back,4111462005,141,18.5,4111462007,212,13.3,4111462009,213,4.9,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522703979,3,45,1,0,4,3c3jcs7vc1t6vz5lev162jyv7,0,53,84.9,2023-03-19T19:45:23.967Z,2023-03-20T03:03:59Z,4111462209,285,,4111462207,56,Left,4111462323,233,5,,,,,,,,,,,,,,,,ccu7hw3wrcspl1a18g2ldnsh5,A. Flips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522703961,5,3,1,0,4,27xvwccz8kpmqsefjv2b2sc0o,1,47,15.1,2023-03-19T19:45:23.967Z,2023-03-20T03:03:58Z,4111930887,178,,4111831195,465,,4111462093,56,Back,4111462235,233,3,4111462095,286,,,,,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522732007,391,3,1,0,5,27xvwccz8kpmqsefjv2b2sc0o,1,52.5,19.1,2023-03-19T19:45:25.015Z,2023-03-20T02:32:43Z,4111831297,465,,4111931265,178,,4111612109,233,450,4111612075,56,Right,4111612077,286,,,,,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522731995,450,45,1,0,5,3c3jcs7vc1t6vz5lev162jyv7,0,47.5,80.9,2023-03-19T19:45:25.015Z,2023-03-20T02:32:42Z,4111612117,233,391,4111611993,285,,4111611991,56,Back,,,,,,,,,,,,,,,,fvd7y3f6948713acbas7w3u2,D. Lopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
