id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2448504247,3,1,1,0,15,4t4hod56fsj7utpjdor8so5q6,0,43.4,34.4,2022-08-20T15:00:31.231Z,2022-08-21T00:14:04Z,3720935569,388,,3719045973,140,53.2,3719045977,212,15.5,3719045979,213,0.8,3719045971,56,Center,3719045975,141,51.4,3719045969,3,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504281,8,1,1,0,17,3xedluek08t2ka7oypwuullcn,1,48,49.4,2022-08-20T15:00:33.164Z,2022-08-21T00:14:03Z,3720935657,178,,3719046147,212,19.2,3719046143,140,44.9,3719046145,141,21.5,3719046141,56,Back,3719046149,213,4.5,,,,,,,7izciy79i6d6h7usfr8mcmh91,F. Sotoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504301,9,1,1,0,20,3xedluek08t2ka7oypwuullcn,0,49.9,22.7,2022-08-20T15:00:35.793Z,2022-08-21T00:14:03Z,3719046239,141,72.0,3719046241,212,40.8,3720935831,178,,3719046245,1,,3719046235,56,Center,3719046233,155,,3719046243,213,1.0,3719046237,140,72.0,bt4yy465bb33u7phdhnlr6pcl,P. Frankowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448857937,769,67,1,0,22,4t4hod56fsj7utpjdor8so5q6,1,28.2,40.8,2022-08-20T15:00:37.628Z,2022-08-21T00:14:02Z,3720979577,233,849,,,,,,,,,,,,,,,,,,,,,,adb8skc3qbvgunhzd9651lij8,Vanderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448857929,849,67,1,0,22,3xedluek08t2ka7oypwuullcn,0,71.8,59.2,2022-08-20T15:00:37.629Z,2022-08-21T00:14:02Z,3720979595,233,769,,,,,,,,,,,,,,,,,,,,,,1ad3itgiwcnyw3o9wplhah2hh,D. Machado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504303,4,8,1,0,22,4t4hod56fsj7utpjdor8so5q6,1,27.5,40.9,2022-08-20T15:00:37.638Z,2022-08-21T00:14:02Z,3719046247,56,Back,3720935925,178,,3720031255,384,,,,,,,,,,,,,,,,,adb8skc3qbvgunhzd9651lij8,Vanderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504321,5,49,1,0,26,4t4hod56fsj7utpjdor8so5q6,1,48.7,20,2022-08-20T15:00:41.636Z,2022-08-21T00:14:01Z,,,,,,,,,,,,,,,,,,,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504353,6,1,1,0,27,4t4hod56fsj7utpjdor8so5q6,1,45.3,15.7,2022-08-20T15:00:42.956Z,2022-08-21T00:14:00Z,3719046479,212,7.0,3719046481,213,3.4,3719046475,140,38.9,3720937115,178,,3719046473,56,Back,3719046477,141,12.8,3720032045,189,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504361,7,1,1,0,27,4t4hod56fsj7utpjdor8so5q6,1,42.6,20.7,2022-08-20T15:00:43.557Z,2022-08-21T00:14:00Z,3719046529,141,7.3,3719046533,213,4.3,3719046525,56,Back,3719046531,212,10.1,3720937243,178,,3719046527,140,38.5,,,,,,,21x9ir9n7i6mt2qfuk4e891pl,Jean Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504371,8,3,1,0,29,4t4hod56fsj7utpjdor8so5q6,1,43.5,9.5,2022-08-20T15:00:44.734Z,2022-08-21T00:13:59Z,3719046575,286,,3719046595,233,10,3720937445,178,,3720032271,464,,3719046573,56,Back,,,,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504357,10,45,1,0,29,3xedluek08t2ka7oypwuullcn,0,56.5,90.5,2022-08-20T15:00:44.734Z,2022-08-21T00:13:59Z,3719046517,56,Left,3719046607,233,8,3719046519,285,,,,,,,,,,,,,,,,,3h62hv3ksrnl7n7di2b080y51,S. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
