id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,qualifier/20/value
2466504497,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-10-02T14:11:11.108Z,2022-10-02T14:11:11Z,3814753181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814753167,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 5g5wwp5luxo1rz1kp6chvz0x6, f5j3vhj805xtkos7l538u0d7t, 2rio84cmao72sc7lnsodwzzhm, a2s2c6anax9wnlsw1s6vunl5h, dkve6gf309h5tglwawqx8mlzp, 28x7i681wkjueanvkevew3bh1, 270djbc9lxhoupmd1djrii191, f4pqxviuwzd6a803jfx9bh4o9, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 2axi9gr1lhuewlt06emrk44q1, 8xitc97j4scfajm8ucq7e5l91, 2xmc0gsdslrnsu6ua40kbh32t",3814753177,194,a2s2c6anax9wnlsw1s6vunl5h,3814753179,197,649,3814753171,59,"16, 2, 12, 19, 6, 5, 27, 4, 10, 36, 17, 3, 9, 14, 15, 18, 21, 23, 30, 31",3814753169,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814753175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814753173,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466507399,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2022-10-02T14:13:44.755Z,2022-10-02T15:10:30Z,3814768755,30,"f0e5posm9z0oma2t3u9k1qy95, a0o34jherpgziz52ri0zxms45, 4a7x84pflda40oka94y36gwk, 53yrdwlr1pw23bxyxfg85npat, crjrpkb5p430hludk5acmhjv9, 3g217lvxyrxlzsyp0rmlvglp1, 7k0r5crdh9blj3edt31zwy0dm, oc04nz0mrmzeqpcbql3rbhlh, adswn2xpomwsi7zh022787mne, 8zc2u2dfrokzg3domqmt30s0l, 6tedvat245ajkir9c4035i0np, 9yfnfwqog4y572aoe2iztnbv9, 9dzyrffyz77zqmptudhdrh8lx, ctygavkrblcxra880nwej0bf9, 1otm8rmlwrddxqeqelo6vhtec, bxb5trtzllty8eqteifyw4zit, 2h7a11gp7bb34j8oa4tv3aaxh, d3y4csfpvhzcowlusw9xe32eh, 32ehg1wm714059vyzgltxy28l",3814768763,59,"1, 12, 29, 4, 3, 21, 7, 17, 14, 5, 27, 10, 11, 16, 20, 24, 30, 31, 55",3814768771,197,654,3814768765,130,11,3814768769,194,f0e5posm9z0oma2t3u9k1qy95,3814768759,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3814768773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814768767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558571,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-10-02T15:05:40.052Z,2022-10-02T20:33:19Z,3815045533,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558585,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2022-10-02T15:05:40.052Z,2022-10-02T15:05:43Z,3815045617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558649,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,50,50,2022-10-02T15:05:40.268Z,2022-10-02T20:46:51Z,3816279649,178,,3815045969,141,39.2,3815045971,212,18.9,3815045965,56,Back,3815045977,213,3.5,3815045981,279,S,3815045967,140,33.4,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558687,4,1,1,0,2,4t4hod56fsj7utpjdor8so5q6,1,34.7,42.4,2022-10-02T15:05:42.219Z,2022-10-02T23:57:13Z,3815046191,56,Back,3815046203,213,2.0,3815046193,140,29.9,3815046201,212,13.4,3816279763,178,,3815046197,141,60.6,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558765,5,1,1,0,5,4t4hod56fsj7utpjdor8so5q6,1,35.6,52,2022-10-02T15:05:45.730Z,2022-10-02T23:57:12Z,3815046529,56,Center,3815046537,213,5.9,3816279965,178,,3815046527,155,,3815046531,140,73.8,3815046539,1,,3815046535,212,44.0,3815046533,141,25.4,5g5wwp5luxo1rz1kp6chvz0x6,B. Badiashile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558775,6,1,1,0,7,4t4hod56fsj7utpjdor8so5q6,0,75.3,28.8,2022-10-02T15:05:47.949Z,2022-10-02T23:57:11Z,3815046587,3,,3815046597,213,0.7,3815046591,140,85.3,3816280333,388,,3815046589,56,Center,3815046595,212,13.5,3815046593,141,41.2,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558919,3,12,1,0,8,750ustvk4jfqmo8q4gnrcxy7z,1,16.7,56.5,2022-10-02T15:05:48.890Z,2022-10-02T23:57:11Z,3815047387,56,Back,3815047395,213,1.1,3815047389,140,22.4,3816280443,178,,3815047393,212,13.4,3815047391,141,74.2,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466558853,7,1,1,0,10,4t4hod56fsj7utpjdor8so5q6,1,79.3,32.7,2022-10-02T15:05:50.350Z,2022-10-02T23:57:11Z,3815046997,141,36.9,3816280597,388,,3815046999,212,4.0,3815046991,3,,3815047001,213,0.8,3815046995,140,81.9,3815046993,56,Center,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
