id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2493907447,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-12-29T19:16:13.374Z,2022-12-29T19:56:34Z,3959656399,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, ekm47qd8w1x0456lm1tmf5re1, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, 26mggguhavwmnq1oak12ket, 9jw0h4escxh3eqz8oh860r3yt, 8vlfwoquq3v68mb9ax1pk5fkk, 5rh9yiue1qnabbwoyweyus5t6, 5fbnkkf1saix4lonwx1i9k7o5, 2p70qo9oxplufwnhlrl2b8v3e, dqsslq1iz1azubowq3anwws4q, 6723wh7azndl58fzn12ue8o6i, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m",3959656411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959656407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959656405,130,17,3959656403,59,"16, 7, 23, 5, 4, 99, 21, 22, 70, 17, 10, 3, 12, 18, 27, 29, 30, 32, 36, 47",3959656401,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3959733049,197,15909,3959656409,194,26mggguhavwmnq1oak12ket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493908469,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-12-29T19:23:06.998Z,2022-12-29T19:59:19Z,3959661751,30,"3yk6n0wr6nc0dlm51gwvwi4t1, 4r5mejvmxk423kx5j3w4u3n6c, ccc0ytvrgtomxfunopwy2kij9, aa0888u38mjc1euhofseazb2t, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, eswivc2a0iwwdly6ft8eh0ogl, 2rsqkarlkh6z8vrb0clfbz6xh, 1lnktjxx0mux4beo28cl54j1m, cphxr8p8dhc1qeqfgdt7is4ph, 684cguhktvth28ql6qgvvmcyc, ctakvixmkms76vdvq84xl5v6c, anr9qh585ctgk2d17zperhgix, ulqazti394q5bbzc4pblidat, en42iersp8me42z7r4lzhwiga, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, 2lyhi7j3id7emsh54ehdva3ca, b3xdln1shzyzwkhzdmbb2fqax, c44zop1hvob3cmgu2grj8m0yy",3959745863,197,17172,3959661761,194,eswivc2a0iwwdly6ft8eh0ogl,3959661759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959661763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959661757,130,4,3959661753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3959661755,59,"30, 32, 12, 17, 4, 2, 10, 8, 27, 21, 28, 33, 6, 7, 11, 14, 16, 18, 19, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926539,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-12-29T20:02:36Z,2022-12-30T01:06:18Z,3959760607,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926547,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-12-29T20:02:36Z,2022-12-29T20:02:40Z,3959760651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926589,3,1,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,49.9,50,2022-12-29T20:02:36.027Z,2022-12-30T01:18:24Z,3959760895,213,3.5,3959760893,212,21.4,3959760889,140,30.6,3959760897,279,S,3959760887,56,Back,3960280063,178,,3959760891,141,40.0,,,,eswivc2a0iwwdly6ft8eh0ogl,B. Dejaegere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926613,4,1,1,0,3,4aghw9tyi8ba3ju1ne83gmf9w,0,32.2,48,2022-12-29T20:02:39.381Z,2022-12-30T04:02:22Z,3959761035,212,52.0,3959761033,141,100.0,3959761037,213,0.8,3959761029,56,Left,3959761039,1,,3959761023,155,,3959761027,196,,3960280071,178,,4c4ghf9zlkof83n5mnmva61d6,A. Rouault,3959761031,140,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926721,3,5,1,0,6,27xvwccz8kpmqsefjv2b2sc0o,1,30.8,-1.4,2022-12-29T20:02:42.718Z,2022-12-30T01:18:33Z,3959761605,347,,3959761637,233,5,3959761601,56,Back,,,,,,,,,,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926619,5,5,1,0,6,4aghw9tyi8ba3ju1ne83gmf9w,0,69.2,101.4,2022-12-29T20:02:42.718Z,2022-12-30T01:18:33Z,3959761701,233,3,3959761059,347,,3959761057,56,Left,,,,,,,,,,,,,,,,4c4ghf9zlkof83n5mnmva61d6,A. Rouault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493927073,8,1,1,0,12,27xvwccz8kpmqsefjv2b2sc0o,1,32.3,0,2022-12-29T20:02:48.268Z,2022-12-30T04:02:22Z,3959764961,107,,3959763523,141,7.9,3959763525,212,6.4,3959763529,213,1.4,3959763513,56,Back,3959763517,140,33.3,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493926785,4,1,1,0,12,27xvwccz8kpmqsefjv2b2sc0o,1,32.8,10.1,2022-12-29T20:02:48.986Z,2022-12-30T04:02:21Z,3959761929,56,Right,3959761935,212,25.2,3959761933,141,3.2,3959761937,213,6.1,3959761931,140,56.4,3959761927,155,,3960280163,178,,,,,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
