id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2501900087,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-01-29T11:16:11.034Z,2023-01-29T11:56:09Z,4001660967,59,"1, 23, 26, 28, 25, 4, 16, 19, 24, 35, 10, 8, 11, 14, 20, 21, 33, 42, 55, 77",4001660973,194,azuc3tma44xyrbgf5y279o1xx,4001660963,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, 7sep6mx2s67mh5fr3raxu7aei, e7e68wlpiqqohpg71oh4vrbl6, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 5o0h8eeydl8t92qp3ywekqh1x, 6j0ogojh2b7poyceg7i3k09yi, 7fcq014jmdb0uqldcts6tglat, c0dvcjq2rfqs3jj5g5v2m5zsa, ct32113pfx5q9avf2c0x208ru, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 99f4n1ws494k96r9ewdcrecbt, 2kgvn1lt5yjsixg13fj0cidt6, 9yjtdz1toq241g6cgdty94lck, 2e0ipswbkv4vf7lav6ee1j3oq, 7c0y2e3949kvohxadzfbmct7t, 9tqbuv5f466mzo4fx4ll0drvu",4001660965,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001769417,197,15912,4001660971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001660975,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001660969,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501903709,1,34,16,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-01-29T11:25:44.099Z,2023-01-29T12:04:30Z,4001680745,197,15943,4001680739,130,8,4001680741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4001680747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001680743,194,e211nih87ou9t8crzjbbzhexh,4001680737,59,"30, 18, 31, 20, 6, 3, 22, 15, 27, 9, 10, 4, 8, 16, 23, 25, 26, 33, 39",4001680733,30,"8h5jl1u3p8sr2pwdmyxl14416, 7c0b5fz3m1uw0fwpm051e6rfu, 5ixupu8etas04im7097qhb1ed, 7nivkfkngr374fx5totgektm1, e211nih87ou9t8crzjbbzhexh, 8jjep8bx1jpjuf8firxccc549, e5xxqwz0sdlwkkmp8bgs1k6w9, 6q793p9lurdevqmetgoke54wk, efcz85z2tvggsucnvivkmsxyh, b8dd5q3n5irlkcv0ekzqhzc2x, 3pz4ro9b1u6u45gs7d6apmo5x, avk0vktquq3oum9w6dyodlz6y, 17q3e6g2gvlnpwnzf9d6a9eqd, c1fcxha3l058brl1925muv2l1, 4st4hurqbtyzw1tbkzuuk78fe, 2t05pfvho7i9w9w01zcz3gz4l, 1zx0huwj0czivtoq6kvfb5roq, 2wg5dkh9of0wu0sop3hagzt3o, exjiksa7gfv5xjay6690sz9ck",4001680735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501922919,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-01-29T12:00:54Z,2023-01-29T19:33:29Z,4001782505,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501922911,2,32,1,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-01-29T12:00:54Z,2023-01-29T12:00:54Z,4001782475,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501923851,20,1,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,50.1,50.1,2023-01-29T12:00:54.007Z,2023-01-29T19:42:26Z,4001787111,212,5.3,4003474345,178,,4001787297,279,S,4001787109,141,50.9,4001787113,213,3.0,4001787105,56,Back,4001787107,140,45.1,,,,7fcq014jmdb0uqldcts6tglat,G. Laborde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501922937,3,43,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-01-29T12:00:54.884Z,2023-01-29T12:00:57Z,4001782627,144,1,4001782591,140,7.4,4001782595,212,0,4001782593,141,84.3,4001782589,56,Back,4001782597,213,0,,,,,,,7fcq014jmdb0uqldcts6tglat,G. Laborde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501922973,4,1,1,0,1,bx0cdmzr2gwr70ez72dorx82p,1,44.4,48.7,2023-01-29T12:00:55.676Z,2023-01-30T01:37:31Z,4001782773,213,4.4,4001782767,140,39.1,4001782769,141,20.9,4003474407,178,,4001782765,56,Back,4001782771,212,19.7,,,,,,,5o0h8eeydl8t92qp3ywekqh1x,A. Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501923011,5,1,1,0,4,bx0cdmzr2gwr70ez72dorx82p,1,36,20.9,2023-01-29T12:00:58.466Z,2023-01-30T01:37:30Z,4001782911,56,Back,4001782915,141,51.2,4001782913,140,12.4,4001782917,212,32.2,4003474429,178,,4001782921,1,,4001782919,213,2.4,,,,8f3bhiy6r5eei1n25exhbwr8p,J. Lotomba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501923029,6,1,1,0,8,bx0cdmzr2gwr70ez72dorx82p,1,10,50.6,2023-01-29T12:01:02.688Z,2023-01-30T01:37:30Z,4003474509,178,,4001783005,140,17.4,4001783003,56,Back,4001783013,212,17.3,4001783009,141,73.4,4001783017,213,1.1,,,,,,,8govqd0xf8ijst50tgypaep5h,K. Schmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501923051,7,1,1,0,11,bx0cdmzr2gwr70ez72dorx82p,1,18.1,74.6,2023-01-29T12:01:05.087Z,2023-01-30T01:37:29Z,4003474593,178,,4001783129,140,7.3,4001783133,212,20.0,4001783131,141,50.3,4001783135,213,4.1,4001783127,56,Back,,,,,,,azuc3tma44xyrbgf5y279o1xx,Dante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
