id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2479456467,3,7,1,0,17,750ustvk4jfqmo8q4gnrcxy7z,0,21.9,35.2,2022-10-30T14:00:28.766Z,2022-10-31T05:51:56Z,3885930443,178,,3885272805,385,,3883572333,285,,3883572537,233,8,3883572331,56,Back,,,,,,,,,,53yrdwlr1pw23bxyxfg85npat,N. Pallois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456555,9,61,1,0,17,17o35s8assv3kamxowzz77k4r,1,77.8,67.8,2022-10-30T14:00:28.903Z,2022-10-31T07:13:03Z,3885930497,21,,3885930499,178,,3883572789,56,Center,,,,,,,,,,,,,,,,aflbpdgjm6huba3f9t848d4o9,Y. Magnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456553,4,12,1,0,17,750ustvk4jfqmo8q4gnrcxy7z,1,16.9,41.4,2022-10-30T14:00:29.719Z,2022-10-31T05:43:39Z,3883572777,141,26.2,3885930565,178,,3883572781,213,4.6,3883572773,56,Back,3883572775,140,15.6,3883572779,212,10.4,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456565,5,49,1,0,21,750ustvk4jfqmo8q4gnrcxy7z,1,15.1,30.3,2022-10-30T14:00:33.118Z,2022-10-31T07:13:02Z,,,,,,,,,,,,,,,,,,,,,,,,,53yrdwlr1pw23bxyxfg85npat,N. Pallois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456627,6,1,1,0,21,750ustvk4jfqmo8q4gnrcxy7z,0,15,30.2,2022-10-30T14:00:33.166Z,2022-10-31T07:13:02Z,3883573101,157,,3883573113,1,,3883573109,212,29.2,3885931013,178,,3883573103,56,Back,3883573111,213,5.5,3883573105,140,33.9,3883573107,141,0.0,53yrdwlr1pw23bxyxfg85npat,N. Pallois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456631,7,5,1,0,25,750ustvk4jfqmo8q4gnrcxy7z,0,36.6,-1.6,2022-10-30T14:00:36.827Z,2022-10-31T03:21:25Z,3883573489,233,10,3883573137,56,Back,3883573139,347,,,,,,,,,,,,,,,,,53yrdwlr1pw23bxyxfg85npat,N. Pallois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456675,10,5,1,0,25,17o35s8assv3kamxowzz77k4r,1,63.4,101.6,2022-10-30T14:00:36.827Z,2022-10-31T03:21:24Z,3883573471,233,7,3883573399,347,,3883573395,56,Left,,,,,,,,,,,,,,,,aflbpdgjm6huba3f9t848d4o9,Y. Magnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456847,11,1,1,0,27,17o35s8assv3kamxowzz77k4r,1,63.3,100,2022-10-30T14:00:39.674Z,2022-10-31T07:13:01Z,3883574201,107,,3883574209,212,9.3,3883574203,56,Left,3883574211,213,4.8,3883574205,140,63.8,3883574207,141,88.3,,,,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479522981,431,50,1,0,29,17o35s8assv3kamxowzz77k4r,1,70,86.4,2022-10-30T14:00:41.197Z,2022-10-31T07:13:01Z,3883927175,233,8,3883927049,56,Left,3883927051,286,,,,,,,,,,,,,,,,,3xbgtth9h7ywlkpdzy8rwkbth,K. Andrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456749,8,7,1,0,29,750ustvk4jfqmo8q4gnrcxy7z,0,30,13.6,2022-10-30T14:00:41.618Z,2022-10-31T07:13:01Z,3883573797,56,Back,3883927139,233,431,3885273831,385,,3885931213,178,,3883573799,285,,,,,,,,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
