id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,keyPass,qualifier/14/value,qualifier/18/value,qualifier/20/value,qualifier/16/value
2515861283,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-03-05T13:06:25.879Z,2023-03-05T13:58:50Z,4075191935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075191939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075191937,194,6ynchgp6o4tajwvnfdnoo11at,4075458821,197,15935,4075191933,130,4,4075191931,59,"1, 94, 31, 6, 22, 29, 2, 10, 7, 19, 11, 4, 5, 15, 23, 24, 25, 28, 30, 92",4075191929,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075191927,30,"cgqunmh8aw465fna15rdve8d1, 9tdb905kq5becch102boicdex, cwtefikj4d22g8dr4c200pwtm, 6ynchgp6o4tajwvnfdnoo11at, 8927ird9ax5sj69nadeqaktlh, 99yx7t2j59cyia4bkpi59q1as, boa0e436nc3u53cumlao9ulex, 310zaj8t3k4c8aj54ml0n0kx5, 8kcm8g1fpcqqslzmut1fdhotl, 36ylt0kjn7t0vajmelu4mbazu, 2bfbi3t4aufb47wwt56ilzoyc, 4gsebdl04os3v9mjhhkamnn1m, cnei0h8qtnmr9n9ojtm029uj9, dvtd4xsoihe7srn69irnng5w5, bqq4tqw6tp68c1fya04onf6c5, 4lg41m643jf18dgax298bufpw, 7rvgrqf0ktsepvwpj0osy5pzp, e1ydpg4lqw2pnidfbsciv9pm1, 821ma6ofy7t9wtdvu1w6uni09, 9vwdme2e657vrezfixnimrv85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515873751,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-03-05T13:18:09.486Z,2023-03-05T13:58:46Z,4075254543,130,8,4075254541,59,"40, 77, 3, 13, 6, 4, 7, 12, 99, 11, 27, 5, 9, 10, 21, 22, 26, 32, 75, 90",4075254539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075254537,30,"6wfwy94p5bm0zv3aku0urfq39, 859tcp8023r5cki7uju30l9t5, ccc0ytvrgtomxfunopwy2kij9, 7za8h1pgec0y2s1ihmkkfvpm2, 2snhhbt5230mm0rxigcqitqdx, daevawz3r1bzlhcbr7mj12h9l, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, d8m8y59eum57eu7kiat38rkk5, 8yirlj1hpoqnuczpywgzlblxx, 5w9g9gfeucuccwxd09o62f84p, 6l1peb3xqu90lwythl9sti4lx, 1yj1kt2cx24nn4zt5h1ma1olx, 71bl8lyjtmzn8ebwulcjnmu39, 16idj1wxzcbvuaov5duvpqhyi, cr1n1i96xlepbvk90nl87o4yc, 7su502qxh7067jez2o33gn1be, d9kipffuuaweywowd5724bn6c, f2wjw84p0ztxt636u2ibnoxxx, a065rtv2lfh0rso33dfuah4ut",4075458543,197,651,4075254547,194,8yirlj1hpoqnuczpywgzlblxx,4075254549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075254545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914239,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-03-05T14:00:46.764Z,2023-03-05T23:27:36Z,4075465879,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914231,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-03-05T14:00:46.764Z,2023-03-05T14:00:46Z,4075465829,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914293,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,50.3,50.3,2023-03-05T14:00:47.013Z,2023-03-06T00:48:17Z,4077582535,178,,4075466135,213,4.8,4075466137,279,S,4075466133,212,1.2,4075466127,56,Center,4075466131,141,48.5,4075466129,140,50.4,,,,d8m8y59eum57eu7kiat38rkk5,W. Khazri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914391,4,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,50.5,49.4,2023-03-05T14:00:47.477Z,2023-03-06T06:50:49Z,4075466621,56,Back,4075466623,140,38.0,4075466625,141,50.1,4075466627,212,13.1,4077582661,178,,4075466629,213,3.1,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914475,5,1,1,0,2,2cjpmotqo8phcqfpgo9xf4gel,1,40.6,51.1,2023-03-05T14:00:49.223Z,2023-03-06T06:50:48Z,4075467029,140,41.0,4075467031,141,87.6,4075467027,56,Back,4075467033,212,24.8,4075467035,213,1.6,4077582919,178,,,,,,,,7teasnynvwarky180hl6zvkk5,J. Ferri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515922091,63,1,1,0,4,2cjpmotqo8phcqfpgo9xf4gel,1,41.5,86.2,2023-03-05T14:00:50.973Z,2023-03-06T06:50:48Z,4077583301,178,,4075505977,212,11.7,4075505979,213,5.0,4075505975,141,69.9,4075505973,140,45.0,4075505971,56,Back,,,,,,,ccc0ytvrgtomxfunopwy2kij9,I. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515926327,90,1,1,0,6,2cjpmotqo8phcqfpgo9xf4gel,1,48.8,78.8,2023-03-05T14:00:53.335Z,2023-03-06T06:50:47Z,4075530769,141,75.2,4075530765,140,70.2,4075530783,213,6.2,4077583477,178,,4075530763,56,Center,4075530777,212,22.6,,,,,,,7za8h1pgec0y2s1ihmkkfvpm2,J. Chotard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914523,6,1,1,0,7,2cjpmotqo8phcqfpgo9xf4gel,1,63.8,73.6,2023-03-05T14:00:54.703Z,2023-03-06T06:50:46Z,4075467249,212,23.4,4075467247,141,88.6,4075467245,140,83.9,4075467241,155,,4075467251,213,0.5,4075467243,56,Left,4077584099,178,,,,,d8m8y59eum57eu7kiat38rkk5,W. Khazri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
