id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist
2493705547,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2022-12-28T15:09:25.037Z,2022-12-28T16:05:12Z,3958581699,197,4727,3958569517,30,"2t05pfvho7i9w9w01zcz3gz4l, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 9br3ebcuzl5b755kwuxgey3md, 6ypo3vp0zupq6s1jbk8rbmq51, 8tesu8352jvqfvclei8hykjbp, aujgya83jg4eylvm7hjjbbasq, 7jj9gwpuk49bsm2ru06qb44wl, 9qk1hoxri8dee6yat0cateqxh, doc6xdg2vumiyoamostngr36d, 6gdoxudvl1rgcn7d19e89p9ed, ea2tv9xaerk3oy6dr45ff3kd1, 3o7ktan6n28fn5fj7gel6qead, co59rv08x22hk5itwibbwq191, 7pv3n0vj8243p1di16regotsl, 81yqeo02okqakoiura0wnxv1m, 6l4joooognq9a2zi3b521dhey, 38cux1onwt3bxppreaklir7it, 2fvrc1kbl7k48il02ekwiqove, baogzi00mwdclwbvkd618evv9",3958569529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958569523,130,6,3958569525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958569519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958569521,59,"23, 13, 14, 22, 4, 27, 17, 12, 11, 29, 10, 3, 6, 7, 9, 26, 28, 32, 40, 97",3958569527,194,7jj9gwpuk49bsm2ru06qb44wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493708779,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-12-28T15:20:56.634Z,2022-12-28T17:05:04Z,3958587199,197,650,3958587187,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, 270djbc9lxhoupmd1djrii191, 2axi9gr1lhuewlt06emrk44q1, 72m5u1rlgh6e229zpfvp7f5jp, 2rio84cmao72sc7lnsodwzzhm, a2s2c6anax9wnlsw1s6vunl5h, dkve6gf309h5tglwawqx8mlzp, csvqjyuk06gzvjm408513nydx, adb8skc3qbvgunhzd9651lij8, 5g5wwp5luxo1rz1kp6chvz0x6, 3djmsd2atvq16ysmocq7twsfd, f4pqxviuwzd6a803jfx9bh4o9, 28x7i681wkjueanvkevew3bh1, b0wb7gf04synxlkq7o8gvzkoa, f5j3vhj805xtkos7l538u0d7t, 8xitc97j4scfajm8ucq7e5l91, rn17zrbsh1g9r1tj4xyvhgr8",3958587193,130,2,3958587195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958587189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958587197,194,a2s2c6anax9wnlsw1s6vunl5h,3958587191,59,"16, 26, 14, 15, 3, 23, 77, 4, 10, 36, 18, 2, 5, 6, 9, 17, 19, 27, 30, 44",3958587201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717439,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-12-28T16:00:08.804Z,2022-12-28T16:00:09Z,3958635267,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717443,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2022-12-28T16:00:08.804Z,2022-12-28T22:38:08Z,3958635281,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717445,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,49.9,50,2022-12-28T16:00:08.809Z,2022-12-28T22:47:01Z,3958635293,140,42.5,3958635299,213,2.9,3958635291,56,Back,3958635297,212,8.0,3959064847,178,,3958635301,279,S,3958635295,141,53.0,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717447,4,1,1,0,1,4t4hod56fsj7utpjdor8so5q6,1,41.6,50.9,2022-12-28T16:00:10.155Z,2022-12-29T06:32:59Z,3958635311,141,72.5,3959064881,178,,3958635315,213,2.0,3958635307,56,Back,3958635313,212,16.2,3958635309,140,35.0,,,,,,,2rio84cmao72sc7lnsodwzzhm,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717451,5,1,1,0,3,4t4hod56fsj7utpjdor8so5q6,0,37.2,72.9,2022-12-28T16:00:12.686Z,2022-12-29T06:32:58Z,3958635333,56,Center,3958635341,213,6.0,3958635339,212,50.3,3958635337,141,50.4,3959064893,178,,3958635343,1,,3958635331,155,,3958635335,140,82.8,2axi9gr1lhuewlt06emrk44q1,M. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717455,3,1,1,0,6,9bxav814mkuhueiyivyive82d,1,15.6,52.4,2022-12-28T16:00:15.406Z,2022-12-29T06:32:57Z,3958635367,213,4.5,3958635361,140,10.7,3958635365,212,24.4,3958635359,56,Back,3958635357,3,,3958635363,141,17.3,3959064907,388,,,,,8tesu8352jvqfvclei8hykjbp,J. Jeanvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717457,4,49,1,0,9,9bxav814mkuhueiyivyive82d,1,9.2,16.2,2022-12-28T16:00:18.616Z,2022-12-29T06:32:57Z,,,,,,,,,,,,,,,,,,,,,,,,,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493717461,5,1,1,0,11,9bxav814mkuhueiyivyive82d,0,11.2,7.7,2022-12-28T16:00:20.213Z,2022-12-29T06:32:56Z,3958635395,1,,3958635383,155,,3958635389,141,0.0,3959064939,178,,3958635391,212,38.2,3958635387,140,47.1,3958635393,213,6.1,3958635385,56,Back,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
