id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2527429967,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-04-02T12:18:42.754Z,2023-04-02T13:05:17Z,4157315809,130,7,4157315807,59,"40, 27, 2, 20, 5, 3, 9, 7, 15, 10, 22, 28, 1, 4, 8, 17, 18, 37, 45, 99",4157315803,30,"7h2icfuwy00ilm14dw5xyl5g5, ef2n7d6rysar49toiz2k3obth, bl4lretp33t0jj3icujkf45p1, dl4e5ojyhccj6w0vgksfzvmxh, 7xd54eb65lg7zldvnyd58bq39, 7mn6lue4zatldcxp0gd7kt8mh, e0hk5aepnpo7cne006zwahfx1, dom1dzrvk7y4sd8puf8iztn11, 5yg9ljo5pf1lo2xk74d0k240l, 32bc16sg6h58ajxigp7nl1ryt, 3imcuejzt9r6zvvv1xbn5jbl6, 2ds26ub6ho0baamsjcmh7mmfo, 1ixibe50te4j2gjhbufm72aui, c4yip4bf8il4gnxnhcb381b3e, 5lfki1zoxd4l96hjbr2rw3d2h, aoe90w0oopw8h5ipktpmme9cl, 7z8bpxyfd31hb5ehkaina1ap6, 7mjc5a2k7wz4flem6upj5u1w4, 36yupk7p1vks4dbguw53xhucp, 3r04y1fejoh9e8qbge3exy3u1",4157545649,197,4735,4157315805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157315811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157315813,194,dl4e5ojyhccj6w0vgksfzvmxh,4157315815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527431485,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-04-02T12:19:55.144Z,2023-04-02T12:59:24Z,4157324009,30,"3yk6n0wr6nc0dlm51gwvwi4t1, e9g52c7vl608rt5wuf9o46l79, 8yak0o9o7z5j5ribga3ui2cb9, 2rsqkarlkh6z8vrb0clfbz6xh, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, anr9qh585ctgk2d17zperhgix, aa0888u38mjc1euhofseazb2t, 1lnktjxx0mux4beo28cl54j1m, ierx7puzqykloqwz9c5gsovd, cphxr8p8dhc1qeqfgdt7is4ph, 24n3hqbko2cyoxk4q84rzqvhl, ulqazti394q5bbzc4pblidat, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, b3xdln1shzyzwkhzdmbb2fqax, c44zop1hvob3cmgu2grj8m0yy, 187ytd6guq9q9ruo3thez7ey2, 684cguhktvth28ql6qgvvmcyc, 4vprka7bsj2a4v2g7kz0b6k2c",4157324015,130,8,4157324011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157324019,194,2rsqkarlkh6z8vrb0clfbz6xh,4157324021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157551341,197,17172,4157324017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157324013,59,"30, 3, 15, 8, 4, 2, 6, 17, 27, 13, 21, 5, 7, 14, 16, 19, 23, 26, 28, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475165,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-04-02T13:00:16.920Z,2023-04-02T13:00:19Z,4157554537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475149,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-04-02T13:00:16.920Z,2023-04-02T15:40:08Z,4157554475,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475207,3,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,49.8,50.1,2023-04-02T13:00:17.020Z,2023-04-02T13:00:21Z,4157554765,141,45.1,4157554761,56,Back,4157554769,213,3.3,4157554763,140,30.3,4157554767,212,20.8,4157554771,279,S,,,,,,,32bc16sg6h58ajxigp7nl1ryt,R. Del Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475239,4,1,1,0,4,3adj8hkws0z1al232bg2h6tk0,1,30,44.9,2023-04-02T13:00:21.077Z,2023-04-02T13:03:34Z,4157554917,213,1.5,4157554913,141,73.8,4157554911,140,30.4,4157554915,212,19.7,4157554909,56,Back,,,,,,,,,,7xd54eb65lg7zldvnyd58bq39,B. Chardonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475297,5,1,1,0,6,3adj8hkws0z1al232bg2h6tk0,1,30.4,77.2,2023-04-02T13:00:23.445Z,2023-04-02T13:03:35Z,4157555217,1,,4157555213,212,43.3,4157555215,213,6.2,4157555203,155,,4157555207,140,71.6,4157555209,141,74.5,4157555205,56,Center,,,,7mn6lue4zatldcxp0gd7kt8mh,L. Brassier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475311,6,44,1,0,9,3adj8hkws0z1al232bg2h6tk0,1,72.7,74.2,2023-04-02T13:00:26.853Z,2023-04-02T13:03:49Z,4157555275,286,,4157555281,233,3,4157555273,56,Center,,,,,,,,,,,,,,,,5yg9ljo5pf1lo2xk74d0k240l,S. Mounié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475305,3,44,1,0,9,4aghw9tyi8ba3ju1ne83gmf9w,0,27.3,25.8,2023-04-02T13:00:26.854Z,2023-04-02T13:00:28Z,4157555255,56,Back,4157555295,233,6,4157555257,285,,,,,,,,,,,,,,,,,4c4ghf9zlkof83n5mnmva61d6,A. Rouault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475319,7,1,1,0,9,3adj8hkws0z1al232bg2h6tk0,0,71.6,74.5,2023-04-02T13:00:26.901Z,2023-04-02T13:03:49Z,4157555345,141,72.1,4157555339,168,,4157555341,56,Center,4157555349,213,6.2,4157555347,212,15.2,4157555343,140,86.0,4157555337,3,,,,,5yg9ljo5pf1lo2xk74d0k240l,S. Mounié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
