id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/15/value,qualifier/14/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId
2479411149,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-10-30T13:09:05.917Z,2022-10-30T14:00:22Z,3883565543,197,15935,3883337113,194,dvtd4xsoihe7srn69irnng5w5,3883337109,130,10,3883337111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883337117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883337103,30,"821ma6ofy7t9wtdvu1w6uni09, 9tdb905kq5becch102boicdex, dvtd4xsoihe7srn69irnng5w5, boa0e436nc3u53cumlao9ulex, akczqgcekziai0uuirql1enrp, 8927ird9ax5sj69nadeqaktlh, 310zaj8t3k4c8aj54ml0n0kx5, 6ynchgp6o4tajwvnfdnoo11at, bqq4tqw6tp68c1fya04onf6c5, 2bfbi3t4aufb47wwt56ilzoyc, 41jb0ts5688xz8ell62rybm22, cgqunmh8aw465fna15rdve8d1, cnei0h8qtnmr9n9ojtm029uj9, 36ylt0kjn7t0vajmelu4mbazu, 7rvgrqf0ktsepvwpj0osy5pzp, qooxolimrpdm50kl9woa6jje, e1ydpg4lqw2pnidfbsciv9pm1, 99yx7t2j59cyia4bkpi59q1as, cwtefikj4d22g8dr4c200pwtm, 9vwdme2e657vrezfixnimrv85",3883337105,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883337107,59,"30, 94, 15, 2, 17, 22, 10, 6, 23, 11, 8, 1, 5, 19, 25, 26, 28, 29, 31, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479415315,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-10-30T13:13:34.117Z,2022-10-30T13:58:58Z,3883359109,30,"d3xdl3p9vd1c0m316oq2pblxx, 8vhjmcgjbzpzd4vv3zb945p1w, 9bqv99e39z86mn7dq3wnyt90p, 2axi9gr1lhuewlt06emrk44q1, 270djbc9lxhoupmd1djrii191, 3djmsd2atvq16ysmocq7twsfd, b0wb7gf04synxlkq7o8gvzkoa, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, dkve6gf309h5tglwawqx8mlzp, a2s2c6anax9wnlsw1s6vunl5h, adb8skc3qbvgunhzd9651lij8, 5g5wwp5luxo1rz1kp6chvz0x6, 21x9ir9n7i6mt2qfuk4e891pl, 1o7se1aziz6fpes5hey7yijft, 28x7i681wkjueanvkevew3bh1, f5j3vhj805xtkos7l538u0d7t, 8xitc97j4scfajm8ucq7e5l91, 2xmc0gsdslrnsu6ua40kbh32t, 72m5u1rlgh6e229zpfvp7f5jp",3883359119,194,a2s2c6anax9wnlsw1s6vunl5h,3883359121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883359113,59,"16, 21, 14, 23, 3, 6, 19, 15, 18, 36, 10, 2, 5, 11, 12, 17, 27, 30, 31, 77",3883566397,197,649,3883359115,130,18,3883359117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883359111,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456233,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-10-30T14:00:15.388Z,2022-10-30T20:22:34Z,3883571077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456245,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-10-30T14:00:15.388Z,2022-10-30T14:00:21Z,3883571123,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456339,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,50,50,2022-10-30T14:00:15.389Z,2022-10-30T20:30:52Z,3883571595,56,Back,3883571597,140,34.6,3883571599,141,64.2,3883571603,213,2.6,3885410885,178,,3883571601,212,18.8,3883571605,279,S,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456343,4,1,1,0,2,4t4hod56fsj7utpjdor8so5q6,1,36.7,59.2,2022-10-30T14:00:17.424Z,2022-10-30T23:50:38Z,3883571633,213,1.2,3883571631,212,14.2,3883571625,56,Back,3883571627,140,41.4,3885410937,178,,3883571629,141,78.8,,,,,,,2axi9gr1lhuewlt06emrk44q1,M. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456387,5,1,1,0,4,4t4hod56fsj7utpjdor8so5q6,0,41.4,81,2022-10-30T14:00:19.976Z,2022-10-30T23:50:38Z,3883571873,56,Center,3883571883,1,,3883571877,141,41.3,3883571875,140,75.1,3883571871,155,,3883571881,213,5.6,3883571879,212,44.5,3885411127,178,,9bqv99e39z86mn7dq3wnyt90p,I. Jakobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456369,3,1,1,0,7,75qj99fhg5c0ztj2tva5u4uii,0,22.6,58.9,2022-10-30T14:00:22.791Z,2022-10-30T23:50:37Z,3883571779,213,0.1,3883571773,140,33.4,3885411287,388,,3883571769,3,,3883571771,56,Back,3883571777,212,11.4,3883571775,141,60.7,,,,boa0e436nc3u53cumlao9ulex,B. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456443,6,1,1,0,8,4t4hod56fsj7utpjdor8so5q6,1,66.8,45.6,2022-10-30T14:00:23.860Z,2022-10-30T23:50:37Z,3883572179,140,73.9,3885411485,388,,3883572183,212,8.8,3883572177,56,Center,3883572175,3,,3883572185,213,0.6,3883572181,141,52.4,,,,28s6z18rcl9v8561yzu7m0voq,E. Matazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456463,7,1,1,0,10,4t4hod56fsj7utpjdor8so5q6,0,78.3,56.6,2022-10-30T14:00:25.415Z,2022-10-30T23:50:37Z,3883572323,213,4.4,3883572319,141,43.0,3883572321,212,9.7,3883572315,56,Center,3883572317,140,75.6,3885412107,388,,3883572313,3,,,,,dkve6gf309h5tglwawqx8mlzp,B. Embolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
