id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2513046653,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-26T19:14:37.701Z,2023-02-26T19:45:36Z,4060424375,197,15881,4060337543,30,"4cetkl0w2uq40ccti5ka6a4t1, cfg0ocm0b2icpagbtnzkrihn9, d3dv3vc71981v5oems59892sq, 1qywnx1icmb4x7dbhhsck0vrp, 9adbv1dl7dp7vze3b9sarerbp, 8z0395s37qe2lqi9qsvyskgk5, cionsifzpx5rhc8es29wv6i95, f3v58fkymhrprt5gs0ccm29xx, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, 7fmhqt5geme4yv9cfnsp5lec5, 54w62kh31qyyu7tipmjlt95g5, 5qg0coudjinnt978myh4n4n2t, ckjcm9q26zd6q8tkq0go6oxcl, dsmcqfl0e1be4ag7czbnolo15, ausceoo438aoxbb6gl8tpes16, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 3vx94h32ahujciraspdayj9t6, 50kggsgofmeq6bos0kn5fyv2t",4060337555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060337551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060337549,130,12,4060337553,194,8z0395s37qe2lqi9qsvyskgk5,4060337545,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4060337547,59,"99, 26, 25, 3, 4, 5, 17, 8, 7, 30, 6, 14, 15, 16, 28, 29, 31, 33, 44, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513046707,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-02-26T19:14:41.827Z,2023-02-26T19:47:45Z,4060337767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060337761,130,17,4060337765,194,8s259ktv9j6ei0f8rh2msqfh1,4060337747,30,"26atxu4fr8f87oi8mt6z70mhh, dqsslq1iz1azubowq3anwws4q, 4euxcqawlks4c56pqj8xvwbf9, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, 9jw0h4escxh3eqz8oh860r3yt, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, asvqr3i5wcjiajxipt1qvldyh, c4w6l0ha9pvwljyh3aejqz3yt, 41jb0ts5688xz8ell62rybm22, cnriqwh17pqgz7p2gt74uar6c, 26mggguhavwmnq1oak12ket, 2p70qo9oxplufwnhlrl2b8v3e, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m",4060419393,197,15909,4060337763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4060337755,59,"16, 30, 18, 23, 5, 3, 21, 27, 70, 17, 6, 7, 8, 9, 10, 29, 36, 47",4060337751,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063469,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-02-26T19:44:59.735Z,2023-02-26T23:48:35Z,4060426653,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063467,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-26T19:44:59.735Z,2023-02-26T19:44:59Z,4060426651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063501,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50.1,49.7,2023-02-26T19:44:59.794Z,2023-02-27T00:00:20Z,4060426793,141,48.5,4060426789,56,Back,4060952441,178,,4060426799,279,S,4060426791,140,43.1,4060426795,212,7.4,4060426797,213,3.3,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063519,4,1,1,0,2,2b3mar72yy8d6uvat1ka6tn3r,1,41.4,43.5,2023-02-26T19:45:02.697Z,2023-02-27T02:33:09Z,4060952513,178,,4060426909,212,15.3,4060426911,213,4.2,4060426907,141,23.5,4060426905,140,34.8,4060426903,56,Back,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063537,5,1,1,0,6,2b3mar72yy8d6uvat1ka6tn3r,0,33.4,17.2,2023-02-26T19:45:06.404Z,2023-02-27T02:33:08Z,4060427013,212,39.2,4060797665,1,,4060427009,140,70.1,4060427005,155,,4060427007,56,Right,4060427015,213,6.1,4060952587,178,,4060427011,141,7.0,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063577,3,1,1,0,9,27xvwccz8kpmqsefjv2b2sc0o,0,28.9,88.7,2023-02-26T19:45:09.194Z,2023-02-27T02:33:08Z,4060427217,213,0.6,4060427215,212,6.6,4060427211,140,34.1,4060427207,3,,4060427209,56,Back,4060427213,141,94.1,4060952647,388,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063575,6,1,1,0,11,2b3mar72yy8d6uvat1ka6tn3r,1,60.1,9.4,2023-02-26T19:45:10.749Z,2023-02-27T02:33:07Z,4060427199,141,10.6,4060427203,213,0.1,4060952735,178,,4060427197,140,68.2,4060427195,56,Right,4060427201,212,8.5,4060427193,3,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063583,7,1,1,0,11,2b3mar72yy8d6uvat1ka6tn3r,1,64.3,16.3,2023-02-26T19:45:11.540Z,2023-02-27T02:33:07Z,4060427233,212,4.4,4060952791,178,,4060427231,141,11.7,4060427235,213,3.9,4060427227,56,Right,4060427229,140,61.3,,,,,,,c5ryhn04g9goikd0blmh83aol,L. Messi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063587,8,1,1,0,12,2b3mar72yy8d6uvat1ka6tn3r,1,55.9,15.9,2023-02-26T19:45:12.454Z,2023-02-27T02:33:06Z,4060427263,213,5.0,4060427257,140,57.4,4060427255,56,Right,4060952959,178,,4060427259,141,6.4,4060427261,212,6.6,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063597,9,1,1,0,14,2b3mar72yy8d6uvat1ka6tn3r,1,52.1,4.9,2023-02-26T19:45:13.915Z,2023-02-27T02:33:06Z,4060427329,213,0.1,4060953071,178,,4060427327,212,7.7,4060427325,141,5.5,4060427321,56,Right,4060427323,140,59.4,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063611,10,1,1,0,14,2b3mar72yy8d6uvat1ka6tn3r,1,56.8,1.3,2023-02-26T19:45:14.333Z,2023-02-27T02:33:06Z,4060427429,212,6.6,4060953209,178,,4060427431,213,2.6,4060427427,141,6.4,4060427425,140,51.4,4060427423,56,Right,,,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063615,11,50,1,0,16,2b3mar72yy8d6uvat1ka6tn3r,1,47.4,3.1,2023-02-26T19:45:15.913Z,2023-02-27T02:33:05Z,4060427441,286,,4060427543,233,4,4060427439,56,Back,,,,,,,,,,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063635,4,7,1,0,16,27xvwccz8kpmqsefjv2b2sc0o,1,52.6,96.9,2023-02-26T19:45:16.501Z,2023-02-27T02:33:04Z,4060427539,233,11,4060953683,178,,4060427521,56,Left,4060427523,285,,4060854641,383,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063637,5,49,1,0,17,27xvwccz8kpmqsefjv2b2sc0o,1,52.3,99.3,2023-02-26T19:45:17.424Z,2023-02-27T02:33:04Z,,,,,,,,,,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063643,6,1,1,0,17,27xvwccz8kpmqsefjv2b2sc0o,1,52.9,99.5,2023-02-26T19:45:17.640Z,2023-02-27T02:33:03Z,4060427563,141,93.2,4060427559,56,Left,4060954107,178,,4060427567,213,5.5,4060427565,212,5.9,4060427561,140,56.7,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063651,7,4,1,0,19,27xvwccz8kpmqsefjv2b2sc0o,1,57.9,83.6,2023-02-26T19:45:19.684Z,2023-02-27T02:33:02Z,4060427593,286,,4060427815,152,,4060427817,265,,4060427813,13,,4060427849,233,12,4060427591,56,Left,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063647,12,4,1,0,19,2b3mar72yy8d6uvat1ka6tn3r,0,42.1,16.4,2023-02-26T19:45:19.685Z,2023-02-27T02:33:01Z,4060427805,152,,4060427807,265,,4060427585,285,,4060427583,56,Back,4060427803,13,,4060427853,233,7,4060954285,178,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063789,8,1,1,0,31,27xvwccz8kpmqsefjv2b2sc0o,1,59.4,81.1,2023-02-26T19:45:30.956Z,2023-02-27T02:33:01Z,4060954415,178,,4060428399,213,3.8,4060428397,212,17.5,4060428391,56,Back,4060428395,141,65.3,4060428387,5,,4060428393,140,46.3,4060428389,152,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063819,9,1,1,0,35,27xvwccz8kpmqsefjv2b2sc0o,1,54.8,50.3,2023-02-26T19:45:35.584Z,2023-02-27T02:32:59Z,4060428525,56,Right,4060428527,140,68.2,4060428537,213,5.2,4060428529,141,7.1,4060954605,178,,4060855537,1,,4060428533,212,32.6,,,,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
