id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/17/value
2502891043,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-01T19:03:40.333Z,2023-02-01T20:14:23Z,4007060859,197,6351,4006860977,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 7jj9gwpuk49bsm2ru06qb44wl, 8tesu8352jvqfvclei8hykjbp, 5rh9yiue1qnabbwoyweyus5t6, 3o7ktan6n28fn5fj7gel6qead, 9br3ebcuzl5b755kwuxgey3md, 9qk1hoxri8dee6yat0cateqxh, aujgya83jg4eylvm7hjjbbasq, 6gdoxudvl1rgcn7d19e89p9ed, 6ypo3vp0zupq6s1jbk8rbmq51, 7pv3n0vj8243p1di16regotsl, cglp4k40r1t672m7j0eb5ktsl, 1py4bk2ik16w8lil31bghq99m, dhk8g3ptwjf297ix0rcvgydhx, dac9zcryfwbq3xdik69gkpadx, 6l4joooognq9a2zi3b521dhey, doc6xdg2vumiyoamostngr36d, 46vm60m1v8o9t0aesa0bpr42y",4006860983,130,4,4006860987,194,7jj9gwpuk49bsm2ru06qb44wl,4006860981,59,"1, 13, 14, 12, 27, 95, 6, 22, 11, 17, 10, 4, 9, 16, 19, 21, 24, 28, 29, 80",4006860989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006860985,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006860979,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502894097,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-02-01T19:10:05.386Z,2023-02-01T19:59:24Z,4006877305,130,15,4006877309,194,a2s2c6anax9wnlsw1s6vunl5h,4006877299,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, 72m5u1rlgh6e229zpfvp7f5jp, 2rio84cmao72sc7lnsodwzzhm, a2s2c6anax9wnlsw1s6vunl5h, rn17zrbsh1g9r1tj4xyvhgr8, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 2axi9gr1lhuewlt06emrk44q1, 4rlw04tze791jwt623h5ikg5x, 8xitc97j4scfajm8ucq7e5l91, 2xmc0gsdslrnsu6ua40kbh32t, dkve6gf309h5tglwawqx8mlzp",4007001919,197,649,4006877303,59,"16, 2, 12, 19, 6, 3, 77, 4, 10, 44, 17, 9, 14, 15, 18, 23, 26, 30, 31, 36",4006877311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006877307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006877301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915939,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-02-01T20:00:11.801Z,2023-02-02T01:15:10Z,4007003669,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915915,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-01T20:00:11.801Z,2023-02-01T20:00:12Z,4007003555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915969,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,49.1,48.8,2023-02-01T20:00:11.811Z,2023-02-02T01:20:24Z,4007003835,213,4.0,4007003827,56,Back,4007003829,140,43.0,4007003837,279,S,4007003831,141,37.4,4007429385,178,,4007003833,212,10.1,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915997,4,1,1,0,2,4t4hod56fsj7utpjdor8so5q6,1,39.9,45.9,2023-02-01T20:00:14.381Z,2023-02-02T05:15:53Z,4007004003,141,25.8,4007004007,213,4.4,4007430315,178,,4007004001,140,35.1,4007004005,212,14.6,4007003999,56,Back,,,,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916023,5,1,1,0,4,4t4hod56fsj7utpjdor8so5q6,0,33.6,34.5,2023-02-01T20:00:16.599Z,2023-02-02T05:15:52Z,4007004179,1,,4007004175,212,59.5,4007034717,155,,4007430355,178,,4007004169,56,Center,4007004173,141,26.0,4007004177,213,6.2,4007004171,140,90.0,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915995,3,12,1,0,7,9bxav814mkuhueiyivyive82d,1,22.7,71,2023-02-01T20:00:19.528Z,2023-02-02T05:15:51Z,4007003989,141,62.5,4007003985,56,Back,4007003991,212,11.8,4007003987,140,12.9,4007004461,15,,4007003993,213,3.7,4007430431,388,,,,,5rh9yiue1qnabbwoyweyus5t6,S. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916051,6,1,1,0,13,4t4hod56fsj7utpjdor8so5q6,1,85.9,12.9,2023-02-01T20:00:24.972Z,2023-02-02T05:15:49Z,4007004313,56,Center,4007430509,178,,4007004317,141,23.2,4007004321,213,2.7,4007004319,212,16.2,4007004315,140,72.0,,,,,,,rn17zrbsh1g9r1tj4xyvhgr8,E. Ben Seghir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916061,7,1,1,0,15,4t4hod56fsj7utpjdor8so5q6,1,70.4,21.7,2023-02-01T20:00:26.876Z,2023-02-02T05:15:48Z,4007430573,178,,4007004375,141,46.2,4007004379,213,2.0,4007004371,56,Center,4007004377,212,18.0,4007004373,140,64.0,,,,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
