id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/15/value,qualifier/16/value
2446163501,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-08-14T14:09:57.924Z,2022-08-14T15:07:49Z,3706618051,59,"1, 3, 11, 23, 22, 24, 6, 10, 9, 20, 17, 5, 14, 16, 19, 25, 29, 31, 32, 38",3706618053,130,12,3706618057,194,9ysk6656hj0na1hrizgt83k5x,3706618061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706618049,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706618047,30,"2vgr8c97x4b2e51tyvvixusid, 17acodpsoxkhha2iem2465ivp, 9ysk6656hj0na1hrizgt83k5x, 4jal44qeyp9ur58768qre5uqd, 7z1gixk4hvbbgo71xgb04942x, d5at3cowukpxiptq5ozcbe6s5, 88nw24pkg2ikj9c91tccvqol, c8u45gxriyq1rup5fpr30xrdh, 950o8rjqvnl5bnidq2dc3fglx, bndkgzdolm2c3iteenkv8s3it, wg9qybhs3qeq9awhux331uqx, eo47h2ekymiisj3kry3og7tgp, 42vsnv2j6emkbynforgon4n2t, cgeh7qj32flqu9p3a4wnn3s9h, egtyl4noukbjkm1va1i11e87o, am0pcyvtaws1i69jt09dgnsnp, 7bba28af7hqhh7ruo91x2mk9g, 6myeb7x322kbw504ecbvhu904, 1ho9nox6j8s5cxd1kxjspsrca, 8axjyioicdx8i2zkhcb79c9yi",3706618055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706618059,197,16154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446168099,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-14T14:15:04.359Z,2022-08-14T15:16:01Z,3706642113,194,azuc3tma44xyrbgf5y279o1xx,3706642109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706642099,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, 7sep6mx2s67mh5fr3raxu7aei, 8rfgwq7hbi4a3imda845vdyvp, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 9tgbdheyuooa8cfz06l577end, 6j0ogojh2b7poyceg7i3k09yi, e3kdoxu1kwn2w3wwi1rqhvr9x, 6u2ob6fv950r1qve8uejkq2uh, 6zerxodnjkvpko1ogfwd2hgyc, 9tqbuv5f466mzo4fx4ll0drvu, 4u281v53ges3kimtgac0tidm2, vja0xo3xiuax8eh0b6q3y09, eolso19u03zxw2pca2i95v4dl, 5ak9fwtqlr2pll0nsv5br7p7u, 5o0h8eeydl8t92qp3ywekqh1x, 99f4n1ws494k96r9ewdcrecbt, 2kgvn1lt5yjsixg13fj0cidt6, 2e0ipswbkv4vf7lav6ee1j3oq",3706642107,130,8,3706840167,197,15912,3706642103,59,"1, 23, 26, 99, 25, 4, 22, 19, 7, 11, 18, 77, 5, 8, 10, 14, 16, 20, 21, 42",3706642101,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706642117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203259,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-08-14T15:05:07.575Z,2022-08-14T15:05:07Z,3706833649,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203281,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-14T15:05:07.575Z,2022-08-14T22:29:49Z,3706833745,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203295,3,1,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,50.1,50,2022-08-14T15:05:07.636Z,2022-08-15T01:17:02Z,3706833803,213,2.8,3708751527,178,,3706833801,212,15.0,3706833805,279,S,3706833797,140,36.4,3706833799,141,56.4,3706833795,56,Back,,,,950o8rjqvnl5bnidq2dc3fglx,K. Gameiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203319,4,1,1,0,1,71ajatxnuhc5cnm3xvgdky49w,1,38.6,51.7,2022-08-14T15:05:09.293Z,2022-08-15T06:34:40Z,3706833933,212,19.5,3706833931,141,75.9,3706833935,213,2.1,3706833927,56,Back,3706833929,140,28.6,3708751769,178,,,,,,,,wg9qybhs3qeq9awhux331uqx,J. Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203343,5,1,1,0,4,71ajatxnuhc5cnm3xvgdky49w,1,30.9,72.9,2022-08-14T15:05:11.713Z,2022-08-15T06:34:39Z,3706834051,56,Back,3706834053,140,34.9,3706834057,212,15.4,3708751921,178,,3706834055,141,94.7,3706834059,213,1.3,,,,,,,4jal44qeyp9ur58768qre5uqd,M. Le Marchand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203371,6,1,1,0,7,71ajatxnuhc5cnm3xvgdky49w,0,35.7,95.3,2022-08-14T15:05:14.728Z,2022-08-15T06:34:38Z,3706834241,155,,3706834253,1,,3708752071,178,,3706834251,213,6.1,3706834243,56,Left,3706834247,141,81.0,3706834249,212,45.5,3706834245,140,78.0,9ysk6656hj0na1hrizgt83k5x,D. Liénard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203363,3,49,1,0,10,bx0cdmzr2gwr70ez72dorx82p,1,25.7,23.1,2022-08-14T15:05:17.633Z,2022-08-15T06:34:38Z,,,,,,,,,,,,,,,,,,,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446203417,4,1,1,0,11,bx0cdmzr2gwr70ez72dorx82p,1,19.3,17.4,2022-08-14T15:05:19.012Z,2022-08-15T06:34:37Z,3706834465,141,41.6,3706834469,213,2.4,3706834467,212,23.3,3706834463,140,3.6,3708752575,178,,3706834461,56,Back,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
