id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/19/value
2501967489,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-01-29T13:06:42.414Z,2023-01-29T14:10:54Z,4002005147,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 7jj9gwpuk49bsm2ru06qb44wl, 8tesu8352jvqfvclei8hykjbp, 5rh9yiue1qnabbwoyweyus5t6, 3o7ktan6n28fn5fj7gel6qead, doc6xdg2vumiyoamostngr36d, 9qk1hoxri8dee6yat0cateqxh, 7pv3n0vj8243p1di16regotsl, 6gdoxudvl1rgcn7d19e89p9ed, 6ypo3vp0zupq6s1jbk8rbmq51, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, 1py4bk2ik16w8lil31bghq99m, dhk8g3ptwjf297ix0rcvgydhx, 9br3ebcuzl5b755kwuxgey3md, 6l4joooognq9a2zi3b521dhey, 4sjs5ktvkun9g96w6h5a39puc, baogzi00mwdclwbvkd618evv9",4002211995,197,4727,4002005157,130,4,4002005161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002005165,194,7jj9gwpuk49bsm2ru06qb44wl,4002005167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002005151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002005153,59,"1, 13, 14, 12, 27, 95, 6, 29, 11, 9, 10, 4, 16, 17, 19, 21, 22, 28, 35, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501980601,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-01-29T13:21:47.200Z,2023-01-29T14:00:02Z,4002067149,59,"40, 29, 27, 18, 6, 14, 7, 13, 9, 11, 10, 22, 26, 32, 35, 36, 39, 75, 77, 90",4002067157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002067147,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002067145,30,"6wfwy94p5bm0zv3aku0urfq39, 1k6t5y26ufw2e6gh33tni45ey, 5w9g9gfeucuccwxd09o62f84p, 230qvyk9dg4plwzobjj6thmqy, 2snhhbt5230mm0rxigcqitqdx, 3izhfm7i4afomephw07mp4nsa, 6ir1z8c3o7t4kqx04kw24i415, 7za8h1pgec0y2s1ihmkkfvpm2, 1yj1kt2cx24nn4zt5h1ma1olx, 8yirlj1hpoqnuczpywgzlblxx, 71bl8lyjtmzn8ebwulcjnmu39, cr1n1i96xlepbvk90nl87o4yc, 7su502qxh7067jez2o33gn1be, 8qxcvpjeb68yz3wmgv45gst1w, 46k78w8naot7srar2fwdko1lg, c9cz1c96qve4i4li6jjqhkcno, ckg6rhf689aqi1n383gxstvro, f2wjw84p0ztxt636u2ibnoxxx, 859tcp8023r5cki7uju30l9t5, a065rtv2lfh0rso33dfuah4ut",4002067155,194,8yirlj1hpoqnuczpywgzlblxx,4002214639,197,651,4002067153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002067151,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011707,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-01-29T14:00:18.280Z,2023-01-29T22:28:56Z,4002218083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011697,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-01-29T14:00:18.280Z,2023-01-29T14:00:18Z,4002218031,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011747,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,50,50,2023-01-29T14:00:18.825Z,2023-01-30T03:34:25Z,4002218287,279,S,4004002237,178,,4002218279,140,54.5,4002218281,141,52.9,4002218285,213,0.4,4002218283,212,5.1,4002218277,56,Center,,,,6ir1z8c3o7t4kqx04kw24i415,A. Nordin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011755,4,1,1,0,1,2cjpmotqo8phcqfpgo9xf4gel,0,51.9,48.3,2023-01-29T14:00:19.913Z,2023-01-30T08:47:47Z,4002218307,140,79.4,4002218311,212,34.7,4002218313,213,0.6,4004002247,178,,4002218309,141,76.5,4003248629,1,,4002218305,56,Center,4003248627,157,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011765,3,49,1,0,6,9bxav814mkuhueiyivyive82d,1,11.9,26.5,2023-01-29T14:00:24.359Z,2023-01-30T08:47:46Z,,,,,,,,,,,,,,,,,,,,,,,,,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011799,4,1,1,0,6,9bxav814mkuhueiyivyive82d,1,11.2,26.7,2023-01-29T14:00:24.465Z,2023-01-30T08:47:46Z,4002218509,213,2.1,4002218507,212,14.2,4002218503,140,4.5,4002218505,141,44.9,4002218501,56,Back,4004002289,178,,,,,,,,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011837,5,1,1,0,7,9bxav814mkuhueiyivyive82d,1,3.8,42,2023-01-29T14:00:25.539Z,2023-01-30T08:47:46Z,4002218671,141,24.5,4002218669,140,38.7,4002218673,212,38.5,4002218667,56,Back,4002218675,213,6.0,4002218665,157,,4002218677,1,,4004002297,178,,6wplm29z7qxxmujyc2ml19gix,I. Radu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011847,6,1,1,0,10,9bxav814mkuhueiyivyive82d,0,38.3,28.2,2023-01-29T14:00:28.542Z,2023-01-30T08:47:45Z,4002218707,213,0.2,4002218699,56,Back,4002218697,168,,4002218701,140,45.9,4002218695,3,,4002218705,212,8.1,4004002309,388,,4002218703,141,30.4,7pv3n0vj8243p1di16regotsl,Nuno da Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
