id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/16/value,qualifier/13/value,assist,qualifier/18/value
2482397935,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-11-06T13:19:12.125Z,2022-11-06T14:00:46Z,3899128973,197,8270,3898972695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898972693,194,5rd9832gct7uy0acodmor8b11,3898972689,130,18,3898972691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3898972687,59,"99, 91, 18, 36, 4, 21, 25, 7, 10, 9, 95, 11, 19, 20, 31, 40, 70, 97",3898972683,30,"c6u4h9wy88ymj6whiz93jknv9, akz04kph7qmvbpk3auntlfowl, c8vsa9o761rsdy9l8xbtj3etx, 7j0fv43b1dkuiqk71ym4mmw6i, 1u990wv0bo82xqv2s0e8m8ic5, 5rd9832gct7uy0acodmor8b11, 4obcheuxcvbu6zo3fyq3b6x91, aflbpdgjm6huba3f9t848d4o9, 4elohf5kyq6i1jmywfuzhh2ol, 3xbgtth9h7ywlkpdzy8rwkbth, 757jd3kvmh2izb7q7k8if209h, bt2pm0it9f1o216uxo3abfpbd, 8f5suoft1lt9thk1arm4u8max, avcxyogv41ujbepqd5qrwki51, 822pzsxxhxdofvitaabixgzu2, a0rtzwzmnn4wj58rdrj95rvft, 8s5u921me5pvsfyvysjgpu2qy, 16yp4b9n9a7dq2bld6qyt3oyc",3898972685,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482398279,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-11-06T13:19:44.128Z,2022-11-06T14:07:21Z,3898974679,59,"90, 77, 27, 14, 6, 31, 22, 11, 21, 99, 12, 2, 7, 9, 13, 18, 19, 28, 30, 75",3898974681,130,10,3899129759,197,17521,3898974683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898974685,194,8yirlj1hpoqnuczpywgzlblxx,3898974675,30,"a065rtv2lfh0rso33dfuah4ut, 859tcp8023r5cki7uju30l9t5, 5w9g9gfeucuccwxd09o62f84p, 3izhfm7i4afomephw07mp4nsa, 2snhhbt5230mm0rxigcqitqdx, azcv772qzdbz1exafx3od6lt5, cr1n1i96xlepbvk90nl87o4yc, 8yirlj1hpoqnuczpywgzlblxx, 16idj1wxzcbvuaov5duvpqhyi, d8m8y59eum57eu7kiat38rkk5, 7teasnynvwarky180hl6zvkk5, 8cawa8470beg2ce0as7hv5psl, 6ir1z8c3o7t4kqx04kw24i415, 1yj1kt2cx24nn4zt5h1ma1olx, 7za8h1pgec0y2s1ihmkkfvpm2, 230qvyk9dg4plwzobjj6thmqy, 8ikvcyvko9qou241buomqqv6y, yeqnier6uxsc3hcegcuethxw, 6ds6v3u0jyno9kzjkve3dp8mh, f2wjw84p0ztxt636u2ibnoxxx",3898974677,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898974687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430707,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-11-06T14:01:06.340Z,2022-11-06T21:39:36Z,3899138107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430719,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-11-06T14:01:06.340Z,2022-11-06T14:01:09Z,3899138167,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430781,3,1,1,0,0,17o35s8assv3kamxowzz77k4r,1,50.1,50.3,2022-11-06T14:01:06.381Z,2022-11-07T01:06:05Z,3899138509,56,Back,3899138513,141,50.9,3899138515,212,13.6,3899138517,213,3.1,3901555191,178,,3899138511,140,37.2,3899138521,279,S,,,,3xbgtth9h7ywlkpdzy8rwkbth,K. Andrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430825,4,1,1,0,2,17o35s8assv3kamxowzz77k4r,1,38.9,47.5,2022-11-06T14:01:08.429Z,2022-11-07T05:47:57Z,3899138701,212,25.2,3901555259,178,,3899138699,141,12.0,3899138703,213,4.4,3899138695,56,Back,3899138697,140,31.9,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430873,5,1,1,0,5,17o35s8assv3kamxowzz77k4r,1,34.6,12.5,2022-11-06T14:01:11.926Z,2022-11-07T05:47:56Z,3899138941,213,2.0,3899138937,141,40.9,3899138935,140,26.0,3899138933,56,Back,3901555293,178,,3899138939,212,21.3,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430933,6,1,1,0,7,17o35s8assv3kamxowzz77k4r,1,26,38.6,2022-11-06T14:01:14.299Z,2022-11-07T05:47:55Z,3899139273,141,69.0,3901555369,178,,3899139275,212,21.0,3899139277,213,1.4,3899139269,56,Back,3899139271,140,29.7,,,,,,,1u990wv0bo82xqv2s0e8m8ic5,M. Wieteska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431043,7,1,1,0,11,17o35s8assv3kamxowzz77k4r,1,27.5,66.8,2022-11-06T14:01:17.670Z,2022-11-07T05:47:54Z,3899139893,213,4.5,3899139889,141,45.1,3901555425,178,,3899139887,140,24.5,3899139891,212,15.1,3899139885,56,Back,,,,,,,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431121,8,1,1,0,15,17o35s8assv3kamxowzz77k4r,0,25.8,28.7,2022-11-06T14:01:21.915Z,2022-11-07T05:47:53Z,3899140255,155,,3899140257,56,Right,3901555489,178,,3899140261,141,5.3,3899140259,140,75.2,3899140267,1,,3899140265,213,6.0,3899140263,212,54.3,1u990wv0bo82xqv2s0e8m8ic5,M. Wieteska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
