id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,keyPass,qualifier/15/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId
2502896831,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-01T19:16:44.479Z,2023-02-01T20:01:51Z,4006892279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006892267,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, d3dv3vc71981v5oems59892sq, 5qg0coudjinnt978myh4n4n2t, 8z0395s37qe2lqi9qsvyskgk5, 9adbv1dl7dp7vze3b9sarerbp, dsmcqfl0e1be4ag7czbnolo15, cionsifzpx5rhc8es29wv6i95, c5ryhn04g9goikd0blmh83aol, 5e9ilgrz3tzg9kd1gk3yvrahh, f3v58fkymhrprt5gs0ccm29xx, 54w62kh31qyyu7tipmjlt95g5, ckjcm9q26zd6q8tkq0go6oxcl, 2ub88jcc3vku6mrnt5fb3oyqd, ausceoo438aoxbb6gl8tpes16, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 59zam5h3noyxf84k3jv1ofy1g, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6",4006892277,194,8z0395s37qe2lqi9qsvyskgk5,4006892269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006892271,59,"99, 2, 25, 15, 5, 4, 28, 17, 30, 7, 8, 14, 16, 18, 29, 31, 33, 37, 35, 44",4006892275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4007000929,197,16071,4006892273,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502898213,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-02-01T19:19:58.547Z,2023-02-01T20:03:29Z,4006900383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006900379,59,"40, 77, 27, 14, 6, 4, 18, 11, 10, 9, 13, 7, 12, 22, 29, 35, 36, 39, 75, 90",4006900385,194,8yirlj1hpoqnuczpywgzlblxx,4006900377,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006900387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006900381,130,12,4006900375,30,"6wfwy94p5bm0zv3aku0urfq39, 859tcp8023r5cki7uju30l9t5, 5w9g9gfeucuccwxd09o62f84p, 3izhfm7i4afomephw07mp4nsa, 2snhhbt5230mm0rxigcqitqdx, daevawz3r1bzlhcbr7mj12h9l, 230qvyk9dg4plwzobjj6thmqy, 8yirlj1hpoqnuczpywgzlblxx, 71bl8lyjtmzn8ebwulcjnmu39, 1yj1kt2cx24nn4zt5h1ma1olx, 7za8h1pgec0y2s1ihmkkfvpm2, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, cr1n1i96xlepbvk90nl87o4yc, 1k6t5y26ufw2e6gh33tni45ey, 46k78w8naot7srar2fwdko1lg, c9cz1c96qve4i4li6jjqhkcno, ckg6rhf689aqi1n383gxstvro, f2wjw84p0ztxt636u2ibnoxxx, a065rtv2lfh0rso33dfuah4ut",4007015973,197,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915855,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-01T20:00:03.541Z,2023-02-01T20:00:03Z,4007003285,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915867,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-02-01T20:00:03.541Z,2023-02-02T00:57:29Z,4007003343,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915875,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50,50,2023-02-01T20:00:03.615Z,2023-02-02T01:03:19Z,4007003377,212,11.9,4007003371,56,Back,4007003381,279,S,4007003379,213,3.2,4007003373,140,38.7,4007417849,178,,4007003375,141,49.3,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915889,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,40.6,47.3,2023-02-01T20:00:05.438Z,2023-02-02T04:51:13Z,4007003447,212,26.8,4007003441,56,Back,4007417875,178,,4007003449,213,4.4,4007003443,140,33.3,4007003445,141,9.5,,,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915925,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,37,9.3,2023-02-01T20:00:08.416Z,2023-02-02T04:51:12Z,4007003601,141,37.3,4007417895,178,,4007003597,56,Back,4007003599,140,30.0,4007003605,213,1.9,4007003603,212,20.4,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915953,6,1,1,0,9,2b3mar72yy8d6uvat1ka6tn3r,1,39.2,49.9,2023-02-01T20:00:13.385Z,2023-02-02T04:51:10Z,4007003751,213,1.4,4007003749,212,26.5,4007417925,178,,4007003743,56,Back,4007003745,140,43.4,4007003747,141,88.4,,,,,,,5qg0coudjinnt978myh4n4n2t,Danilo Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915967,7,1,1,0,12,2b3mar72yy8d6uvat1ka6tn3r,1,48,89,2023-02-01T20:00:16.153Z,2023-02-02T04:51:09Z,4007003823,213,0.2,4007003817,140,55.8,4007003815,56,Left,4007417977,178,,4007003821,212,8.4,4007003819,141,91.8,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502915981,8,1,1,0,13,2b3mar72yy8d6uvat1ka6tn3r,1,56.2,87.3,2023-02-01T20:00:16.915Z,2023-02-02T04:51:09Z,4007418077,178,,4007003883,140,45.7,4007003885,141,94.8,4007003889,213,2.7,4007003881,56,Back,4007003887,212,12.1,,,,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916001,9,1,1,0,14,2b3mar72yy8d6uvat1ka6tn3r,1,47.9,91.8,2023-02-01T20:00:18.206Z,2023-02-02T04:51:08Z,4007418111,178,,4007004035,212,13.2,4007004033,141,77.3,4007004031,140,39.6,4007004029,56,Back,4007004037,213,4.0,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916017,10,1,1,0,17,2b3mar72yy8d6uvat1ka6tn3r,1,39.7,72.3,2023-02-01T20:00:20.600Z,2023-02-02T04:51:07Z,4007004141,213,4.6,4007004137,141,35.9,4007418145,178,,4007004133,56,Back,4007004135,140,36.0,4007004139,212,25.1,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916065,11,1,1,0,20,2b3mar72yy8d6uvat1ka6tn3r,1,38.8,34,2023-02-01T20:00:24.361Z,2023-02-02T04:51:06Z,4007004407,56,Back,4007004415,212,20.3,4007004413,141,5.9,4007004417,213,5.1,4007418201,178,,4007004411,140,45.2,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916123,5,43,1,0,25,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-02-01T20:00:29.313Z,2023-02-01T20:52:03Z,4007180589,144,45,4007010871,233,12,4007004751,56,Center,4007004753,285,0,,,,,,,,,,,,,71bl8lyjtmzn8ebwulcjnmu39,S. Mavididi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916073,12,43,1,0,25,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-01T20:00:29.313Z,2023-02-01T20:52:07Z,4007004465,286,0,4007004463,56,Back,4007180705,144,3,,,,,,,,,,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916085,13,1,1,0,26,2b3mar72yy8d6uvat1ka6tn3r,1,53.5,9,2023-02-01T20:00:29.764Z,2023-02-02T04:51:05Z,4007004527,56,Right,4007004533,212,7.9,4007004535,213,1.3,4007004529,140,55.8,4007004531,141,20.0,4007418219,178,,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
