id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/18/value,qualifier/19/value
2512686575,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-02-26T11:15:59.443Z,2023-02-26T11:58:37Z,4058443111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058443105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058443113,194,3hiehiu25aufrc0q9890haqc5,4058563079,197,641,4058443115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058443103,30,"6oi4a3g56xe76g0gg38knmzmd, 31ur1f7xmxndnnabhrxyov6xh, 538zux65h0l9028fpf4v1g0r9, 60no437awq8i5th7nlffh3dn9, 38cotevgsirv0csora7bar3vu, 996i59930r3kd4xk48x9fsp2h, 7c5uk1ts8jlu88p1x6wubuz8p, 3hiehiu25aufrc0q9890haqc5, 466ev7tumk8flx0gz9d0h15d6, 44o5mjglkzqxctz07ust9bcru, 8vlfwoquq3v68mb9ax1pk5fkk, 2abpo4w3jcxp1wzp50yypxsrt, 7cty3nkd7c84e16537v6y1djp, 2qkesslfmzmgt7igvgosixg8a, e32urdrdkp44zmnt6ptg0k12i, e83sc1gnj31vgpo9u6fknmfvt, 2tc8y9du64tjno62zll2jhy7e, 4pzjvj5jwm7p0siz055ixe40l, 8n0560evn4ni29dw9xece45ey, 2zvbw080n4yro1phgv39ri3qi",4058443109,130,8,4058443107,59,"1, 2, 25, 17, 18, 3, 14, 19, 9, 80, 11, 7, 8, 10, 12, 21, 22, 23, 29, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512687563,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-26T11:18:32.992Z,2023-02-26T12:00:30Z,4058449041,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058449043,59,"1, 13, 14, 95, 4, 97, 80, 12, 19, 77, 10, 6, 7, 11, 16, 17, 21, 22, 27, 29",4058449045,130,17,4058449039,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 5rh9yiue1qnabbwoyweyus5t6, 6ypo3vp0zupq6s1jbk8rbmq51, baogzi00mwdclwbvkd618evv9, 46vm60m1v8o9t0aesa0bpr42y, 7jj9gwpuk49bsm2ru06qb44wl, 1py4bk2ik16w8lil31bghq99m, b187awt0wdxh20fx1rn5vgewa, 6gdoxudvl1rgcn7d19e89p9ed, 3o7ktan6n28fn5fj7gel6qead, co59rv08x22hk5itwibbwq191, 9qk1hoxri8dee6yat0cateqxh, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, dhk8g3ptwjf297ix0rcvgydhx, 9br3ebcuzl5b755kwuxgey3md, 8tesu8352jvqfvclei8hykjbp, doc6xdg2vumiyoamostngr36d",4058449047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058563039,197,4727,4058449053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058449051,194,7jj9gwpuk49bsm2ru06qb44wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709377,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-26T12:00:06.944Z,2023-02-26T12:00:07Z,4058572055,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709385,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-02-26T12:00:06.944Z,2023-02-26T21:07:16Z,4058572089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709401,3,1,1,0,0,9bxav814mkuhueiyivyive82d,1,50,50,2023-02-26T12:00:06.955Z,2023-02-27T00:45:07Z,4058572187,213,2.9,4058572185,212,19.5,4061015839,178,,4058572179,56,Back,4058572181,140,32.1,4058572189,279,S,4058572183,141,57.5,,,,1py4bk2ik16w8lil31bghq99m,M. Abline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709457,4,1,1,0,2,9bxav814mkuhueiyivyive82d,1,37.2,52.6,2023-02-26T12:00:09.823Z,2023-02-27T06:23:02Z,4058572535,141,26.4,4061015923,178,,4058572531,56,Back,4058572539,213,4.4,4058572533,140,32.0,4058572537,212,18.6,,,,,,,7jj9gwpuk49bsm2ru06qb44wl,B. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709491,5,1,1,0,9,9bxav814mkuhueiyivyive82d,1,41.9,10.6,2023-02-26T12:00:16.823Z,2023-02-27T06:23:00Z,4058572725,213,6.2,4058572719,140,69.4,4058572721,141,8.8,4058572723,212,28.9,4061015985,178,,4058572717,56,Right,,,,,,,baogzi00mwdclwbvkd618evv9,R. Raveloson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709521,6,1,1,0,12,9bxav814mkuhueiyivyive82d,1,69.1,9.5,2023-02-26T12:00:19.308Z,2023-02-27T06:22:59Z,4058572887,141,5.8,4061016193,178,,4058572883,56,Right,4058572889,212,5.0,4058572891,213,5.8,4058572885,140,73.2,,,,,,,b187awt0wdxh20fx1rn5vgewa,S. Dembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709523,7,50,1,0,14,9bxav814mkuhueiyivyive82d,1,74.5,2,2023-02-26T12:00:21.186Z,2023-02-27T06:22:57Z,4058572921,233,3,4058572895,56,Right,4058572897,286,,,,,,,,,,,,,,,,,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512709489,3,7,1,0,14,70nn27vgkt6l48lvv5e66q7ww,1,25.5,98,2023-02-26T12:00:21.592Z,2023-02-27T06:22:57Z,4059975813,385,,4058572711,285,,4061016329,178,,4058572709,56,Back,4058572901,233,7,4058572707,167,,,,,,,,8vlfwoquq3v68mb9ax1pk5fkk,B. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
