id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2531048457,6,1,1,0,19,17o35s8assv3kamxowzz77k4r,1,31.7,24.9,2023-04-09T13:00:26.392Z,2023-04-10T01:49:33Z,4176489051,56,Back,4176489057,212,11.0,4176489059,213,3.7,4176489055,141,16.9,4176489053,140,22.6,4177994871,178,,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048433,5,1,1,0,19,17o35s8assv3kamxowzz77k4r,1,31.8,15.6,2023-04-09T13:00:26.515Z,2023-04-10T01:49:33Z,4176488941,212,11.8,4176488935,56,Back,4177994573,178,,4176488939,141,31.6,4176488943,213,2.0,4176488937,140,27.5,,,,,,,bzr6a9okokrgaskvsbl03xmtx,M. Gonalons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048489,7,1,1,0,22,17o35s8assv3kamxowzz77k4r,1,26.8,14.6,2023-04-09T13:00:29.119Z,2023-04-10T01:49:32Z,4176489191,157,,4176489199,140,53.7,4176489203,141,27.7,4176489209,213,0.3,4177995089,178,,4176489195,56,Center,4176489211,1,,4176489207,212,29.6,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531254423,955,1,1,0,24,17o35s8assv3kamxowzz77k4r,0,53.2,20.7,2023-04-09T13:00:30.667Z,2023-04-10T01:49:32Z,4177586457,212,9.8,4177586451,56,Back,4177586459,213,2.4,4177586449,3,,4177586455,141,30.6,4177586453,140,46.4,4177995467,388,,,,,757jd3kvmh2izb7q7k8if209h,G. Kyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048525,7,49,1,0,26,3unkqo2g6ag99gd5ynz1j7vse,1,54.8,68.5,2023-04-09T13:00:32.582Z,2023-04-10T01:49:32Z,,,,,,,,,,,,,,,,,,,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048553,8,1,1,0,27,3unkqo2g6ag99gd5ynz1j7vse,1,51.4,79.1,2023-04-09T13:00:34.360Z,2023-04-10T01:49:31Z,4176489539,213,2.0,4177995987,178,,4176489531,56,Back,4176489535,141,97.5,4176489533,140,46.1,4176489537,212,13.7,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048565,9,1,1,0,29,3unkqo2g6ag99gd5ynz1j7vse,0,48.7,97.3,2023-04-09T13:00:36.501Z,2023-04-10T01:49:30Z,4176489581,213,5.9,4176489657,236,,4176489577,141,94.8,4176489579,212,5.0,4176489661,233,8,4176489573,56,Left,4176489575,140,53.2,4176489671,286,,57sdn53awg8fzbygrwchg6u7e,P. Yade,4177996243,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048559,8,74,1,0,30,17o35s8assv3kamxowzz77k4r,1,50,3.7,2023-04-09T13:00:36.574Z,2023-04-10T01:49:30Z,4176489557,285,,4176489555,56,Right,4176489693,233,9,4177996547,178,,,,,,,,,,,,,,bzr6a9okokrgaskvsbl03xmtx,M. Gonalons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048571,9,5,1,0,30,17o35s8assv3kamxowzz77k4r,0,50.3,-1.8,2023-04-09T13:00:36.925Z,2023-04-09T20:03:54Z,4176489617,56,Right,4176489619,347,,4176490233,233,10,,,,,,,,,,,,,,,,bzr6a9okokrgaskvsbl03xmtx,M. Gonalons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048705,10,5,1,0,30,3unkqo2g6ag99gd5ynz1j7vse,1,49.7,101.8,2023-04-09T13:00:36.925Z,2023-04-09T20:03:54Z,4176490183,347,,4176490207,233,9,4176490179,56,Back,,,,,,,,,,,,,,,,57sdn53awg8fzbygrwchg6u7e,P. Yade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
