id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist
2493727573,1,34,16,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2022-12-28T17:12:55.802Z,2022-12-28T18:05:40Z,3958701515,197,15943,3958692315,130,17,3958692319,194,e211nih87ou9t8crzjbbzhexh,3958692311,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958692309,30,"8h5jl1u3p8sr2pwdmyxl14416, 4st4hurqbtyzw1tbkzuuk78fe, 5ixupu8etas04im7097qhb1ed, 8jjep8bx1jpjuf8firxccc549, e211nih87ou9t8crzjbbzhexh, 7c0b5fz3m1uw0fwpm051e6rfu, 31sljkjull0n7082fed26stzp, bfdco9clf3dwltaogfhv5v0et, 1zx0huwj0czivtoq6kvfb5roq, 7nivkfkngr374fx5totgektm1, 3pz4ro9b1u6u45gs7d6apmo5x, exjiksa7gfv5xjay6690sz9ck, 2wg5dkh9of0wu0sop3hagzt3o, 5z9c9rjwtlrl0skjpt08n9gfe, 2ols4tslj83nkbztgkx9s92hh, avk0vktquq3oum9w6dyodlz6y, 17q3e6g2gvlnpwnzf9d6a9eqd, b8dd5q3n5irlkcv0ekzqhzc2x, e5xxqwz0sdlwkkmp8bgs1k6w9, efcz85z2tvggsucnvivkmsxyh",3958692317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958692321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958692313,59,"30, 23, 31, 3, 6, 18, 21, 28, 26, 20, 10, 39, 33, 38, 1, 4, 8, 9, 22, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493727941,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-12-28T17:15:15.436Z,2022-12-28T18:03:11Z,3958694311,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958694309,30,"c6u4h9wy88ymj6whiz93jknv9, bt2pm0it9f1o216uxo3abfpbd, 237j1qagaotsy5j9wo3xqfgtl, 6euu7oztc1jkxcgef0g75cq95, 1u990wv0bo82xqv2s0e8m8ic5, 7j0fv43b1dkuiqk71ym4mmw6i, aflbpdgjm6huba3f9t848d4o9, 4obcheuxcvbu6zo3fyq3b6x91, 757jd3kvmh2izb7q7k8if209h, 4elohf5kyq6i1jmywfuzhh2ol, c8vsa9o761rsdy9l8xbtj3etx, 3xbgtth9h7ywlkpdzy8rwkbth, bzr6a9okokrgaskvsbl03xmtx, avcxyogv41ujbepqd5qrwki51, 5rd9832gct7uy0acodmor8b11, ag74mepy9fnmlykodxo0oxhwp, 822pzsxxhxdofvitaabixgzu2, a0rtzwzmnn4wj58rdrj95rvft, 8s5u921me5pvsfyvysjgpu2qy, akz04kph7qmvbpk3auntlfowl",3958694321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958701245,197,8270,3958694317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958694313,59,"99, 11, 3, 5, 4, 36, 7, 25, 95, 10, 18, 9, 12, 20, 21, 23, 31, 40, 70, 91",3958694315,130,17,3958694319,194,aflbpdgjm6huba3f9t848d4o9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733671,2,32,1,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2022-12-28T18:00:19.172Z,2022-12-28T18:00:19Z,3958729605,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733673,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-12-28T18:00:19.172Z,2022-12-29T01:05:22Z,3958729613,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733677,3,1,1,0,0,be2k34rut1lz79jxenabttqlc,1,49.7,50,2022-12-28T18:00:19.383Z,2022-12-29T01:10:18Z,3959107807,178,,3958729649,56,Back,3958729655,212,7.2,3958729659,279,S,3958729657,213,3.4,3958729653,141,47.8,3958729651,140,43.0,,,,1zx0huwj0czivtoq6kvfb5roq,A. Virginius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733679,4,1,1,0,1,be2k34rut1lz79jxenabttqlc,1,41.6,47.3,2022-12-28T18:00:20.861Z,2022-12-29T08:23:33Z,3958729673,56,Back,3958729677,141,66.1,3958729681,213,1.8,3958729679,212,13.1,3958729675,140,38.8,3959107861,178,,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733683,5,1,1,0,3,be2k34rut1lz79jxenabttqlc,1,39.5,60.4,2022-12-28T18:00:22.642Z,2022-12-29T08:23:32Z,3959107893,178,,3958729695,141,74.1,3958729699,213,2.5,3958729691,56,Back,3958729697,212,15.3,3958729693,140,28.0,,,,,,,bfdco9clf3dwltaogfhv5v0et,André Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733691,6,1,1,0,5,be2k34rut1lz79jxenabttqlc,1,34.2,75.9,2022-12-28T18:00:24.450Z,2022-12-29T08:23:31Z,3958729765,140,25.5,3958729769,141,53.0,3958729761,56,Back,3959107917,178,,3958729773,212,18.1,3958729777,213,4.2,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733707,7,1,1,0,12,be2k34rut1lz79jxenabttqlc,1,28.5,51.6,2022-12-28T18:00:31.394Z,2022-12-29T08:23:29Z,3958729847,140,27.8,3959107941,178,,3958729849,141,77.2,3958729845,56,Back,3958729853,213,1.6,3958729851,212,17.4,,,,,,,e211nih87ou9t8crzjbbzhexh,José Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733715,8,1,1,0,14,be2k34rut1lz79jxenabttqlc,1,28.8,78.9,2022-12-28T18:00:33.464Z,2022-12-29T08:23:28Z,3958729897,140,36.2,3958729903,212,12.7,3958729899,141,93.6,3958729907,213,0.9,3958729895,56,Back,3959107977,178,,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733721,9,1,1,0,16,be2k34rut1lz79jxenabttqlc,1,33.6,89.3,2022-12-28T18:00:35.961Z,2022-12-29T08:23:27Z,3958729951,213,3.4,3959108485,178,,3958729949,212,24.6,3958729945,140,10.8,3958729947,141,81.2,3958729943,56,Back,,,,,,,5ixupu8etas04im7097qhb1ed,Ismaily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733729,10,1,1,0,19,be2k34rut1lz79jxenabttqlc,1,13.7,81.9,2022-12-28T18:00:38.759Z,2022-12-29T08:23:27Z,3959108525,178,,3958730007,56,Back,3958730015,213,4.3,3958730011,141,47.8,3958730009,140,2.8,3958730013,212,25.9,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733735,11,1,1,0,22,be2k34rut1lz79jxenabttqlc,1,3.2,43.7,2022-12-28T18:00:41.955Z,2022-12-29T08:23:26Z,3958730051,213,5.3,3959108539,178,,3958730043,56,Back,3958730047,141,6.7,3958730049,212,29.3,3958730045,140,17.5,,,,,,,8h5jl1u3p8sr2pwdmyxl14416,L. Chevalier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733743,12,1,1,0,24,be2k34rut1lz79jxenabttqlc,1,15.7,5.6,2022-12-28T18:00:44.137Z,2022-12-29T08:23:25Z,3959108593,178,,3958730097,141,10.4,3958730093,56,Back,3958730101,213,0.2,3958730099,212,18.4,3958730095,140,32.9,,,,,,,7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733745,13,1,1,0,25,be2k34rut1lz79jxenabttqlc,1,25.2,10.7,2022-12-28T18:00:45.032Z,2022-12-29T08:23:24Z,3959108643,178,,3958730107,140,19.9,3958730113,213,2.6,3958730109,141,15.5,3958730105,56,Back,3958730111,212,6.5,3958746127,156,,,,,7nivkfkngr374fx5totgektm1,A. Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733747,14,1,1,0,26,be2k34rut1lz79jxenabttqlc,1,18.8,11.9,2022-12-28T18:00:45.912Z,2022-12-29T08:23:24Z,3958730123,141,16.1,3958730127,212,22.4,3958730121,140,40.0,3959108669,178,,3958730129,213,0.1,3958730119,56,Back,3958756287,155,,,,,7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493737821,274,1,1,0,27,be2k34rut1lz79jxenabttqlc,0,33.8,17.7,2022-12-28T18:00:46.843Z,2022-12-29T08:23:23Z,3958944895,168,,3959108795,388,,3958756569,213,6.3,3958756565,141,16.9,3958756561,3,,3958756567,212,25.7,3958756519,56,Right,3958756563,140,58.3,4st4hurqbtyzw1tbkzuuk78fe,E. Zhegrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733753,3,49,1,0,29,17o35s8assv3kamxowzz77k4r,1,45.4,77.2,2022-12-28T18:00:48.487Z,2022-12-29T08:23:23Z,,,,,,,,,,,,,,,,,,,,,,,,,1u990wv0bo82xqv2s0e8m8ic5,M. Wieteska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733761,4,1,1,0,30,17o35s8assv3kamxowzz77k4r,1,40.3,83.9,2022-12-28T18:00:50.046Z,2022-12-29T08:23:22Z,3959108843,178,,3958730225,141,61.2,3958730229,213,3.7,3958730221,56,Back,3958730227,212,29.6,3958730223,140,16.3,,,,,,,1u990wv0bo82xqv2s0e8m8ic5,M. Wieteska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493733767,5,1,1,0,34,17o35s8assv3kamxowzz77k4r,1,16.6,62.5,2022-12-28T18:00:53.185Z,2022-12-29T08:23:22Z,3959108873,178,,3958730267,56,Back,3958730269,140,27.2,3958730271,141,23.6,3958730273,212,28.7,3958730275,213,5.1,,,,,,,c6u4h9wy88ymj6whiz93jknv9,M. Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
