id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2452376639,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-28T12:37:21.165Z,2022-08-28T13:07:48Z,3739651653,194,azuc3tma44xyrbgf5y279o1xx,3739651643,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, 7sep6mx2s67mh5fr3raxu7aei, 2kgvn1lt5yjsixg13fj0cidt6, azuc3tma44xyrbgf5y279o1xx, 2e0ipswbkv4vf7lav6ee1j3oq, 3n9jnuteyjx6w6dxviuead0b9, vja0xo3xiuax8eh0b6q3y09, e3kdoxu1kwn2w3wwi1rqhvr9x, 6zerxodnjkvpko1ogfwd2hgyc, eolso19u03zxw2pca2i95v4dl, cjgrtf1xc97ir3b64cnl9ecyc, 6u2ob6fv950r1qve8uejkq2uh, 5ak9fwtqlr2pll0nsv5br7p7u, 5o0h8eeydl8t92qp3ywekqh1x, 6j0ogojh2b7poyceg7i3k09yi, 99f4n1ws494k96r9ewdcrecbt, 9tgbdheyuooa8cfz06l577end, 9yjtdz1toq241g6cgdty94lck, 8pgocmr00qw7b9919c8zh4bmx",3739651647,59,"1, 23, 26, 21, 4, 42, 29, 8, 7, 18, 10, 37, 11, 14, 16, 19, 20, 22, 33, 90",3739783515,197,15912,3739651645,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739651655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739651649,130,8,3739651651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452380601,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-08-28T12:41:07.032Z,2022-08-28T13:07:09Z,3739670117,197,15909,3739670113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739670115,194,26mggguhavwmnq1oak12ket,3739670105,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739670119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739670109,59,"16, 7, 30, 23, 5, 99, 21, 27, 70, 6, 10, 3, 11, 13, 15, 17, 18, 22, 29, 36",3739670099,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, asvqr3i5wcjiajxipt1qvldyh, 26mggguhavwmnq1oak12ket, 9jw0h4escxh3eqz8oh860r3yt, d1d3v27d4r6vme6n2w5umaacp, a68fosxpgtyxj64ex9f6nget, 6gymgqxnu2zavuxgp6amm3zkl, cip5lla8zu8gru2m4popsstlh, 5rh9yiue1qnabbwoyweyus5t6, ekm47qd8w1x0456lm1tmf5re1, 2p70qo9oxplufwnhlrl2b8v3e, 4dbs7cgevy096gouv60eurh05",3739670111,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398357,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-28T13:01:52.085Z,2022-08-28T20:17:35Z,3739754043,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398319,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-08-28T13:01:52.085Z,2022-08-28T13:01:52Z,3739753881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398413,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50,50,2022-08-28T13:01:52.100Z,2022-08-28T20:39:36Z,3739754229,141,56.7,3739754231,212,12.1,3739754225,56,Back,3741733277,178,,3739754233,213,2.8,3739754227,140,39.3,3739754235,279,S,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398429,4,1,1,0,1,27xvwccz8kpmqsefjv2b2sc0o,1,40.8,55.9,2022-08-28T13:01:53.344Z,2022-08-28T23:47:32Z,3739754307,56,Back,3739754313,212,8.4,3739754315,213,3.9,3741733973,178,,3739754309,140,35.1,3739754311,141,47.2,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398503,5,1,1,0,4,27xvwccz8kpmqsefjv2b2sc0o,1,35.3,41.9,2022-08-28T13:01:56.227Z,2022-08-28T23:47:31Z,3739754637,213,1.7,3739754633,141,85.0,3741734353,178,,3739754635,212,29.4,3739754631,140,32.8,3739754629,56,Back,,,,,,,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398525,6,1,1,0,8,27xvwccz8kpmqsefjv2b2sc0o,1,35.8,84.2,2022-08-28T13:02:00.384Z,2022-08-28T23:47:30Z,3739754741,140,42.2,3739754745,212,10.8,3741734733,178,,3739754739,56,Back,3739754747,213,0.9,3739754743,141,96.6,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398539,7,1,1,0,10,27xvwccz8kpmqsefjv2b2sc0o,1,43.7,98.1,2022-08-28T13:02:02.352Z,2022-08-28T23:47:28Z,3739754817,140,53.5,3739754823,213,5.9,3739754815,56,Left,3741734991,178,,3739754819,141,91.7,3739754821,212,11.2,,,,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398593,8,1,1,0,12,27xvwccz8kpmqsefjv2b2sc0o,1,54.1,85.4,2022-08-28T13:02:04.251Z,2022-08-28T23:47:28Z,3739755089,141,91.7,3739755091,212,13.8,3741735133,178,,3739755087,140,41.6,3739755085,56,Back,3739755093,213,2.8,,,,,,,26mggguhavwmnq1oak12ket,D. Payet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
