id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2494438429,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-01-01T13:07:49.525Z,2023-01-01T14:02:47Z,3962456739,197,15935,3962446697,30,"cgqunmh8aw465fna15rdve8d1, 9tdb905kq5becch102boicdex, dlzepva4fgihzwx4vfzagiy1h, dvtd4xsoihe7srn69irnng5w5, 8927ird9ax5sj69nadeqaktlh, cnei0h8qtnmr9n9ojtm029uj9, e1ydpg4lqw2pnidfbsciv9pm1, boa0e436nc3u53cumlao9ulex, 36ylt0kjn7t0vajmelu4mbazu, bqq4tqw6tp68c1fya04onf6c5, 310zaj8t3k4c8aj54ml0n0kx5, 4gsebdl04os3v9mjhhkamnn1m, 6ynchgp6o4tajwvnfdnoo11at, 2bfbi3t4aufb47wwt56ilzoyc, 4lg41m643jf18dgax298bufpw, 7rvgrqf0ktsepvwpj0osy5pzp, qooxolimrpdm50kl9woa6jje, cwtefikj4d22g8dr4c200pwtm, 2gkxanzyj7yoadakl2j6tfggk, 9vwdme2e657vrezfixnimrv85",3962446705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962446709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962446703,130,8,3962446701,59,"1, 94, 3, 15, 22, 5, 28, 2, 19, 23, 10, 4, 6, 11, 24, 25, 26, 31, 40, 92",3962446707,194,dvtd4xsoihe7srn69irnng5w5,3962446699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494438495,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-01T13:09:56.086Z,2023-01-01T14:04:24Z,3962447089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962447083,130,8,3962447085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962447077,30,"6oi4a3g56xe76g0gg38knmzmd, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 7cty3nkd7c84e16537v6y1djp, cyz9jisw86vjjf85xxgbae0yy, 996i59930r3kd4xk48x9fsp2h, dg4782hj9xdqg46w225kzph5g, 3hiehiu25aufrc0q9890haqc5, 33jtnv5kyzyw1it7y9czhn4a2, 44o5mjglkzqxctz07ust9bcru, 2tc8y9du64tjno62zll2jhy7e, 2abpo4w3jcxp1wzp50yypxsrt, 466ev7tumk8flx0gz9d0h15d6, e32urdrdkp44zmnt6ptg0k12i, d5hzf2vv84jfne8ijsdjqd52h, 38cotevgsirv0csora7bar3vu, e83sc1gnj31vgpo9u6fknmfvt, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a, 3cy6mfbd2vlj9fa1xz2ow3949",3962457311,197,15136,3962447087,194,3hiehiu25aufrc0q9890haqc5,3962447081,59,"1, 24, 25, 8, 4, 3, 11, 6, 13, 10, 22, 7, 9, 12, 17, 18, 21, 29, 70, 77",3962447079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440371,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-01-01T14:00:04.468Z,2023-01-01T20:20:07Z,3962457469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440373,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-01T14:00:04.468Z,2023-01-01T14:00:06Z,3962457471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440377,4,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,50.1,49.3,2023-01-01T14:00:04.474Z,2023-01-02T03:46:08Z,3962457493,141,48.2,3962457495,212,1.0,3962457489,56,Back,3962457497,213,3.9,3963165623,278,,3963043933,178,,3962457491,140,49.4,3962463389,279,S,36ylt0kjn7t0vajmelu4mbazu,A. Sima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440381,5,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,50.9,47.7,2023-01-01T14:00:04.881Z,2023-01-02T04:26:47Z,3962457511,212,10.7,3962457507,141,49.3,3963044037,178,,3962457505,140,40.8,3962457503,56,Back,3962457513,213,3.0,,,,,,,bqq4tqw6tp68c1fya04onf6c5,A. Hunou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440375,3,43,1,0,1,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-01-01T14:00:05.568Z,2023-01-01T14:05:15Z,3962457483,279,S,3962457477,141,52.8,3962463303,144,1,3962457475,140,47.2,3962457479,212,3.5,3962457473,56,Back,3962457481,213,2.6,,,,bqq4tqw6tp68c1fya04onf6c5,A. Hunou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440385,6,1,1,0,1,75qj99fhg5c0ztj2tva5u4uii,1,42.2,49.9,2023-01-01T14:00:05.952Z,2023-01-02T04:26:46Z,3962457519,140,39.5,3962457521,141,52.0,3963044129,178,,3962457517,56,Back,3962457523,212,3.2,3962457525,213,2.7,,,,,,,dvtd4xsoihe7srn69irnng5w5,P. Capelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440393,7,1,1,0,2,75qj99fhg5c0ztj2tva5u4uii,0,40.6,52.6,2023-01-01T14:00:07.389Z,2023-01-02T04:26:46Z,3962457571,212,45.0,3962457565,56,Right,3962457563,155,,3962457569,141,0.9,3962457567,140,67.4,3962457575,1,,3962457573,213,5.4,3963044157,178,,boa0e436nc3u53cumlao9ulex,B. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440389,3,44,1,0,6,70nn27vgkt6l48lvv5e66q7ww,1,23,98.9,2023-01-01T14:00:10.804Z,2023-01-02T04:26:45Z,3962457545,56,Back,3962457547,285,,3962457583,233,8,,,,,,,,,,,,,,,,538zux65h0l9028fpf4v1g0r9,V. Le Goff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
