id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/20/value
2534643429,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-04-16T14:32:41.081Z,2023-04-16T15:03:42Z,4195639215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195639205,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195639203,30,"6oi4a3g56xe76g0gg38knmzmd, 31ur1f7xmxndnnabhrxyov6xh, 538zux65h0l9028fpf4v1g0r9, 3hiehiu25aufrc0q9890haqc5, 38cotevgsirv0csora7bar3vu, 996i59930r3kd4xk48x9fsp2h, 2abpo4w3jcxp1wzp50yypxsrt, e83sc1gnj31vgpo9u6fknmfvt, 8vlfwoquq3v68mb9ax1pk5fkk, 60no437awq8i5th7nlffh3dn9, 2tc8y9du64tjno62zll2jhy7e, 3f2e9orrwiljklmmzwh2m7uvo, 7cty3nkd7c84e16537v6y1djp, 466ev7tumk8flx0gz9d0h15d6, 2qkesslfmzmgt7igvgosixg8a, e32urdrdkp44zmnt6ptg0k12i, 8n0560evn4ni29dw9xece45ey, 82vd1yj7qfu886hun5t9ee4mh, 6790uxmc1zs4emxtqf7vl6imt, 1cyf4ify8xpgv0shxodyt2q6s",4195639213,194,3hiehiu25aufrc0q9890haqc5,4195639209,130,7,4195794871,197,16104,4195639211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195639207,59,"1, 2, 25, 19, 18, 3, 7, 21, 11, 17, 22, 33, 8, 9, 10, 12, 29, 34, 38, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534643647,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-04-16T14:32:53.346Z,2023-04-16T15:03:40Z,4195640359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195640357,130,2,4195640351,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, 2rio84cmao72sc7lnsodwzzhm, 2xmc0gsdslrnsu6ua40kbh32t, a2s2c6anax9wnlsw1s6vunl5h, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 8xitc97j4scfajm8ucq7e5l91, 3sby91ws28mb3yt82a9al75sk, cyz9jisw86vjjf85xxgbae0yy, rn17zrbsh1g9r1tj4xyvhgr8",4195640363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195640355,59,"16, 2, 12, 19, 6, 3, 27, 4, 31, 10, 17, 9, 14, 15, 18, 21, 30, 42, 34, 44",4195794775,197,649,4195640361,194,a2s2c6anax9wnlsw1s6vunl5h,4195640353,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675095,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-04-16T15:04:35.738Z,2023-04-16T15:04:36Z,4195798885,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675113,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-04-16T15:04:35.738Z,2023-04-16T21:11:40Z,4195798923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675149,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,50,50,2023-04-16T15:04:35.755Z,2023-04-16T21:19:47Z,4195799127,141,53.7,4195799133,279,S,4195799129,212,17.7,4197199439,178,,4195799123,56,Back,4195799131,213,3.0,4195799125,140,33.3,,,,e83sc1gnj31vgpo9u6fknmfvt,J. Ponceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675171,4,1,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,34.7,47.7,2023-04-16T15:04:37.132Z,2023-04-17T00:59:27Z,4195799237,56,Back,4195799241,141,48.0,4195799239,140,31.2,4195799245,213,3.1,4197200221,178,,4195799243,212,3.7,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675235,5,1,1,0,2,70nn27vgkt6l48lvv5e66q7ww,1,34.5,44.5,2023-04-16T15:04:38.451Z,2023-04-17T00:59:26Z,4195799545,155,,4195799553,212,45.5,4195799555,213,0.5,4195799551,141,78.5,4195799549,140,71.8,4195799557,1,,4197200357,178,,4195799547,56,Center,38cotevgsirv0csora7bar3vu,B. Meité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675255,6,1,1,0,5,70nn27vgkt6l48lvv5e66q7ww,1,74,80.6,2023-04-16T15:04:41.528Z,2023-04-17T00:59:26Z,4195799631,3,,4195799637,140,73.5,4195799639,141,83.4,4195799641,212,2.0,4197200641,388,,4195799633,168,,4195799635,56,Left,4195799643,213,1.8,8vlfwoquq3v68mb9ax1pk5fkk,B. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675265,7,61,1,0,6,70nn27vgkt6l48lvv5e66q7ww,0,75.6,83.1,2023-04-16T15:04:42.052Z,2023-04-17T00:59:26Z,4195799685,56,Left,4197201211,178,,,,,,,,,,,,,,,,,,,,2tc8y9du64tjno62zll2jhy7e,Y. Cathline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534675225,3,49,1,0,7,4t4hod56fsj7utpjdor8so5q6,1,23.8,20.7,2023-04-16T15:04:42.959Z,2023-04-17T00:59:25Z,,,,,,,,,,,,,,,,,,,,,,,,,adb8skc3qbvgunhzd9651lij8,Vanderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
