id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2509149339,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-18T15:12:45.655Z,2023-02-18T16:00:30Z,4039757655,59,"1, 23, 26, 28, 25, 4, 16, 19, 9, 24, 10, 8, 11, 14, 21, 33, 35, 37, 55, 77",4039757657,130,4,4040236091,197,15912,4039757661,194,azuc3tma44xyrbgf5y279o1xx,4039757651,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, 7sep6mx2s67mh5fr3raxu7aei, e7e68wlpiqqohpg71oh4vrbl6, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 5o0h8eeydl8t92qp3ywekqh1x, 6j0ogojh2b7poyceg7i3k09yi, 33jtnv5kyzyw1it7y9czhn4a2, 7fcq014jmdb0uqldcts6tglat, ct32113pfx5q9avf2c0x208ru, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 2kgvn1lt5yjsixg13fj0cidt6, 9yjtdz1toq241g6cgdty94lck, c0dvcjq2rfqs3jj5g5v2m5zsa, cjgrtf1xc97ir3b64cnl9ecyc, 7c0y2e3949kvohxadzfbmct7t, 9tqbuv5f466mzo4fx4ll0drvu",4039757663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039757659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039757653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509155051,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-02-18T15:15:14.040Z,2023-02-18T16:03:03Z,4039788533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039788529,59,"94, 32, 25, 17, 43, 5, 39, 21, 29, 70, 11, 3, 4, 8, 9, 10, 19, 48, 49, 96",4039788531,130,8,4039788525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040241633,197,17273,4039788519,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, fvd7y3f6948713acbas7w3u2, 8zo4abj7d3ut3cry9tcsoglw, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, ccu7hw3wrcspl1a18g2ldnsh5, 18b0ti0bsq68842kgbczsbgmh, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 2lvit204llltk13iglsa2tjah, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, 7ty1wdxxnusgkl34k5raipbl5, 34qnp7hi8hr2xtmxnxyv6hxjo, 6thbb2kineeyc4n6djxywl5as, 4scfsr0qvjnh8jxrdnld9b0lx",4039788537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039788535,194,976riwm0dz0e74d4l28y3ttcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242051,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-02-18T16:00:39.889Z,2023-02-18T16:00:40Z,4040250821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242063,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-18T16:00:39.889Z,2023-02-18T22:09:02Z,4040250863,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242135,3,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,50.1,49.8,2023-02-18T16:00:39.925Z,2023-02-19T00:53:43Z,4042298065,178,,4040251199,213,3.8,4040251191,140,37.4,4040251201,279,S,4040251187,56,Back,4040251197,212,16.3,4040251195,141,36.0,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242145,4,1,1,0,2,3c3jcs7vc1t6vz5lev162jyv7,1,38.8,46.9,2023-02-18T16:00:42.234Z,2023-02-19T04:28:42Z,4040251263,212,15.2,4042298361,178,,4040251241,141,65.6,4040251239,140,30.9,4040251237,56,Back,4040251265,213,2.1,,,,,,,96wcx761pzv5ub4sfwsynp51x,A. Matusiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242225,5,1,1,0,5,3c3jcs7vc1t6vz5lev162jyv7,1,29.4,70.2,2023-02-18T16:00:45.245Z,2023-02-19T04:28:41Z,4040251615,212,16.4,4040251617,213,1.4,4040251613,141,93.7,4042298475,178,,4040251611,140,32.8,4040251609,56,Back,,,,,,,976riwm0dz0e74d4l28y3ttcl,Y. Abdelhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242285,6,1,1,0,10,3c3jcs7vc1t6vz5lev162jyv7,1,35.8,98.2,2023-02-18T16:00:50.491Z,2023-02-19T04:28:40Z,4040251973,213,6.0,4042298615,178,,4040251969,141,79.1,4040251971,212,40.1,4040251963,155,,4040251967,140,71.9,4040251965,56,Left,4040251975,1,,e1gq9zfwrm446r2tzmeiw6jmx,T. De Smet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242291,7,1,1,0,12,3c3jcs7vc1t6vz5lev162jyv7,0,65.1,79.5,2023-02-18T16:00:52.766Z,2023-02-19T04:28:39Z,4040252007,213,0.8,4040252005,212,11.5,4040251999,56,Left,4042298815,388,,4040252001,140,72.7,4040251997,3,,4040252003,141,91.7,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509242303,3,61,1,0,14,bx0cdmzr2gwr70ez72dorx82p,0,33.8,12,2023-02-18T16:00:54.367Z,2023-02-19T04:28:39Z,4042298975,178,,4042298973,21,,4040252053,56,Back,,,,,,,,,,,,,,,,8f3bhiy6r5eei1n25exhbwr8p,J. Lotomba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
