id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2527558337,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-04-02T14:10:22.997Z,2023-04-02T15:00:51Z,4157991101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158294149,197,649,4157991089,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, adb8skc3qbvgunhzd9651lij8, 2rio84cmao72sc7lnsodwzzhm, rn17zrbsh1g9r1tj4xyvhgr8, a2s2c6anax9wnlsw1s6vunl5h, 28x7i681wkjueanvkevew3bh1, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 8xitc97j4scfajm8ucq7e5l91, 2xmc0gsdslrnsu6ua40kbh32t, 3sby91ws28mb3yt82a9al75sk, cyz9jisw86vjjf85xxgbae0yy, 72m5u1rlgh6e229zpfvp7f5jp",4157991097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157991099,194,a2s2c6anax9wnlsw1s6vunl5h,4157991095,130,2,4157991093,59,"16, 26, 12, 19, 6, 3, 2, 4, 44, 10, 17, 14, 15, 18, 21, 30, 31, 42, 34, 77",4157991091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527565759,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-04-02T14:15:58.804Z,2023-04-02T15:12:56Z,4158029767,194,2vgr8c97x4b2e51tyvvixusid,4158029757,30,"2vgr8c97x4b2e51tyvvixusid, egtyl4noukbjkm1va1i11e87o, 17acodpsoxkhha2iem2465ivp, 7z1gixk4hvbbgo71xgb04942x, 7bba28af7hqhh7ruo91x2mk9g, 7atxpldexe9adg8ft1wbjndud, d394go61g90f1u6bddu1narit, 88nw24pkg2ikj9c91tccvqol, f0busiccqoe2jg69st02ngfe1, bndkgzdolm2c3iteenkv8s3it, wg9qybhs3qeq9awhux331uqx, eo47h2ekymiisj3kry3og7tgp, 42vsnv2j6emkbynforgon4n2t, 53nd6a4o02ebb0w2s12prijje, cb6w7n7n1eh9huwzyzvgmdxih, 6myeb7x322kbw504ecbvhu904, 1k1zsipuhr1o3hv17j4uiz5uy, 8axjyioicdx8i2zkhcb79c9yi, 3zkkrq8sph1lo23bt8d1nz10, 1hlvnmu8we38d44sdexhhxcyd",4158029763,130,19,4158029761,59,"1, 19, 3, 22, 29, 32, 8, 6, 12, 20, 17, 5, 14, 18, 27, 31, 34, 38, 40, 77",4158296217,197,8123,4158029769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158029765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158029759,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618359,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-04-02T15:05:23.682Z,2023-04-02T15:05:25Z,4158309645,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618339,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-04-02T15:05:23.682Z,2023-04-02T22:55:51Z,4158309545,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618363,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,50,50,2023-04-02T15:05:23.732Z,2023-04-02T23:14:21Z,4159867797,178,,4158309677,213,3.7,4158309671,140,34.1,4158309673,141,35.5,4158309679,279,S,4158309669,56,Back,4158309675,212,19.4,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618427,4,1,1,0,3,4t4hod56fsj7utpjdor8so5q6,0,35.4,39.3,2023-04-02T15:05:26.705Z,2023-04-03T02:33:10Z,4159868063,178,,4158309985,140,91.7,4158309989,212,59.9,4158309981,155,,4158309991,213,6.1,4158309983,56,Center,4158309993,1,,4158309987,141,25.2,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618423,3,52,1,0,8,71ajatxnuhc5cnm3xvgdky49w,1,9.1,70.8,2023-04-02T15:05:32.463Z,2023-04-03T02:33:09Z,4159868333,178,,4159089161,376,,,,,,,,,,,,,,,,,,,,2vgr8c97x4b2e51tyvvixusid,M. Sels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618597,4,1,1,0,18,71ajatxnuhc5cnm3xvgdky49w,1,13.6,50.8,2023-04-02T15:05:41.939Z,2023-04-03T02:33:09Z,4158310905,199,,4158310917,1,,4158310913,212,48.1,4158310909,140,55.0,4158310911,141,81.0,4158310915,213,0.4,4158310907,56,Left,,,,2vgr8c97x4b2e51tyvvixusid,M. Sels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618625,5,1,1,0,20,71ajatxnuhc5cnm3xvgdky49w,1,55.8,72.7,2023-04-02T15:05:44.610Z,2023-04-03T02:33:08Z,4159868779,178,,4159868781,21,,4158311041,213,1.8,4158311039,212,10.4,4158311035,140,53.5,4158562671,156,,4158311037,141,87.6,4158311033,56,Left,bndkgzdolm2c3iteenkv8s3it,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527618657,6,1,1,0,23,71ajatxnuhc5cnm3xvgdky49w,1,56.1,80.8,2023-04-02T15:05:47.244Z,2023-04-03T02:33:08Z,4158311215,212,23.9,4159869873,21,,4159869871,178,,4158311217,213,0.4,4158311213,141,95.9,4158311211,140,76.7,4158311209,56,Left,,,,wg9qybhs3qeq9awhux331uqx,J. Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
