id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2475436943,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-10-22T14:13:39.771Z,2022-10-22T15:23:59Z,3862245501,130,18,3862245487,30,"d3mss0i879krqrk1owzmj2c45, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, aaaskdins76bd0368sbpt7wq2, aftis8f2ahy7dhk5bp8co4q1h, e9mtpmkb4qj2gqyv966g9ulpm, 79dz7zni5fcgh5e70spoj2j8p, 3vu0c0j8n99wz6e2f7fmd2pxx, 412hlm2edd05jd1ad597brcvd, d9zax4y92d85x7j63kg7ckvkl, f4cykd65su8xbme6xdc1iw7o5, 9mory3y7p8aku035r2kxtvz6d, 79nno03ww57p02dz5o0g60rqi, 8rcole4a6y4fkamv87q3hqk0l, 7c5uk1ts8jlu88p1x6wubuz8p, 1ehcji0j9s8b0qsj8v5zinjvu, 46acb400oivj94jwu3i3lrxsl, 7ef73s1ryz38blmo3n9p9c82x, 6ovea0xzg9yflmlbjdf1xcmlm, 7to9ns7mkuji0ciwh1ufkq3md",3862245497,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3862289347,194,f4cykd65su8xbme6xdc1iw7o5,3862987827,197,643,3862245503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3862245505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3862245499,59,"1, 27, 3, 4, 17, 2, 6, 23, 8, 9, 10, 7, 11, 12, 15, 18, 21, 22, 24, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475448971,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-22T14:18:53.099Z,2022-10-22T15:34:49Z,3862310795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3862310789,130,8,3862310785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3862310787,59,"1, 29, 31, 12, 6, 14, 10, 22, 21, 11, 27, 2, 7, 9, 13, 18, 19, 77, 90, 99",3862310793,194,8yirlj1hpoqnuczpywgzlblxx,3862723821,197,651,3862310783,30,"3z6ekzop4y7cjuatzz9ua74k5, 1k6t5y26ufw2e6gh33tni45ey, azcv772qzdbz1exafx3od6lt5, 7teasnynvwarky180hl6zvkk5, 2snhhbt5230mm0rxigcqitqdx, 3izhfm7i4afomephw07mp4nsa, 71bl8lyjtmzn8ebwulcjnmu39, cr1n1i96xlepbvk90nl87o4yc, 16idj1wxzcbvuaov5duvpqhyi, 8yirlj1hpoqnuczpywgzlblxx, 5w9g9gfeucuccwxd09o62f84p, 8cawa8470beg2ce0as7hv5psl, 6ir1z8c3o7t4kqx04kw24i415, 1yj1kt2cx24nn4zt5h1ma1olx, 7za8h1pgec0y2s1ihmkkfvpm2, 230qvyk9dg4plwzobjj6thmqy, 8ikvcyvko9qou241buomqqv6y, 859tcp8023r5cki7uju30l9t5, a065rtv2lfh0rso33dfuah4ut, d8m8y59eum57eu7kiat38rkk5",3862310791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528305,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-10-22T15:00:12.617Z,2022-10-22T15:00:12Z,3862738437,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528315,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-22T15:00:12.617Z,2022-10-22T23:08:03Z,3862738483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528323,3,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,49.8,50.1,2022-10-22T15:00:12.701Z,2022-10-22T23:22:00Z,3862738507,140,45.8,3864869835,178,,3862738505,56,Back,3862738513,212,5.6,3862738515,213,2.4,3862738509,141,55.5,3862738519,279,S,,,,d9zax4y92d85x7j63kg7ckvkl,M. Dembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528355,4,1,1,0,1,121le8unjfzug3iu9pgkqa1c7,1,45.7,54.6,2022-10-22T15:00:14.165Z,2022-10-23T02:16:48Z,3862738705,212,12.1,3862738707,213,3.2,3864870033,178,,3862738703,141,52.7,3862738697,56,Back,3862738699,140,34.2,,,,,,,412hlm2edd05jd1ad597brcvd,H. Aouar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528369,5,1,1,0,3,121le8unjfzug3iu9pgkqa1c7,1,36.4,52.7,2022-10-22T15:00:15.967Z,2022-10-23T02:16:47Z,3862738769,141,72.0,3864870095,178,,3862738771,212,13.3,3862738767,140,34.2,3862738773,213,1.7,3862738765,56,Back,,,,,,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528411,6,1,1,0,4,121le8unjfzug3iu9pgkqa1c7,1,36.6,69.9,2022-10-22T15:00:16.791Z,2022-10-23T02:16:47Z,3864870283,178,,3862738977,213,3.4,3862738957,56,Back,3862738965,141,63.1,3862738973,212,17.4,3862738961,140,20.6,,,,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528445,7,1,1,0,8,121le8unjfzug3iu9pgkqa1c7,1,22.4,59,2022-10-22T15:00:20.906Z,2022-10-23T02:16:45Z,3862739153,213,5.0,3862739149,141,10.3,3864870361,178,,3862739151,212,34.1,3862739145,56,Back,3862739147,140,30.2,3865143045,1,,,,,aftis8f2ahy7dhk5bp8co4q1h,J. Boateng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475528521,8,1,1,0,11,121le8unjfzug3iu9pgkqa1c7,1,33.7,17,2022-10-22T15:00:24.316Z,2022-10-23T02:16:44Z,3862739517,141,2.2,3862739515,140,54.5,3862739521,213,5.9,3864870453,178,,3862739513,56,Right,3862739519,212,24.0,,,,,,,e9mtpmkb4qj2gqyv966g9ulpm,S. Diomandé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
