id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/12/value
2506957851,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-02-12T13:08:19.789Z,2023-02-12T14:06:16Z,4028178759,59,"40, 77, 3, 18, 6, 4, 7, 12, 21, 11, 27, 9, 13, 14, 22, 29, 36, 75, 90, 99",4028178767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028178763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028372849,197,651,4028178765,194,8yirlj1hpoqnuczpywgzlblxx,4028178757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028178755,30,"6wfwy94p5bm0zv3aku0urfq39, 859tcp8023r5cki7uju30l9t5, ccc0ytvrgtomxfunopwy2kij9, 230qvyk9dg4plwzobjj6thmqy, 2snhhbt5230mm0rxigcqitqdx, daevawz3r1bzlhcbr7mj12h9l, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, 16idj1wxzcbvuaov5duvpqhyi, 8yirlj1hpoqnuczpywgzlblxx, 5w9g9gfeucuccwxd09o62f84p, 1yj1kt2cx24nn4zt5h1ma1olx, 7za8h1pgec0y2s1ihmkkfvpm2, 3izhfm7i4afomephw07mp4nsa, cr1n1i96xlepbvk90nl87o4yc, 1k6t5y26ufw2e6gh33tni45ey, c9cz1c96qve4i4li6jjqhkcno, f2wjw84p0ztxt636u2ibnoxxx, a065rtv2lfh0rso33dfuah4ut, d8m8y59eum57eu7kiat38rkk5",4028178761,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506960829,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-02-12T13:11:07.610Z,2023-02-12T13:58:44Z,4028192235,130,7,4028369527,197,4735,4028192227,30,"7h2icfuwy00ilm14dw5xyl5g5, ef2n7d6rysar49toiz2k3obth, 7mn6lue4zatldcxp0gd7kt8mh, dl4e5ojyhccj6w0vgksfzvmxh, c4yip4bf8il4gnxnhcb381b3e, 3zyw4328iilwrttjoww1wctlh, aoe90w0oopw8h5ipktpmme9cl, 36yupk7p1vks4dbguw53xhucp, 5yg9ljo5pf1lo2xk74d0k240l, 5lfki1zoxd4l96hjbr2rw3d2h, 3imcuejzt9r6zvvv1xbn5jbl6, 2ds26ub6ho0baamsjcmh7mmfo, 1ixibe50te4j2gjhbufm72aui, bl4lretp33t0jj3icujkf45p1, dom1dzrvk7y4sd8puf8iztn11, 32bc16sg6h58ajxigp7nl1ryt, 7z8bpxyfd31hb5ehkaina1ap6, 7mjc5a2k7wz4flem6upj5u1w4, 7nlijkywjl13h3ks132026iok, 3r04y1fejoh9e8qbge3exy3u1",4028192243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028192231,59,"40, 27, 3, 20, 4, 23, 17, 45, 15, 8, 22, 28, 1, 2, 7, 10, 18, 37, 97, 99",4028192241,194,dl4e5ojyhccj6w0vgksfzvmxh,4028192229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028192239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000287,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-02-12T14:01:15.193Z,2023-02-12T14:01:19Z,4028377597,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000275,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-02-12T14:01:15.193Z,2023-02-12T20:56:27Z,4028377535,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000369,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,49.9,50.1,2023-02-12T14:01:15.445Z,2023-02-13T03:14:24Z,4028377995,56,Center,4028378005,279,S,4028377997,140,52.0,4028378003,213,0.8,4030388849,178,,4028378001,212,3.2,4028377999,141,53.6,,,,16idj1wxzcbvuaov5duvpqhyi,E. Wahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000371,4,1,1,0,1,2cjpmotqo8phcqfpgo9xf4gel,1,53.2,54.3,2023-02-12T14:01:17.150Z,2023-02-13T06:43:49Z,4028378019,213,2.1,4028378011,56,Back,4030388861,178,,4028378017,212,12.1,4028378013,140,47.3,4028378015,141,69.6,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000393,5,1,1,0,3,2cjpmotqo8phcqfpgo9xf4gel,1,47.8,66.4,2023-02-12T14:01:18.331Z,2023-02-13T06:43:49Z,4028378115,213,1.5,4028378113,212,18.9,4030388869,178,,4028378107,140,48.5,4028378111,141,94.2,4028378103,56,Back,,,,,,,230qvyk9dg4plwzobjj6thmqy,L. Leroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000445,6,1,1,0,6,2cjpmotqo8phcqfpgo9xf4gel,1,49.8,95.8,2023-02-12T14:01:21.259Z,2023-02-13T06:43:47Z,4028378341,141,95.0,4028378339,140,80.5,4030388877,178,,4028378345,213,6.3,4030461861,1,,4028378337,56,Left,4028378343,212,32.2,,,,ccc0ytvrgtomxfunopwy2kij9,I. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000457,7,61,1,0,7,2cjpmotqo8phcqfpgo9xf4gel,0,72.6,94.6,2023-02-12T14:01:22.741Z,2023-02-13T06:43:47Z,4028378397,56,Left,4030388899,178,,,,,,,,,,,,,,,,,,,,5w9g9gfeucuccwxd09o62f84p,F. Maouassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507000437,3,49,1,0,9,3adj8hkws0z1al232bg2h6tk0,1,11.5,7.2,2023-02-12T14:01:24.989Z,2023-02-13T06:43:47Z,,,,,,,,,,,,,,,,,,,,,,,,,ef2n7d6rysar49toiz2k3obth,K. Lala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
