id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/12/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2472846015,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2022-10-16T12:16:13.952Z,2022-10-16T12:57:48Z,3848608045,30,"f0e5posm9z0oma2t3u9k1qy95, a0o34jherpgziz52ri0zxms45, 4a7x84pflda40oka94y36gwk, 8zc2u2dfrokzg3domqmt30s0l, crjrpkb5p430hludk5acmhjv9, 53yrdwlr1pw23bxyxfg85npat, 9yfnfwqog4y572aoe2iztnbv9, cg1j982govx2perwr3rv33t1x, d3y4csfpvhzcowlusw9xe32eh, adswn2xpomwsi7zh022787mne, 6tedvat245ajkir9c4035i0np, 7k0r5crdh9blj3edt31zwy0dm, 9dzyrffyz77zqmptudhdrh8lx, ctygavkrblcxra880nwej0bf9, oc04nz0mrmzeqpcbql3rbhlh, 7rxtf7xgbve0elx0uefl5f310, 3g217lvxyrxlzsyp0rmlvglp1, bxb5trtzllty8eqteifyw4zit, 2h7a11gp7bb34j8oa4tv3aaxh, 32ehg1wm714059vyzgltxy28l",3848608053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848819239,197,654,3848608051,130,8,3848608057,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848608047,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848608049,59,"1, 12, 29, 5, 3, 4, 10, 8, 31, 14, 27, 7, 11, 16, 17, 19, 21, 24, 30, 55",3848608055,194,f0e5posm9z0oma2t3u9k1qy95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472850803,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-10-16T12:20:31.095Z,2022-10-16T13:10:55Z,3848633537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848633531,130,8,3848633527,59,"40, 99, 21, 20, 4, 3, 9, 7, 13, 29, 10, 2, 8, 14, 18, 22, 30, 11, 45, 97",3848633521,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, 6oaqk4pdojnlefa3zubsysmvp, dl4e5ojyhccj6w0vgksfzvmxh, c4yip4bf8il4gnxnhcb381b3e, 7mn6lue4zatldcxp0gd7kt8mh, e0hk5aepnpo7cne006zwahfx1, dom1dzrvk7y4sd8puf8iztn11, 9jiectkc8rk0ivxn80l87ic45, 3ynh418z6f6bfjz674vs40f6x, 32bc16sg6h58ajxigp7nl1ryt, bl4lretp33t0jj3icujkf45p1, 5lfki1zoxd4l96hjbr2rw3d2h, 8b40ap862z6ynvmgah0vjces5, 7z8bpxyfd31hb5ehkaina1ap6, 3imcuejzt9r6zvvv1xbn5jbl6, btm657ozudwbxx16twjs0vp49, e6se9kft2lf9hs92rof2pnn6c, 36yupk7p1vks4dbguw53xhucp, 7nlijkywjl13h3ks132026iok",3848893807,197,4735,3848633533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848633523,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848633535,194,dl4e5ojyhccj6w0vgksfzvmxh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888781,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2022-10-16T13:00:10.664Z,2022-10-16T19:13:18Z,3848826421,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888765,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-10-16T13:00:10.664Z,2022-10-16T13:00:10Z,3848826351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888809,3,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,50.1,49.7,2022-10-16T13:00:10.765Z,2022-10-16T19:30:05Z,3848826525,279,S,3850691081,178,,3848826515,140,41.6,3848826521,212,11.2,3848826523,213,3.8,3848826519,141,39.8,3848826511,56,Back,,,,9jiectkc8rk0ivxn80l87ic45,I. Slimani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888853,4,1,1,0,1,3adj8hkws0z1al232bg2h6tk0,1,41.1,43.8,2022-10-16T13:00:12.420Z,2022-10-17T02:32:49Z,3848826735,141,67.2,3848826737,212,23.4,3848826731,56,Back,3850691195,178,,3848826739,213,2.4,3848826733,140,24.8,,,,,,,dom1dzrvk7y4sd8puf8iztn11,H. Belkebla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888959,5,1,1,0,4,3adj8hkws0z1al232bg2h6tk0,0,26.2,67.2,2022-10-16T13:00:15.321Z,2022-10-17T02:32:48Z,3848827167,141,81.0,3848827161,155,,3848827169,212,43.4,3848827163,56,Left,3848827173,1,,3850691431,178,,3848827165,140,66.6,3848827171,213,0.2,7mn6lue4zatldcxp0gd7kt8mh,L. Brassier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888897,3,44,1,0,7,750ustvk4jfqmo8q4gnrcxy7z,1,41.5,22.6,2022-10-16T13:00:17.801Z,2022-10-17T02:32:48Z,3848826919,56,Back,3848826921,285,,3848827247,233,6,,,,,,,,,,,,,,,,a0o34jherpgziz52ri0zxms45,D. Appiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888967,6,44,1,0,7,3adj8hkws0z1al232bg2h6tk0,0,58.5,77.4,2022-10-16T13:00:17.802Z,2022-10-17T02:32:48Z,3848827193,56,Center,3848827279,233,3,3848827195,286,,,,,,,,,,,,,,,,,32bc16sg6h58ajxigp7nl1ryt,R. Del Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888925,4,1,1,0,7,750ustvk4jfqmo8q4gnrcxy7z,0,41.2,22.4,2022-10-16T13:00:17.843Z,2022-10-17T02:32:47Z,3848827011,213,1.0,3850691689,388,,3848827005,140,46.2,3848827003,56,Back,3848827009,212,9.5,3848827001,3,,3848827007,141,34.0,,,,a0o34jherpgziz52ri0zxms45,D. Appiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
