id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2519129753,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-03-12T13:15:58.970Z,2023-03-12T14:07:41Z,4092527003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092527019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092526999,59,"1, 21, 26, 4, 25, 55, 28, 19, 9, 35, 11, 8, 14, 16, 23, 24, 37, 40, 42, 90",4092527005,194,azuc3tma44xyrbgf5y279o1xx,4092526997,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092527001,130,17,4092526995,30,"8govqd0xf8ijst50tgypaep5h, 2kgvn1lt5yjsixg13fj0cidt6, 7sep6mx2s67mh5fr3raxu7aei, azuc3tma44xyrbgf5y279o1xx, 7cp51c8zn7y08iyk0hc9ix5nt, 7c0y2e3949kvohxadzfbmct7t, e7e68wlpiqqohpg71oh4vrbl6, 6j0ogojh2b7poyceg7i3k09yi, 33jtnv5kyzyw1it7y9czhn4a2, c0dvcjq2rfqs3jj5g5v2m5zsa, dxeju5zcb6j8etdgwq0kweor9, vja0xo3xiuax8eh0b6q3y09, 5ak9fwtqlr2pll0nsv5br7p7u, 5o0h8eeydl8t92qp3ywekqh1x, 8f3bhiy6r5eei1n25exhbwr8p, 7fcq014jmdb0uqldcts6tglat, cjgrtf1xc97ir3b64cnl9ecyc, boru4r6jmb64ybfjlnbbtwdn8, 2e0ipswbkv4vf7lav6ee1j3oq, 8pgocmr00qw7b9919c8zh4bmx",4092697641,197,15912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519146435,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-03-12T13:36:46.545Z,2023-03-12T14:02:34Z,4092615557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092615555,194,f0e5posm9z0oma2t3u9k1qy95,4092615543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4092615549,130,8,4092615541,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, dzh403ofb9zatvornq0svb0gk, 8zc2u2dfrokzg3domqmt30s0l, crjrpkb5p430hludk5acmhjv9, 53yrdwlr1pw23bxyxfg85npat, oc04nz0mrmzeqpcbql3rbhlh, cg1j982govx2perwr3rv33t1x, adswn2xpomwsi7zh022787mne, 9yfnfwqog4y572aoe2iztnbv9, 6tedvat245ajkir9c4035i0np, ctygavkrblcxra880nwej0bf9, 3g217lvxyrxlzsyp0rmlvglp1, bxb5trtzllty8eqteifyw4zit, 1n0y675l767w55pipq5lgj1zp, d3y4csfpvhzcowlusw9xe32eh, f2nlxmduuyv2rggsp05nzxb84, 5i6p36ywmaoj1i26fl54th5d6, eja2nphte2kxb19bz108zk7is",4092615553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4092615545,59,"1, 28, 26, 5, 3, 4, 17, 8, 14, 10, 27, 16, 21, 24, 25, 31, 33, 38, 63",4092699043,197,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163671,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-03-12T14:00:14.570Z,2023-03-12T18:52:19Z,4092703117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163661,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-03-12T14:00:14.570Z,2023-03-12T14:00:14Z,4092703051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163677,3,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,49.7,49.9,2023-03-12T14:00:14.668Z,2023-03-12T18:59:22Z,4092703165,140,37.0,4092703173,279,S,4092703167,141,49.5,4092703163,56,Back,4094354677,178,,4092703169,212,13.3,4092703171,213,3.2,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163777,4,1,1,0,4,750ustvk4jfqmo8q4gnrcxy7z,0,34,36.2,2023-03-12T14:00:18.888Z,2023-03-13T00:26:31Z,4092703645,155,,4092703653,212,54.8,4092703647,56,Right,4092703649,140,84.0,4092703655,213,6.0,4094354795,178,,4092703657,1,,4092703651,141,13.2,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163771,3,49,1,0,8,bx0cdmzr2gwr70ez72dorx82p,1,15.2,82,2023-03-12T14:00:23.466Z,2023-03-13T00:26:30Z,,,,,,,,,,,,,,,,,,,,,,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163807,4,1,1,0,10,bx0cdmzr2gwr70ez72dorx82p,0,12.8,84.3,2023-03-12T14:00:24.603Z,2023-03-13T00:26:29Z,4092703991,236,,4092703793,157,,4092703801,212,3.6,4092703799,141,89.6,4092703997,286,,4094355493,178,,4092703805,1,,4092703795,56,Back,7sep6mx2s67mh5fr3raxu7aei,M. Bard,4092703993,233,5,4092703797,140,13.1,4092703803,213,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163823,5,74,1,0,10,750ustvk4jfqmo8q4gnrcxy7z,1,86.7,15.3,2023-03-12T14:00:24.613Z,2023-03-13T00:26:29Z,4092703903,285,,4092704003,233,4,4094355771,21,,4092703901,56,Right,4094355775,388,,,,,,,,,,,adswn2xpomwsi7zh022787mne,I. Ganago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163929,5,5,1,0,12,bx0cdmzr2gwr70ez72dorx82p,1,20.2,100.9,2023-03-12T14:00:26.628Z,2023-03-12T18:59:43Z,4092704345,56,Back,4092704393,233,6,4092704347,347,,,,,,,,,,,,,,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
