id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,assist,qualifier/13/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2531115533,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-04-09T14:16:49.997Z,2023-04-09T15:09:48Z,4176836289,59,"1, 28, 24, 8, 3, 21, 7, 17, 99, 25, 27, 10, 11, 14, 20, 29, 30, 31, 63, 93",4176836287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176867477,194,f0e5posm9z0oma2t3u9k1qy95,4176836297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176836295,197,654,4176836291,130,8,4176836285,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, bxb5trtzllty8eqteifyw4zit, cg1j982govx2perwr3rv33t1x, crjrpkb5p430hludk5acmhjv9, 3g217lvxyrxlzsyp0rmlvglp1, 7k0r5crdh9blj3edt31zwy0dm, oc04nz0mrmzeqpcbql3rbhlh, e3kdoxu1kwn2w3wwi1rqhvr9x, 1n0y675l767w55pipq5lgj1zp, 6tedvat245ajkir9c4035i0np, 9yfnfwqog4y572aoe2iztnbv9, 9dzyrffyz77zqmptudhdrh8lx, adswn2xpomwsi7zh022787mne, 1otm8rmlwrddxqeqelo6vhtec, 4a7x84pflda40oka94y36gwk, 2h7a11gp7bb34j8oa4tv3aaxh, d3y4csfpvhzcowlusw9xe32eh, eja2nphte2kxb19bz108zk7is, 6i3zlo12dwcjy0tcnls1e35k9",4176836293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531117689,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-04-09T14:19:26.130Z,2023-04-09T15:21:14Z,4176847581,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176847593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176847587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176847589,194,a2s2c6anax9wnlsw1s6vunl5h,4176847583,59,"16, 2, 12, 4, 6, 3, 27, 15, 10, 44, 17, 9, 14, 18, 21, 30, 31, 42, 34, 41",4176847579,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, 2rio84cmao72sc7lnsodwzzhm, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, 28s6z18rcl9v8561yzu7m0voq, a2s2c6anax9wnlsw1s6vunl5h, rn17zrbsh1g9r1tj4xyvhgr8, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, 9bqv99e39z86mn7dq3wnyt90p, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 8xitc97j4scfajm8ucq7e5l91, 2xmc0gsdslrnsu6ua40kbh32t, 3sby91ws28mb3yt82a9al75sk, cyz9jisw86vjjf85xxgbae0yy, d3pb7ybk0yv0hrjbr80vyx1xw",4176847591,197,649,4176847585,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146831,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-04-09T15:05:04.612Z,2023-04-09T21:26:07Z,4177002951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146825,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-04-09T15:05:04.612Z,2023-04-09T15:05:04Z,4177002931,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146841,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,49.9,49.9,2023-04-09T15:05:04.619Z,2023-04-09T22:09:33Z,4177002993,141,40.7,4177002995,212,17.9,4178293001,178,,4177002989,56,Back,4177002991,140,33.9,4177002999,279,S,4177002997,213,3.5,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146847,4,1,1,0,1,4t4hod56fsj7utpjdor8so5q6,1,36.2,43.3,2023-04-09T15:05:06.276Z,2023-04-10T02:53:33Z,4177003015,140,32.1,4177003021,213,2.4,4177003013,56,Back,4178293145,178,,4177003017,141,49.1,4177003019,212,5.8,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146867,5,1,1,0,3,4t4hod56fsj7utpjdor8so5q6,0,36.8,43.3,2023-04-09T15:05:08.014Z,2023-04-10T02:53:33Z,4177003121,140,84.5,4177003129,1,,4177003127,213,6.2,4177003123,141,38.6,4178293301,178,,4177003125,212,50.2,4177003119,56,Center,4177003117,155,,270djbc9lxhoupmd1djrii191,G. Maripán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146875,3,1,1,0,6,750ustvk4jfqmo8q4gnrcxy7z,1,15.7,64.5,2023-04-09T15:05:10.967Z,2023-04-10T02:53:32Z,4177003177,141,64.0,4177003179,212,6.7,4177003171,3,,4178293505,178,,4177003181,213,6.2,4177003175,140,22.1,4177003173,56,Back,,,,3g217lvxyrxlzsyp0rmlvglp1,J. Castelletto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146907,4,1,1,0,7,750ustvk4jfqmo8q4gnrcxy7z,1,24.2,64.6,2023-04-09T15:05:11.927Z,2023-04-10T02:53:32Z,4177003237,140,27.9,4178293713,178,,4177003243,213,6.3,4177003239,141,64.5,4177003231,3,,4177003241,212,3.9,4177003235,56,Back,4177003233,168,,cg1j982govx2perwr3rv33t1x,S. Moutoussamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531146911,5,49,1,0,8,750ustvk4jfqmo8q4gnrcxy7z,1,36.1,67.7,2023-04-09T15:05:13.607Z,2023-04-10T02:53:32Z,,,,,,,,,,,,,,,,,,,,,,,,,1n0y675l767w55pipq5lgj1zp,F. Mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
