id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2461081815,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-09-17T14:21:09.785Z,2022-09-17T14:57:37Z,3785966129,59,"1, 29, 31, 13, 6, 14, 7, 12, 21, 11, 99, 2, 9, 18, 19, 22, 28, 36, 77, 90",3785966131,130,8,3785966127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785966137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785966125,30,"3z6ekzop4y7cjuatzz9ua74k5, 1k6t5y26ufw2e6gh33tni45ey, azcv772qzdbz1exafx3od6lt5, 7za8h1pgec0y2s1ihmkkfvpm2, 2snhhbt5230mm0rxigcqitqdx, 3izhfm7i4afomephw07mp4nsa, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, 16idj1wxzcbvuaov5duvpqhyi, 8yirlj1hpoqnuczpywgzlblxx, d8m8y59eum57eu7kiat38rkk5, 8cawa8470beg2ce0as7hv5psl, 1yj1kt2cx24nn4zt5h1ma1olx, 230qvyk9dg4plwzobjj6thmqy, 8ikvcyvko9qou241buomqqv6y, cr1n1i96xlepbvk90nl87o4yc, yeqnier6uxsc3hcegcuethxw, c9cz1c96qve4i4li6jjqhkcno, 859tcp8023r5cki7uju30l9t5, a065rtv2lfh0rso33dfuah4ut",3785966133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785966135,194,8yirlj1hpoqnuczpywgzlblxx,3786338591,197,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461102167,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-09-17T14:31:12.480Z,2022-09-17T15:00:58Z,3786079057,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3786343545,197,16154,3786079045,30,"2vgr8c97x4b2e51tyvvixusid, 9hz4s6zmelmg4ix47xbre3q3t, 9ysk6656hj0na1hrizgt83k5x, d5at3cowukpxiptq5ozcbe6s5, eo47h2ekymiisj3kry3og7tgp, 7bba28af7hqhh7ruo91x2mk9g, wg9qybhs3qeq9awhux331uqx, 88nw24pkg2ikj9c91tccvqol, bndkgzdolm2c3iteenkv8s3it, 950o8rjqvnl5bnidq2dc3fglx, egtyl4noukbjkm1va1i11e87o, f0busiccqoe2jg69st02ngfe1, cb6w7n7n1eh9huwzyzvgmdxih, 6myeb7x322kbw504ecbvhu904, 97omevv757cjtlnlyy9rquzo4, 37cz15ino0r2io3c37lidgktm, 1k1zsipuhr1o3hv17j4uiz5uy, 3zkkrq8sph1lo23bt8d1nz10",3786079051,130,12,3786079047,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3786079053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3786079049,59,"1, 18, 11, 24, 5, 29, 17, 6, 20, 9, 19, 12, 27, 31, 37, 33, 34, 40",3786079055,194,9ysk6656hj0na1hrizgt83k5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152581,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-09-17T15:00:01.814Z,2022-09-17T20:44:58Z,3786347077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152613,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-09-17T15:00:01.814Z,2022-09-17T15:00:03Z,3786347227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152623,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,50,50,2022-09-17T15:00:01.904Z,2022-09-17T20:52:36Z,3786347301,141,50.3,3786347297,56,Back,3788148265,178,,3786347307,279,S,3786347299,140,48.6,3786347305,213,3.0,3786347303,212,1.5,,,,16idj1wxzcbvuaov5duvpqhyi,E. Wahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152649,4,1,1,0,2,2cjpmotqo8phcqfpgo9xf4gel,1,56.1,47.3,2022-09-17T15:00:03.906Z,2022-09-18T00:56:56Z,3788151945,178,,3786347445,212,14.0,3786347443,141,30.8,3786347439,56,Center,3786347447,213,5.4,3786347441,140,64.1,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152691,5,1,1,0,5,2cjpmotqo8phcqfpgo9xf4gel,1,72.9,22.2,2022-09-17T15:00:07.555Z,2022-09-18T00:56:54Z,3788153411,178,,3786347619,140,76.5,3786347617,56,Right,3786347625,212,11.8,3786347621,141,5.8,3786347629,213,5.0,,,,,,,6ir1z8c3o7t4kqx04kw24i415,A. Nordin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152721,6,1,1,0,8,2cjpmotqo8phcqfpgo9xf4gel,1,79.2,6.4,2022-09-17T15:00:10.358Z,2022-09-18T00:56:53Z,3786347801,56,Right,3786347809,213,2.8,3786347807,212,15.9,3786347805,141,14.0,3786347803,140,64.9,3788153587,178,,,,,,,,1k6t5y26ufw2e6gh33tni45ey,E. Tchato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152745,7,1,1,0,9,2cjpmotqo8phcqfpgo9xf4gel,0,67.6,13.5,2022-09-17T15:00:11.540Z,2022-09-18T00:56:53Z,3786347921,140,95.3,3786347915,2,,3788154047,178,,3786347917,155,,3786347919,56,Center,3787562417,224,,3786347929,1,,3786347927,213,0.9,7teasnynvwarky180hl6zvkk5,J. Ferri,3787562421,20,3786347925,212,48.1,3786347923,141,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461152749,3,12,1,0,13,71ajatxnuhc5cnm3xvgdky49w,1,6,32.7,2022-09-17T15:00:15.010Z,2022-09-18T00:56:53Z,3786347937,56,Back,3786347957,15,,3786347945,213,5.0,3786347943,212,24.3,3786347939,140,12.6,3786347997,167,,3786347941,141,0.0,3788154169,388,,9hz4s6zmelmg4ix47xbre3q3t,R. Pierre-Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
