id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/15/value
2509760905,1,34,16,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-02-19T11:09:09.345Z,2023-02-19T12:04:02Z,4043033125,59,"30, 18, 22, 28, 6, 3, 7, 21, 9, 20, 10, 4, 5, 8, 15, 16, 23, 25, 26, 35",4043033127,130,8,4043141311,197,15943,4043033121,30,"8h5jl1u3p8sr2pwdmyxl14416, 7c0b5fz3m1uw0fwpm051e6rfu, e5xxqwz0sdlwkkmp8bgs1k6w9, bfdco9clf3dwltaogfhv5v0et, e211nih87ou9t8crzjbbzhexh, 8jjep8bx1jpjuf8firxccc549, a35r6fa79ipqqktiff3uhz6j9, 31sljkjull0n7082fed26stzp, b8dd5q3n5irlkcv0ekzqhzc2x, 7nivkfkngr374fx5totgektm1, 3pz4ro9b1u6u45gs7d6apmo5x, avk0vktquq3oum9w6dyodlz6y, fij46jr9fq43444gr1y8tl9l, 17q3e6g2gvlnpwnzf9d6a9eqd, 6q793p9lurdevqmetgoke54wk, c1fcxha3l058brl1925muv2l1, 4st4hurqbtyzw1tbkzuuk78fe, 2t05pfvho7i9w9w01zcz3gz4l, 1zx0huwj0czivtoq6kvfb5roq, bt40tdni85hiz1gtkw0b6qmfo",4043033133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043033129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043033123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043033131,194,e211nih87ou9t8crzjbbzhexh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509762349,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-19T11:13:44.925Z,2023-02-19T11:57:29Z,4043040269,30,"4cetkl0w2uq40ccti5ka6a4t1, ausceoo438aoxbb6gl8tpes16, d3dv3vc71981v5oems59892sq, 7fmhqt5geme4yv9cfnsp5lec5, 9adbv1dl7dp7vze3b9sarerbp, 1qywnx1icmb4x7dbhhsck0vrp, cionsifzpx5rhc8es29wv6i95, 779rrkp47akkd5usq53begatx, c5ryhn04g9goikd0blmh83aol, 5e9ilgrz3tzg9kd1gk3yvrahh, f3v58fkymhrprt5gs0ccm29xx, 54w62kh31qyyu7tipmjlt95g5, 5qg0coudjinnt978myh4n4n2t, ckjcm9q26zd6q8tkq0go6oxcl, dsmcqfl0e1be4ag7czbnolo15, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6, 50kggsgofmeq6bos0kn5fyv2t",4043040271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043040273,59,"99, 29, 25, 6, 4, 3, 17, 10, 30, 7, 8, 14, 15, 16, 28, 31, 33, 35, 44, 90",4043136445,197,15881,4043040279,194,1qywnx1icmb4x7dbhhsck0vrp,4043040275,130,23,4043040277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043040283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781143,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-02-19T12:00:33.345Z,2023-02-19T19:31:07Z,4043142397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781141,2,32,1,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-02-19T12:00:33.345Z,2023-02-19T12:00:33Z,4043142391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781171,3,1,1,0,0,be2k34rut1lz79jxenabttqlc,1,50.1,50.1,2023-02-19T12:00:33.546Z,2023-02-19T19:35:21Z,4043797163,278,,4043142573,213,3.4,4043142571,212,7.7,4043142569,141,47.6,4043142565,56,Back,4043142567,140,42.9,4044514869,178,,4043142575,279,S,3pz4ro9b1u6u45gs7d6apmo5x,R. Cabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781193,4,1,1,0,2,be2k34rut1lz79jxenabttqlc,1,42,48.1,2023-02-19T12:00:35.626Z,2023-02-19T21:43:18Z,4043142737,213,1.7,4043142735,212,11.2,4044515153,178,,4043142731,140,40.3,4043142729,56,Back,4043142733,141,64.3,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781215,5,1,1,0,3,be2k34rut1lz79jxenabttqlc,1,41.4,59.3,2023-02-19T12:00:37.186Z,2023-02-19T21:43:18Z,4043142841,56,Back,4044515417,178,,4043142849,213,1.8,4043142843,140,36.8,4043142847,212,24.8,4043142845,141,95.0,,,,,,,bfdco9clf3dwltaogfhv5v0et,André Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781227,6,1,1,0,6,be2k34rut1lz79jxenabttqlc,1,37.1,91.6,2023-02-19T12:00:40.245Z,2023-02-19T21:43:17Z,4043142921,213,3.8,4043142915,140,24.5,4043142917,141,76.7,4044515599,178,,4043142913,56,Back,4043142919,212,16.7,,,,,,,e5xxqwz0sdlwkkmp8bgs1k6w9,T. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781253,7,1,1,0,9,be2k34rut1lz79jxenabttqlc,1,25.6,76.4,2023-02-19T12:00:42.686Z,2023-02-19T21:43:16Z,4043143087,56,Back,4044516021,178,,4043143095,213,0.9,4043143093,212,19.3,4043143091,141,97.7,4043143089,140,37.7,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781261,8,1,1,0,12,be2k34rut1lz79jxenabttqlc,1,39.5,95.4,2023-02-19T12:00:46.027Z,2023-02-19T21:43:14Z,4044516287,178,,4043143145,140,14.2,4043143147,141,57.5,4043801923,1,,4043143149,212,37.0,4043143143,56,Back,4043143151,213,3.9,,,,e5xxqwz0sdlwkkmp8bgs1k6w9,T. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
