id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2508738849,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-02-17T19:03:13.871Z,2023-02-17T19:56:54Z,4037639609,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037639619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037639613,130,18,4037639611,59,"1, 20, 3, 4, 5, 2, 6, 88, 18, 7, 9, 47, 12, 17, 23, 24, 26, 38, 35, 36",4037809889,197,11677,4037639615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037639607,30,"d3mss0i879krqrk1owzmj2c45, al6dgtinz0ki8uj8wrvc7fg2c, 40hu79d2a4k94nc52z7dblpsl, aaaskdins76bd0368sbpt7wq2, z2richg7upw6hth0dzrvm02d, e9mtpmkb4qj2gqyv966g9ulpm, 79dz7zni5fcgh5e70spoj2j8p, d68byfvk16giaur32gqwpwded, 1ehcji0j9s8b0qsj8v5zinjvu, amvonu36at4dg7ksi1ioczi3u, d9zax4y92d85x7j63kg7ckvkl, 6mgtj1dfv6e2ydfflye59wrxm, 8rcole4a6y4fkamv87q3hqk0l, aftis8f2ahy7dhk5bp8co4q1h, 3vu0c0j8n99wz6e2f7fmd2pxx, 6ovea0xzg9yflmlbjdf1xcmlm, a71n80h977h7fu99ftnri5zsa, cioys21a6o09lb56tzi72w8ru, 7to9ns7mkuji0ciwh1ufkq3md, j125vpcxio8c82ljiiu57ucq",4037639617,194,d3mss0i879krqrk1owzmj2c45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508740505,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-17T19:05:53.804Z,2023-02-17T20:05:37Z,4037648229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037648233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037808287,197,4727,4037648223,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037648231,194,7jj9gwpuk49bsm2ru06qb44wl,4037648221,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 5rh9yiue1qnabbwoyweyus5t6, 6ypo3vp0zupq6s1jbk8rbmq51, baogzi00mwdclwbvkd618evv9, 46vm60m1v8o9t0aesa0bpr42y, 7jj9gwpuk49bsm2ru06qb44wl, 1py4bk2ik16w8lil31bghq99m, 7pv3n0vj8243p1di16regotsl, 6gdoxudvl1rgcn7d19e89p9ed, 3o7ktan6n28fn5fj7gel6qead, co59rv08x22hk5itwibbwq191, 9qk1hoxri8dee6yat0cateqxh, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, 9br3ebcuzl5b755kwuxgey3md, doc6xdg2vumiyoamostngr36d, 38cux1onwt3bxppreaklir7it, b187awt0wdxh20fx1rn5vgewa",4037648225,59,"1, 13, 14, 95, 4, 97, 80, 12, 19, 9, 10, 6, 7, 11, 16, 17, 22, 29, 32, 77",4037648227,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774147,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-17T20:00:52.634Z,2023-02-18T01:24:27Z,4037818499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774143,3,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-02-17T20:00:52.634Z,2023-02-17T20:00:52Z,4037818485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774163,3,1,1,0,0,9bxav814mkuhueiyivyive82d,1,50.1,50.3,2023-02-17T20:00:52.654Z,2023-02-18T01:29:52Z,4037818573,212,14.6,4037818571,141,63.7,4037818567,56,Back,4038352371,178,,4037818577,279,S,4037818575,213,2.5,4037818569,140,39.2,,,,1py4bk2ik16w8lil31bghq99m,M. Abline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774191,4,1,1,0,2,9bxav814mkuhueiyivyive82d,0,38.3,52.4,2023-02-17T20:00:55.299Z,2023-02-18T04:05:52Z,4037818715,140,76.4,4037818717,141,12.2,4038352395,178,,4037818711,155,,4037818713,56,Right,4037818723,1,,4037818719,212,48.5,4037818721,213,5.7,7jj9gwpuk49bsm2ru06qb44wl,B. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774197,4,1,1,0,5,121le8unjfzug3iu9pgkqa1c7,0,21.4,83.9,2023-02-17T20:00:58.558Z,2023-02-18T04:05:52Z,4037818747,141,77.8,4037818745,140,34.9,4037818741,3,,4038352451,178,,4037818743,56,Back,4037818751,213,6.0,4037818749,212,14.8,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774211,5,1,1,0,7,9bxav814mkuhueiyivyive82d,0,69.1,18.3,2023-02-17T20:00:59.755Z,2023-02-18T04:05:51Z,4037818811,213,3.9,4037818803,56,Right,4037818809,212,5.3,4038352577,388,,4037818805,140,65.4,4037818807,141,13.1,,,,,,,46vm60m1v8o9t0aesa0bpr42y,H. Massengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508815657,401,45,1,0,8,9bxav814mkuhueiyivyive82d,0,63,13.7,2023-02-17T20:01:01.033Z,2023-02-18T04:05:51Z,4038041651,233,488,4038041283,285,,4038041281,56,Right,,,,,,,,,,,,,,,,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508815717,488,3,1,0,8,121le8unjfzug3iu9pgkqa1c7,1,37,86.3,2023-02-17T20:01:01.033Z,2023-02-18T04:05:50Z,4038041645,233,401,4038261715,465,,4038041627,56,Back,4038041629,286,,4038352667,178,,,,,,,,,,,amvonu36at4dg7ksi1ioczi3u,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
