id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2443519175,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-08-07T18:06:22.819Z,2022-08-07T18:51:39Z,3692529361,130,17,3692529357,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3692529363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692529359,59,"36, 7, 30, 5, 4, 99, 21, 6, 9, 17, 8, 42, 1, 10, 11, 13, 18, 23, 27, 29",3692529355,30,"4dbs7cgevy096gouv60eurh05, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 74edqcuzfzy7nswqzn0v3pe22, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, asvqr3i5wcjiajxipt1qvldyh, 35r56n0i4sbdh7n5arbt7db6d, cip5lla8zu8gru2m4popsstlh, 290xjx3h327rl40wbn7hzrtg5, 1kbgy31i3u3jnfncod0ctzyfo, bonc0a0byz3r1828si9ynmuei, 26mggguhavwmnq1oak12ket, d1d3v27d4r6vme6n2w5umaacp, a68fosxpgtyxj64ex9f6nget, 5rh9yiue1qnabbwoyweyus5t6, 9j742o5vdc7d54x1xdz4t9ck5, 5fbnkkf1saix4lonwx1i9k7o5, agmcwbzoertg4l8njpdai7kl",3692529367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692603923,197,13912,3692529365,194,8s259ktv9j6ei0f8rh2msqfh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443520495,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-08-07T18:10:37.592Z,2022-08-07T18:49:22Z,3692536991,194,976riwm0dz0e74d4l28y3ttcl,3692536987,130,4,3692536993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692536985,59,"1, 6, 28, 24, 2, 5, 15, 21, 7, 19, 10, 48, 65, 41, 3, 18, 26, 29, 30, 70",3692536989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692604735,197,16322,3692536981,30,"4ilnnpfgjfz35lni9ppzd93v9, 9p5jc07qnxrzpcmnh1cp6b3l5, 2ds26ub6ho0baamsjcmh7mmfo, 36h87ecgmpjdltk1epsbvmiju, 72d5uxwcmvhd6mzthxuvev1sl, 976riwm0dz0e74d4l28y3ttcl, 8qmm84tue6kuz8e5nhhdhmz8p, 96wcx761pzv5ub4sfwsynp51x, e6ok0deqkoe80184iu509gzu2, 7ty1wdxxnusgkl34k5raipbl5, agwvouyocx93y39g7tmwaojx1, 34qnp7hi8hr2xtmxnxyv6hxjo, a52575bcqr3acuweauiyzsb56, 41gpjj5od0ww4rnopzgp1oetw, 8gkexxgf3pypshhqwg6ibp7o4, dlybxu0l5r7yi8i11myd7ldgq, fvd7y3f6948713acbas7w3u2, edti8t30h7ukwi3wqlzaczje1, 1ccqekgbdyx9g90vaodi7qw9h, ccu7hw3wrcspl1a18g2ldnsh5",3692536983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533789,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-08-07T18:45:08.653Z,2022-08-07T18:45:08Z,3692616421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533797,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-08-07T18:45:08.653Z,2022-08-07T23:13:54Z,3692616455,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533833,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50,50.3,2022-08-07T18:45:08.774Z,2022-08-07T23:53:19Z,3692616661,279,S,3692616657,212,14.8,3692616659,213,2.3,3693471849,178,,3692616655,141,66.6,3692616651,56,Back,3692616653,140,40.6,,,,35r56n0i4sbdh7n5arbt7db6d,A. Milik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533861,4,1,1,0,2,27xvwccz8kpmqsefjv2b2sc0o,1,40,58.4,2022-08-07T18:45:10.914Z,2022-08-08T02:33:05Z,3692616801,140,45.9,3692616803,141,93.7,3692616799,56,Back,3693471933,178,,3692616805,212,24.8,3692616809,213,1.3,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533865,5,1,1,0,6,27xvwccz8kpmqsefjv2b2sc0o,0,49.3,95.4,2022-08-07T18:45:15.184Z,2022-08-08T02:33:04Z,3692616827,212,17.8,3692616825,141,82.9,3693472099,178,,3692616829,213,5.8,3692616821,56,Left,3692616819,155,,3692616823,140,64.2,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533901,3,1,1,0,8,3c3jcs7vc1t6vz5lev162jyv7,1,31.1,18.2,2022-08-07T18:45:16.682Z,2022-08-08T02:33:04Z,3693472287,178,,3692617065,140,59.0,3692617071,213,6.2,3692617069,212,29.4,3692617067,141,14.5,3692617063,56,Right,3692617061,3,,,,,72d5uxwcmvhd6mzthxuvev1sl,W. Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533905,4,49,1,0,10,3c3jcs7vc1t6vz5lev162jyv7,1,53.7,18.6,2022-08-07T18:45:18.764Z,2022-08-08T02:33:03Z,,,,,,,,,,,,,,,,,,,,,,,,,e6ok0deqkoe80184iu509gzu2,E. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443533931,5,1,1,0,10,3c3jcs7vc1t6vz5lev162jyv7,1,53.7,18.6,2022-08-07T18:45:18.773Z,2022-08-08T02:33:03Z,3692617225,141,6.4,3692617229,213,5.3,3692617227,212,10.0,3693472721,178,,3692617223,140,59.1,3692617221,56,Right,,,,,,,e6ok0deqkoe80184iu509gzu2,E. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
