id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2476177151,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-23T12:17:45.034Z,2022-10-23T13:05:16Z,3866353695,197,15910,3866151755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866151747,30,"1bs4vwqye00mn2oaxrvfkkt7t, 4hns4p7a45kno60qqzlniycmi, e0tmfkagd1lmf2hw7gctbaqqd, eznhm6o1jymvzaucjlngbaad, 7etm5qf3sonimtxllrw5xwkid, 87gvtfqgn555sywr78abximsp, demp53kye0ium76t240vo8cet, 3h3g7sne1jjevj0mwyliehm95, bj37ny1s1gbbe4wrgyz1wag9h, 9nhlgi0k783bq8a2704bu6n6d, 9bkzl4dx3mci3w86rjpfkwowk, 1jbm4rhckr1gmwld08ey819m, 1vpmf7p9xsaynj1t9g5wm1qz9, 900q6uo21i95co96snohqofyt, dj2f6zk2cd8u9lt6odoei9cdl, a7rdypucykxo0a9xmcuqzabpx, 4kwa4ce4rbgbixli3up7fgqfp, 57sdn53awg8fzbygrwchg6u7e, 8xdrtww8r5jbxuxtall0wh591, 577j49ffrxuurraco9chy388a",3866151749,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866151751,59,"1, 18, 12, 17, 4, 2, 11, 6, 7, 24, 29, 15, 5, 9, 19, 20, 21, 26, 30, 39",3866151753,130,11,3866151759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866151757,194,7etm5qf3sonimtxllrw5xwkid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476181953,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-10-23T12:22:12.042Z,2022-10-23T13:00:35Z,3866176395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866176387,30,"6790uxmc1zs4emxtqf7vl6imt, 2zvbw080n4yro1phgv39ri3qi, 538zux65h0l9028fpf4v1g0r9, 44o5mjglkzqxctz07ust9bcru, d8jdziu0arw1rcx5byxd7rj6d, 996i59930r3kd4xk48x9fsp2h, 2abpo4w3jcxp1wzp50yypxsrt, 7cty3nkd7c84e16537v6y1djp, 466ev7tumk8flx0gz9d0h15d6, e83sc1gnj31vgpo9u6fknmfvt, dg4782hj9xdqg46w225kzph5g, 6oi4a3g56xe76g0gg38knmzmd, 31ur1f7xmxndnnabhrxyov6xh, cyz9jisw86vjjf85xxgbae0yy, e32urdrdkp44zmnt6ptg0k12i, d5hzf2vv84jfne8ijsdjqd52h, 2tc8y9du64tjno62zll2jhy7e, d45fs5pqxxq9nopbmeh6lpoet, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a",3866176389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866353439,197,15136,3866176393,130,8,3866176397,194,538zux65h0l9028fpf4v1g0r9,3866176399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866176391,59,"38, 37, 25, 10, 15, 3, 7, 8, 9, 21, 11, 1, 2, 4, 12, 17, 22, 27, 29, 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218509,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-10-23T13:00:07.772Z,2022-10-23T13:00:07Z,3866366287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218519,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-23T13:00:07.772Z,2022-10-23T20:45:35Z,3866366329,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218567,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,49.9,49.6,2022-10-23T13:00:07.793Z,2022-10-23T22:05:47Z,3866366541,56,Back,3866366543,140,27.0,3866366549,213,3.0,3866366547,212,24.4,3868770687,178,,3866366551,279,S,3866366545,141,55.3,,,,e83sc1gnj31vgpo9u6fknmfvt,J. Ponceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476683707,896,43,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-10-23T13:00:09.085Z,2022-10-23T22:35:25Z,3868828371,178,0,3868828579,144,82,,,,,,,,,,,,,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218591,4,1,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,35.2,52.6,2022-10-23T13:00:09.106Z,2022-10-24T04:36:57Z,3866403397,212,1.5,3866403393,141,50.5,3866403403,213,5.0,3866366645,56,Back,3866403387,140,35.6,3868771019,178,,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218619,5,1,1,0,4,70nn27vgkt6l48lvv5e66q7ww,1,35.3,50.3,2022-10-23T13:00:12.091Z,2022-10-24T04:36:56Z,3866366825,140,67.2,3868771123,178,,3867485553,155,,3866366829,141,59.9,3866366833,212,34.1,3866366837,213,0.2,3866366839,1,,3866366821,56,Center,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218635,6,44,1,0,7,70nn27vgkt6l48lvv5e66q7ww,1,76.9,71.8,2022-10-23T13:00:15.307Z,2022-10-24T04:36:56Z,3866366993,233,3,3866366907,286,,3866366905,56,Center,,,,,,,,,,,,,,,,466ev7tumk8flx0gz9d0h15d6,I. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218649,3,44,1,0,7,3unkqo2g6ag99gd5ynz1j7vse,0,23.1,28.2,2022-10-23T13:00:15.308Z,2022-10-24T04:36:56Z,3866367021,233,6,3866366969,285,,3866366967,56,Back,,,,,,,,,,,,,,,,87gvtfqgn555sywr78abximsp,J. Porozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
